Document Class (determined),Coverage Start,Coverage End,Coverage Days,New Filename,Folder,Original Filename,MiEnviro Category,MiEnviro Document Class (prior),Class Changed,MiEnviro DocDate,Document Mgmt ID,MiEnviro Original Name,MiEnviro Deep Link,Pages,Text Source,Determination Basis,Confidence,Adjudicated by Claude,SHA256,Bytes
Biosolids / Land Application,2014-07-02,2014-07-07,6,2014-07-02 to 2014-07-07 0062_2014-07-07_RMP Modification Request-July 2014.pdf,Biosolids - Land Application,0062_2014-07-07_RMP Modification Request-July 2014.pdf,NPDES Biosolids Site Docs,Biosolids / Land Application,,2014-07-07,1301191744469019931,RMP Modification Request-July 2014.pdf,https://mienviro.michigan.gov/ncore/downloadpdf/1301191744469019931,9,OCR (tesseract),City request to amend RMP land application plan for surface application,high,,6122ca0b2070135cea0f075ef0297ef9c01433c357c277654ede57e099fbcad0,4892693
Biosolids / Land Application,2014-07-10,2014-07-10,1,2014-07-10 to 2014-07-10 0063_2014-07-10_RMP Modification Approval Letter-2014.pdf,Biosolids - Land Application,0063_2014-07-10_RMP Modification Approval Letter-2014.pdf,NPDES Biosolids Site Docs,Biosolids / Land Application,,2014-07-10,396256187984330582,RMP Modification Approval Letter-2014.pdf,https://mienviro.michigan.gov/ncore/downloadpdf/396256187984330582,2,OCR (tesseract),DEQ letter approving Residuals Management Program modification for Class A EQ biosolids,high,,58726d5ded983e4c121620db2bebe9dcd5e155f67f0c6ba44043052bce693bee,1016936
Biosolids / Land Application,2014-09-03,2014-09-03,1,2014-09-03 to 2014-09-03 0066_2014-09-03_Cadillac surface application 2014-2.pdf,Biosolids - Land Application,0066_2014-09-03_Cadillac surface application 2014-2.pdf,Conversion - Application / Request,Biosolids / Land Application,,2014-09-03,6169276037386673226,Cadillac surface application 2014-2.jpg,https://mienviro.michigan.gov/ncore/downloadpdf/6169276037386673226,1,OCR (tesseract),Photograph of 2014 biosolids surface application site,medium,,9b7cfa8b133477dab610c76374f6e2974d412d84e4b7178563e07cf223038a5f,122806
Biosolids / Land Application,2014-09-03,2014-09-03,1,2014-09-03 to 2014-09-03 0067_2014-09-03_Cadillac surface application 2014.pdf,Biosolids - Land Application,0067_2014-09-03_Cadillac surface application 2014.pdf,Conversion - Application / Request,Biosolids / Land Application,,2014-09-03,-5654449704836290694,Cadillac surface application 2014.jpg,https://mienviro.michigan.gov/ncore/downloadpdf/-5654449704836290694,1,OCR (tesseract),Photograph of 2014 biosolids surface application site,medium,,145ac35a8229515a373424b6c7c2e16ffdf4fa3c54a96a0ef6f143ad6daf0088,157820
Biosolids / Land Application,2014-10-01,2015-09-30,365,2014-10-01 to 2015-09-30 0105_2015-10-30_2A6-E7TC-JQKM1.pdf,Biosolids - Land Application,0105_2015-10-30_2A6-E7TC-JQKM1.pdf,Misc. Application and Request Docs,Biosolids / Land Application,,2015-10-30,3772272341703184968,2A6-E7TC-JQKM1.pdf v1,https://mienviro.michigan.gov/ncore/downloadpdf/3772272341703184968,5,embedded text,"Biosolids Annual Report Form, land-applied dry tons; matches Oct-Sep sludge year",medium,,6570708222300e4f7b4fbc26e51dc09769b1f79ba6de40ecf07c2dcb36bec26c,1045393
Biosolids / Land Application,2015-10-01,2016-09-30,366,2015-10-01 to 2016-09-30 0142_2016-10-25_2KJ-C2SF-H1BF V1.pdf,Biosolids - Land Application,0142_2016-10-25_2KJ-C2SF-H1BF V1.pdf,Misc. Application and Request Docs,Biosolids / Land Application,,2016-10-25,-3521121797145537515,2KJ-C2SF-H1BF V1.pdf v1,https://mienviro.michigan.gov/ncore/downloadpdf/-3521121797145537515,6,embedded text,"Biosolids Annual Report form, 2016 reporting year Oct-Sept cycle",medium,,34515de74ab207493994bcafd5e2dbb643a658e1940632483f50d8dbadfa41ec,51577
Biosolids / Land Application,2016-09-26,2016-10-10,15,2016-09-26 to 2016-10-10 0212_2017-10-13_2017 As Applied - 30GR01.pdf,Biosolids - Land Application,0212_2017-10-13_2017 As Applied - 30GR01.pdf,Applicant Attachments,Biosolids / Land Application,,2017-10-13,-5897892034958233867,2017 As Applied - 30GR01.xlsx v1,https://mienviro.michigan.gov/ncore/downloadpdf/-5897892034958233867,36,embedded text,"As-applied biosolids record, site 30GR01, Sept-Oct 2016 application dates",high,,6896bbf76e04d37bfe246f0fac39985ab4bc17aed4d9371470c8d369739568be,197486
Biosolids / Land Application,2016-10-01,2017-09-30,365,2016-10-01 to 2017-09-30 0222_2017-10-13_HN8-AEB3-S8NKF V1.pdf,Biosolids - Land Application,0222_2017-10-13_HN8-AEB3-S8NKF V1.pdf,Misc. Application and Request Docs,Biosolids / Land Application,,2017-10-13,8416368693200764668,HN8-AEB3-S8NKF V1.pdf v1,https://mienviro.michigan.gov/ncore/downloadpdf/8416368693200764668,5,embedded text,Biosolids Annual Report Form submission matching biosolids DMR year Oct2016-Sep2017,medium,,88e9da848f84f73f1713acf3f42e4962043dda095c12404fbcedde86e32e984f,99971
Biosolids / Land Application,2017-04-01,2017-04-30,30,2017-04-01 to 2017-04-30 0210_2017-10-13_2017 As Applied - 17EK01.pdf,Biosolids - Land Application,0210_2017-10-13_2017 As Applied - 17EK01.pdf,Applicant Attachments,Biosolids / Land Application,,2017-10-13,7951970310208812203,2017 As Applied - 17EK01.xlsx v1,https://mienviro.michigan.gov/ncore/downloadpdf/7951970310208812203,36,embedded text,"As-applied biosolids land application record, site 17EK01, April 2017 events",high,,a42a24d257743a58b89f1593d7f2bb4b82cef699814d2ecce085c61684b4ae06,197404
Biosolids / Land Application,2017-04-01,2017-04-30,30,2017-04-01 to 2017-04-30 0211_2017-10-13_2017 As Applied - 17RW01.pdf,Biosolids - Land Application,0211_2017-10-13_2017 As Applied - 17RW01.pdf,Applicant Attachments,Biosolids / Land Application,,2017-10-13,-1675409833587234275,2017 As Applied - 17RW01.xlsx v1,https://mienviro.michigan.gov/ncore/downloadpdf/-1675409833587234275,36,embedded text,"As-applied biosolids land application record, site 17RW01, April 2017 events",high,,d4cf0e434515ee4e64fb38b8e0e159dd2bebffa269244fe8a7ab31db84bde801,198111
Biosolids / Land Application,2017-04-01,2017-04-30,30,2017-04-01 to 2017-04-30 0213_2017-10-13_2017 As Applied - 31DG01.pdf,Biosolids - Land Application,0213_2017-10-13_2017 As Applied - 31DG01.pdf,Applicant Attachments,Biosolids / Land Application,,2017-10-13,-4564688140221150418,2017 As Applied - 31DG01.xlsx v1,https://mienviro.michigan.gov/ncore/downloadpdf/-4564688140221150418,36,embedded text,"As-applied biosolids land application record, site 31DG01, April 2017 events",high,,ba848b4313a8abeb26118c0adb0b1fbbbc17b773b373669b2cf8627353ecfdc0,195786
Biosolids / Land Application,2017-09-12,2017-09-12,1,2017-09-12 to 2017-09-12 0216_2017-10-13_Applier Cert. of Pathogens and Vector Attraction Reduction.pdf,Biosolids - Land Application,0216_2017-10-13_Applier Cert. of Pathogens and Vector Attraction Reduction.pdf,Applicant Attachments,Biosolids / Land Application,,2017-10-13,-1688568603305138344,Applier Cert. of Pathogens and Vector Attraction Reduction.doc v1,https://mienviro.michigan.gov/ncore/downloadpdf/-1688568603305138344,1,embedded text,Applier pathogen and vector attraction reduction certification signed 9/12/2017,high,,95d3ccd43e4ccf4b53d8cd7d4ffabb82014be6ffe70ecf518bf9a9f0ea4d8ec1,60024
Biosolids / Land Application,2017-09-12,2017-09-12,1,2017-09-12 to 2017-09-12 0217_2017-10-13_Class B Site Restrictions Certification.pdf,Biosolids - Land Application,0217_2017-10-13_Class B Site Restrictions Certification.pdf,Applicant Attachments,Biosolids / Land Application,,2017-10-13,1498609859186270953,Class B Site Restrictions Certification.doc v1,https://mienviro.michigan.gov/ncore/downloadpdf/1498609859186270953,1,embedded text,Class B biosolids site restrictions certification signed 9/12/2017,high,,128cb948f9f7113876fea7cd753a516216e08e93524d4cd12243c6be5d88a74d,58395
Biosolids / Land Application,2017-09-12,2017-09-12,1,2017-09-12 to 2017-09-12 0223_2017-10-13_Mgt Practices Certification.pdf,Biosolids - Land Application,0223_2017-10-13_Mgt Practices Certification.pdf,Applicant Attachments,Biosolids / Land Application,,2017-10-13,8684882921218429674,Mgt Practices Certification.doc v1,https://mienviro.michigan.gov/ncore/downloadpdf/8684882921218429674,1,embedded text,R323.2410 biosolids management practices certification signed 9/12/2017,high,,90d73e42aeff5649bb98fa923b55b0f4a3f04b64ed0973042f072b6872bd07b4,63324
Biosolids / Land Application,2017-10-01,2017-12-31,92,2017-10-01 to 2017-12-31 0352_2018-10-29_FY18 Applier-Class B Site Restrictions Cert-Fall 2017.pdf,Biosolids - Land Application,0352_2018-10-29_FY18 Applier-Class B Site Restrictions Cert-Fall 2017.pdf,Applicant Attachments,Biosolids / Land Application,,2018-10-29,2347978798435200639,FY18 Applier-Class B Site Restrictions Cert-Fall 2017.doc v1,https://mienviro.michigan.gov/ncore/downloadpdf/2347978798435200639,1,embedded text,Class B site restrictions certification for Fall 2017 land application,medium,,25f276fc9cccff5e22bd8bd758c9efb1a22b9230f672a7723b78effb6d744a9d,58389
Biosolids / Land Application,2017-10-01,2017-12-31,92,2017-10-01 to 2017-12-31 0353_2018-10-29_FY18 Applier-Mgt Practices Cert-Fall 2017.pdf,Biosolids - Land Application,0353_2018-10-29_FY18 Applier-Mgt Practices Cert-Fall 2017.pdf,Applicant Attachments,Biosolids / Land Application,,2018-10-29,-685056191163607732,FY18 Applier-Mgt Practices Cert-Fall 2017.doc v1,https://mienviro.michigan.gov/ncore/downloadpdf/-685056191163607732,1,embedded text,R 323.2410 management practices certification for Fall 2017 application,medium,,3d2fa2c3a992f0925778fc939b11fa2736d97a29f3c54818fcdcd2784b8ed6ae,63328
Biosolids / Land Application,2017-10-01,2018-09-30,365,2017-10-01 to 2018-09-30 0350_2018-10-29_FY18 Applier Certification-Management Practices.pdf,Biosolids - Land Application,0350_2018-10-29_FY18 Applier Certification-Management Practices.pdf,Applicant Attachments,Biosolids / Land Application,,2018-10-29,-301703658211288257,FY18 Applier Certification-Management Practices.pdf v1,https://mienviro.michigan.gov/ncore/downloadpdf/-301703658211288257,4,OCR (tesseract),"Form LA-MP land application management practices certification, FY18 report",medium,,d5f1f1b14e9f9c437cb3d950e5f1630338395afc1fc26124b68fae5d8984b4da,567827
Biosolids / Land Application,2017-10-01,2018-09-30,365,2017-10-01 to 2018-09-30 0355_2018-10-29_FY18 As Applied 20N07W07-RJ02.pdf,Biosolids - Land Application,0355_2018-10-29_FY18 As Applied 20N07W07-RJ02.pdf,Applicant Attachments,Biosolids / Land Application,,2018-10-29,6403317132604385721,FY18 As Applied 20N07W07-RJ02.pdf v1,https://mienviro.michigan.gov/ncore/downloadpdf/6403317132604385721,5,OCR (tesseract),Agronomic rate calculation worksheet for FY18 land application site,medium,,91525a5f551a20d945af50afa5ecb81c79200baee3e77bd74e96c3ceaa243729,1037004
Biosolids / Land Application,2017-10-01,2018-09-30,365,2017-10-01 to 2018-09-30 0356_2018-10-29_FY18 As Applied 21N09W19-TC01.pdf,Biosolids - Land Application,0356_2018-10-29_FY18 As Applied 21N09W19-TC01.pdf,Applicant Attachments,Biosolids / Land Application,,2018-10-29,4146064223203263226,FY18 As Applied 21N09W19-TC01.pdf v1,https://mienviro.michigan.gov/ncore/downloadpdf/4146064223203263226,5,OCR (tesseract),Agronomic rate calculation worksheet for FY18 land application site,medium,,11c02dd080de4d604cc714ccb1f8e5bb8430594364631296e0ced58ec692c4e2,1044356
Biosolids / Land Application,2017-10-01,2018-09-30,365,2017-10-01 to 2018-09-30 0357_2018-10-29_FY18 As Applied 21N09W20-TC01.pdf,Biosolids - Land Application,0357_2018-10-29_FY18 As Applied 21N09W20-TC01.pdf,Applicant Attachments,Biosolids / Land Application,,2018-10-29,7576125700585566965,FY18 As Applied 21N09W20-TC01.pdf v1,https://mienviro.michigan.gov/ncore/downloadpdf/7576125700585566965,5,OCR (tesseract),Agronomic rate calculation worksheet for FY18 land application site,medium,,d75e18c8d8cd981b345387f61c63d95495757d381e6426be22c8c0420db64dba,1053152
Biosolids / Land Application,2017-10-01,2018-09-30,365,2017-10-01 to 2018-09-30 0358_2018-10-29_FY18 As Applied 21N09W30-GR01.pdf,Biosolids - Land Application,0358_2018-10-29_FY18 As Applied 21N09W30-GR01.pdf,Applicant Attachments,Biosolids / Land Application,,2018-10-29,-7032330395000084913,FY18 As Applied 21N09W30-GR01.pdf v1,https://mienviro.michigan.gov/ncore/downloadpdf/-7032330395000084913,5,OCR (tesseract),Agronomic rate calculation worksheet for FY18 land application site,medium,,1850799eb31d4b9c6e4478febfa95a3b0494895132c1be551ad00d045d26c6c4,1019048
Biosolids / Land Application,2017-10-01,2018-09-30,365,2017-10-01 to 2018-09-30 0359_2018-10-29_FY18 As Applied 23N10W29-NS01.pdf,Biosolids - Land Application,0359_2018-10-29_FY18 As Applied 23N10W29-NS01.pdf,Applicant Attachments,Biosolids / Land Application,,2018-10-29,2645334160893073868,FY18 As Applied 23N10W29-NS01.xlsx v1,https://mienviro.michigan.gov/ncore/downloadpdf/2645334160893073868,36,embedded text,"As-applied biosolids data sheets, site 23N10W29-NS01, October-November 2017 hauls",medium,,19748ebd713bfa5feee1480f64d6907fd150eb574c37d5a4f3f30b5b139bcdca,196259
Biosolids / Land Application,2017-10-01,2018-09-30,365,2017-10-01 to 2018-09-30 0366_2018-10-29_FY18 Generator-Pathogen Reduction Process Cert.pdf,Biosolids - Land Application,0366_2018-10-29_FY18 Generator-Pathogen Reduction Process Cert.pdf,Applicant Attachments,Biosolids / Land Application,,2018-10-29,-3217469014007656711,FY18 Generator-Pathogen Reduction Process Cert.pdf v1,https://mienviro.michigan.gov/ncore/downloadpdf/-3217469014007656711,1,OCR (tesseract),"Bulk biosolids generator Class B pathogen reduction certification, FY18 package",medium,,a628bbbf6689894cf59e50cc614b318323a57ad8326263a514184f9b3cc353ca,230155
Biosolids / Land Application,2017-10-01,2018-09-30,365,2017-10-01 to 2018-09-30 0367_2018-10-29_FY18 LA Site Information.pdf,Biosolids - Land Application,0367_2018-10-29_FY18 LA Site Information.pdf,Applicant Attachments,Biosolids / Land Application,,2018-10-29,1580110436075585993,FY18 LA Site Information.pdf v1,https://mienviro.michigan.gov/ncore/downloadpdf/1580110436075585993,5,OCR (tesseract),"Form LA-SD land application site descriptions and maps, FY18 report",medium,,9f26346cce7ab915b5227867638166ba1f472f948b2a88acd6f38d5054abac63,1280864
Biosolids / Land Application,2017-10-01,2018-09-30,365,2017-10-01 to 2018-09-30 0370_2018-10-29_HNH-M790-67ZPK V1.pdf,Biosolids - Land Application,0370_2018-10-29_HNH-M790-67ZPK V1.pdf,Misc. Application and Request Docs,Biosolids / Land Application,,2018-10-29,-4484987493854053281,HNH-M790-67ZPK V1.pdf v1,https://mienviro.michigan.gov/ncore/downloadpdf/-4484987493854053281,5,embedded text,MiWaters Biosolids Annual Report form submission for FY18,high,,bc95e1748847c7398136bf75612df98daefb5668dc5e0633b38abae0520deae1,75733
Biosolids / Land Application,2017-10-01,2018-09-30,365,2017-10-01 to 2018-09-30 0381_2018-11-28_FY18 Applier Certification - Revised.pdf,Biosolids - Land Application,0381_2018-11-28_FY18 Applier Certification - Revised.pdf,NPDES Submittal Docs,Biosolids / Land Application,,2018-11-28,2316673613866669392,FY18 Applier Certification - Revised.pdf,https://mienviro.michigan.gov/ncore/downloadpdf/2316673613866669392,5,OCR (tesseract),FY18 harmonised to biosolids reporting year per FY18 SLDL DMR 10/1/2017-9/30/2018,high,YES,2459f854b82086767c0ce2dc9e75d60e7b01f5e7930edb74aa7b0fddeeb43f2d,1166708
Biosolids / Land Application,2017-10-01,2018-09-30,365,2017-10-01 to 2018-09-30 0394_2018-12-18_FY18 Applier Certification-Revised 2-signed.pdf,Biosolids - Land Application,0394_2018-12-18_FY18 Applier Certification-Revised 2-signed.pdf,NPDES Submittal Docs,Biosolids / Land Application,,2018-12-18,9075597598235972281,FY18 Applier Certification-Revised 2-signed.pdf,https://mienviro.michigan.gov/ncore/downloadpdf/9075597598235972281,5,OCR (tesseract),FY18 harmonised to biosolids reporting year per FY18 SLDL DMR 10/1/2017-9/30/2018,high,YES,3c745d89480dde3d15a4494b3c6e3ecc9a83092085d6131e42d81aeb28a41ab0,1096813
Biosolids / Land Application,2017-11-01,2017-11-30,30,2017-11-01 to 2017-11-30 0369_2018-10-29_FY18 Temp Logs.pdf,Biosolids - Land Application,0369_2018-10-29_FY18 Temp Logs.pdf,Applicant Attachments,Biosolids / Land Application,,2018-10-29,7591858704755305697,FY18 Temp Logs.pdf v1,https://mienviro.michigan.gov/ncore/downloadpdf/7591858704755305697,4,OCR (tesseract),"Digester sludge pumping and temperature logs, November 2017",medium,,42d17aeb413aceb79419e3698cab0ee0e5881b3258b53d5943a0cfc1360a83d3,988375
Biosolids / Land Application,2018-03-01,2018-06-30,122,2018-03-01 to 2018-06-30 0351_2018-10-29_FY18 Applier-Class B Pathogen and Site Restriction Cert-Spring 2018.pdf,Biosolids - Land Application,0351_2018-10-29_FY18 Applier-Class B Pathogen and Site Restriction Cert-Spring 2018.pdf,Applicant Attachments,Biosolids / Land Application,,2018-10-29,-2132341974653224993,FY18 Applier-Class B Pathogen and Site Restriction Cert-Spring 2018.pdf v1,https://mienviro.michigan.gov/ncore/downloadpdf/-2132341974653224993,5,OCR (tesseract),Form LA-PR Class B pathogen/site restriction cert for Spring 2018 application,medium,,cf5b3e4bfb8c81aced2c644bf28f081e5a9f253e31a8542314b45e120cf98de2,800083
Biosolids / Land Application,2018-03-01,2018-06-30,122,2018-03-01 to 2018-06-30 0354_2018-10-29_FY18 Applier-VAR Certification-Spring 2018.pdf,Biosolids - Land Application,0354_2018-10-29_FY18 Applier-VAR Certification-Spring 2018.pdf,Applicant Attachments,Biosolids / Land Application,,2018-10-29,-9056692038543053966,FY18 Applier-VAR Certification-Spring 2018.pdf v1,https://mienviro.michigan.gov/ncore/downloadpdf/-9056692038543053966,2,OCR (tesseract),Vector attraction reduction certification for Spring 2018 application,medium,,9718e75cd7cf9be6f5ee4c8f031cff878a58fb5075ad3c0604db3d22eadf487b,486945
Biosolids / Land Application,2018-03-28,2018-05-08,42,2018-03-28 to 2018-05-08 0257_2018-05-08_EM-Hauling Info.pdf,Biosolids - Land Application,0257_2018-05-08_EM-Hauling Info.pdf,NPDES Biosolids Evaluation,Biosolids / Land Application,,2018-05-08,-6061985621999773483,EM-Hauling Info.msg,https://mienviro.michigan.gov/ncore/downloadpdf/-6061985621999773483,50,embedded text,"Biosolids hauling/land application fields, site photos and sludge analysis",high,,f78183d826bf8b56009928a072b365e44c25c6d6ff3145d39a580bd95897a084,1628096
Biosolids / Land Application,2018-04-19,2018-04-19,1,2018-04-19 to 2018-04-19 0291_2018-05-21_April 2018-RJ02 Soils Test.pdf,Biosolids - Land Application,0291_2018-05-21_April 2018-RJ02 Soils Test.pdf,NPDES Biosolids Evaluation,Biosolids / Land Application,,2018-05-21,-8954288284284844625,April 2018-RJ02 Soils Test.pdf,https://mienviro.michigan.gov/ncore/downloadpdf/-8954288284284844625,1,embedded text,MSU soil test with agronomic recommendations for land application field,medium,,560ee45564c8b47022695fb31bcb80f68d082cc52850528fce9b9134844fb5b7,121896
Biosolids / Land Application,2018-05-01,2018-07-31,92,2018-05-01 to 2018-07-31 0368_2018-10-29_FY18 Temp Logs.pdf,Biosolids - Land Application,0368_2018-10-29_FY18 Temp Logs.pdf,Applicant Attachments,Biosolids / Land Application,,2018-10-29,6596682446003695951,FY18 Temp Logs.pdf v1,https://mienviro.michigan.gov/ncore/downloadpdf/6596682446003695951,4,OCR (tesseract),"Digester sludge pumping and temperature logs, May-July 2018",medium,,875feec6084782bae4c5f77f0f380fb4600143653665a8a777ec1de465c9b88a,986271
Biosolids / Land Application,2018-05-08,2018-05-08,1,2018-05-08 to 2018-05-08 0258_2018-05-08_IMG951506.pdf,Biosolids - Land Application,0258_2018-05-08_IMG951506.pdf,NPDES Biosolids Evaluation,Biosolids / Land Application,,2018-05-08,4140922109563058919,IMG951506.jpg,https://mienviro.michigan.gov/ncore/downloadpdf/4140922109563058919,1,OCR (tesseract),Biosolids land application site photo attached to hauling submittal,medium,,c3457e14d4d07d72e08815f6e150e4c1619b826180c16079e794bd10696e334a,220940
Biosolids / Land Application,2018-05-08,2018-05-08,1,2018-05-08 to 2018-05-08 0259_2018-05-08_IMG951507.pdf,Biosolids - Land Application,0259_2018-05-08_IMG951507.pdf,NPDES Biosolids Evaluation,Biosolids / Land Application,,2018-05-08,-5157977368029054289,IMG951507.jpg,https://mienviro.michigan.gov/ncore/downloadpdf/-5157977368029054289,1,OCR (tesseract),Biosolids land application site photo attached to hauling submittal,medium,,8e589fa7b2086f1d4bab6afff8b48ab10a39d9b18878c64706e67fc4e5716f14,264703
Biosolids / Land Application,2018-05-08,2018-05-08,1,2018-05-08 to 2018-05-08 0260_2018-05-08_IMG_0011-cas.pdf,Biosolids - Land Application,0260_2018-05-08_IMG_0011-cas.pdf,NPDES Biosolids Evaluation,Biosolids / Land Application,,2018-05-08,-4934672298598036191,IMG_0011-cas.JPG,https://mienviro.michigan.gov/ncore/downloadpdf/-4934672298598036191,1,OCR (tesseract),Biosolids land application site photo attached to hauling submittal,medium,,5d11e689db073d014905014ec7585a89882e02f17987d8a40c260a02fe6c5934,159037
Biosolids / Land Application,2018-05-08,2018-05-08,1,2018-05-08 to 2018-05-08 0261_2018-05-08_IMG_0012-cas.pdf,Biosolids - Land Application,0261_2018-05-08_IMG_0012-cas.pdf,NPDES Biosolids Evaluation,Biosolids / Land Application,,2018-05-08,-4387202925376745449,IMG_0012-cas.JPG,https://mienviro.michigan.gov/ncore/downloadpdf/-4387202925376745449,1,OCR (tesseract),Biosolids land application site photo attached to hauling submittal,medium,,32a9d5883452c199cf7a155c15ded92a958fd207953b131d51e4a867e7ab5697,155865
Biosolids / Land Application,2018-05-08,2018-05-08,1,2018-05-08 to 2018-05-08 0262_2018-05-08_IMG_0013-cas.pdf,Biosolids - Land Application,0262_2018-05-08_IMG_0013-cas.pdf,NPDES Biosolids Evaluation,Biosolids / Land Application,,2018-05-08,-2399458598275382685,IMG_0013-cas.JPG,https://mienviro.michigan.gov/ncore/downloadpdf/-2399458598275382685,1,OCR (tesseract),Biosolids land application site photo attached to hauling submittal,medium,,97fa59a9f50fce93a1c62d3ba581970d7b0d0d200137edce7de723db484fc99b,150044
