tier,action,category,path,size_bytes,size_MB,why
1,"DELETE - software, not records",Claude VM disk images (vm_bundles),"16 - Apps, Scripts & Working Data/All Documents/Claude/vm_bundles/claudevm.bundle/.initrd.origin",40,0.0,"Claude Desktop Linux VM image - application software, reinstallable, contains no records"
1,"DELETE - software, not records",Claude VM disk images (vm_bundles),"16 - Apps, Scripts & Working Data/All Documents/Claude/vm_bundles/claudevm.bundle/.initrd.zst.origin",40,0.0,"Claude Desktop Linux VM image - application software, reinstallable, contains no records"
1,"DELETE - software, not records",Claude VM disk images (vm_bundles),"16 - Apps, Scripts & Working Data/All Documents/Claude/vm_bundles/claudevm.bundle/.rootfs.vhdx.origin",40,0.0,"Claude Desktop Linux VM image - application software, reinstallable, contains no records"
1,"DELETE - software, not records",Claude VM disk images (vm_bundles),"16 - Apps, Scripts & Working Data/All Documents/Claude/vm_bundles/claudevm.bundle/.rootfs.vhdx.zst.origin",40,0.0,"Claude Desktop Linux VM image - application software, reinstallable, contains no records"
1,"DELETE - software, not records",Claude VM disk images (vm_bundles),"16 - Apps, Scripts & Working Data/All Documents/Claude/vm_bundles/claudevm.bundle/.vmlinuz.origin",40,0.0,"Claude Desktop Linux VM image - application software, reinstallable, contains no records"
1,"DELETE - software, not records",Claude VM disk images (vm_bundles),"16 - Apps, Scripts & Working Data/All Documents/Claude/vm_bundles/claudevm.bundle/.vmlinuz.zst.origin",40,0.0,"Claude Desktop Linux VM image - application software, reinstallable, contains no records"
1,"DELETE - software, not records",Claude VM disk images (vm_bundles),"16 - Apps, Scripts & Working Data/All Documents/Claude/vm_bundles/claudevm.bundle/initrd",177303315,177.303,"Claude Desktop Linux VM image - application software, reinstallable, contains no records"
1,"DELETE - software, not records",Claude VM disk images (vm_bundles),"16 - Apps, Scripts & Working Data/All Documents/Claude/vm_bundles/claudevm.bundle/initrd.zst",173703871,173.704,"Claude Desktop Linux VM image - application software, reinstallable, contains no records"
1,"DELETE - software, not records",Claude VM disk images (vm_bundles),"16 - Apps, Scripts & Working Data/All Documents/Claude/vm_bundles/claudevm.bundle/rootfs.vhdx",10477371392,10477.371,"Claude Desktop Linux VM image - application software, reinstallable, contains no records"
1,"DELETE - software, not records",Claude VM disk images (vm_bundles),"16 - Apps, Scripts & Working Data/All Documents/Claude/vm_bundles/claudevm.bundle/rootfs.vhdx.zst",2342440655,2342.441,"Claude Desktop Linux VM image - application software, reinstallable, contains no records"
1,"DELETE - software, not records",Claude VM disk images (vm_bundles),"16 - Apps, Scripts & Working Data/All Documents/Claude/vm_bundles/claudevm.bundle/sessiondata.vhdx",4567597056,4567.597,"Claude Desktop Linux VM image - application software, reinstallable, contains no records"
1,"DELETE - software, not records",Claude VM disk images (vm_bundles),"16 - Apps, Scripts & Working Data/All Documents/Claude/vm_bundles/claudevm.bundle/smol-bin.vhdx",37748736,37.749,"Claude Desktop Linux VM image - application software, reinstallable, contains no records"
1,"DELETE - software, not records",Claude VM disk images (vm_bundles),"16 - Apps, Scripts & Working Data/All Documents/Claude/vm_bundles/claudevm.bundle/vmlinuz",14993800,14.994,"Claude Desktop Linux VM image - application software, reinstallable, contains no records"
1,"DELETE - software, not records",Claude VM disk images (vm_bundles),"16 - Apps, Scripts & Working Data/All Documents/Claude/vm_bundles/claudevm.bundle/vmlinuz.zst",14737657,14.738,"Claude Desktop Linux VM image - application software, reinstallable, contains no records"
1,"DELETE - software, not records","Claude app binaries (claude-code, claude-code-vm)","16 - Apps, Scripts & Working Data/All Documents/Claude/claude-code/2.1.142/.verified",0,0.0,Claude Desktop program files - application software
1,"DELETE - software, not records","Claude app binaries (claude-code, claude-code-vm)","16 - Apps, Scripts & Working Data/All Documents/Claude/claude-code/2.1.142/claude.exe",228456096,228.456,Claude Desktop program files - application software
