original_name,new_location,document_date,how_date_was_determined,date_confidence,note
#3-05202025_Sampling Questionnaire and Access Agreement (1).pdf,"13 - Groundwater, Wells & Plett Rd/05-20-2025 - #3-05202025_Sampling Questionnaire and Access Agreement.pdf",05-20-2025,filename-MMDDYYYY,medium,
#8-1-Plett_Rd_Hydrogeological_Report.pdf,"13 - Groundwater, Wells & Plett Rd/07-30-2026 - #8-1-Plett_Rd_Hydrogeological_Report.pdf",07-30-2026,letterhead-date,high,
#8-A-Plett_Rd_Hydrogeological_Cross_Section.pdf,"13 - Groundwater, Wells & Plett Rd/07-22-2026 - #8-A-Plett_Rd_Hydrogeological_Cross_Section.pdf",07-22-2026,first-date-on-page1,medium,
02-26-2016-VN response from City.Feb 29 2016 (1).pdf,08 - Compliance & Enforcement/02-26-2016 - VN response from City.Feb 29 2016.pdf,02-26-2016,letterhead-date,high,
04_EPA_Wexford_Water_Technologies_Draft_UIC_Permit_MI-165-1I-0002.pdf,12 - Wexford Landfill & Leachate/01-01-2017 - 04_EPA_Wexford_Water_Technologies_Draft_UIC_Permit_MI-165-1I-0002.pdf,01-01-2017,identical-copy-of: mi-165-1i-0002_draft_permit_october_2017.pdf,high,
05202025_Sampling Questionnaire and Access Agreement.pdf,"13 - Groundwater, Wells & Plett Rd/05-20-2025 - Sampling Questionnaire and Access Agreement.pdf",05-20-2025,filename-MMDDYYYY,medium,
05202025_Sampling Questionnaire and Access Agreement_001.pdf,"13 - Groundwater, Wells & Plett Rd/05-20-2025 - Sampling Questionnaire and Access Agreement_001.pdf",05-20-2025,date-label:Date:,medium,
05_EPA_Wexford_Water_Technologies_Fact_Sheet.pdf,12 - Wexford Landfill & Leachate/11-22-2017 - 05_EPA_Wexford_Water_Technologies_Fact_Sheet.pdf,11-22-2017,letterhead-date,high,
097582f1-b9e2-4911-9763-99704235c0dc (1).jpg,"14 - Maps, Photos & Imagery/097582f1-b9e2-4911-9763-99704235c0dc.jpg",,none,none,
097582f1-b9e2-4911-9763-99704235c0dc.jpg,"14 - Maps, Photos & Imagery/097582f1-b9e2-4911-9763-99704235c0dc (copy 2).jpg",,none,none,"duplicate copy - kept both, suffixed"
0ebd961d-9ef2-422c-846a-c0ded069b374.jpg,"14 - Maps, Photos & Imagery/0ebd961d-9ef2-422c-846a-c0ded069b374.jpg",,none,none,
"1,4 Dioxane SimpleLab Report VVCLVH.pdf","06 - Lab Results & Sampling (general)/03-31-2026 - 1,4 Dioxane SimpleLab Report VVCLVH.pdf",03-31-2026,letterhead-date,high,
1118 - 75ft 22N09W34 Wexford.pdf,12 - Wexford Landfill & Leachate/02-08-1997 - 1118 - 75ft 22N09W34 Wexford.pdf,02-08-1997,most-frequent-in-doc,low,
1118-well-record.png,"13 - Groundwater, Wells & Plett Rd/1118-well-record.png",,none,none,
1140 PLETT - HOT SPOT.png,"13 - Groundwater, Wells & Plett Rd/1140 PLETT - HOT SPOT (copy 2).png",,none,none,"duplicate copy - kept both, suffixed"
125c82de-7c03-4bdf-a1d8-2f54809dbb89.jpg,"14 - Maps, Photos & Imagery/125c82de-7c03-4bdf-a1d8-2f54809dbb89.jpg",,none,none,
1410104_1 ENVReport 10 30 2014 1323.pdf,06 - Lab Results & Sampling (general)/10-30-2014 - 1410104_1 ENVReport 10 30 2014 1323.pdf,10-30-2014,letterhead-date,high,
147af6b7-158b-4f2f-8b16-76c0a19803a7.jpg,"14 - Maps, Photos & Imagery/147af6b7-158b-4f2f-8b16-76c0a19803a7.jpg",,none,none,
19.10.Eff.AddlMonit.Paragon.revised.pdf,06 - Lab Results & Sampling (general)/11-14-2019 - 19.10.Eff.AddlMonit.Paragon.revised.pdf,11-14-2019,letterhead-date,high,
19.10.Eff.AddlMonit.WET.ERM.pdf,06 - Lab Results & Sampling (general)/10-30-2019 - 19.10.Eff.AddlMonit.WET.ERM.pdf,10-30-2019,letterhead-date,high,
19.12.Eff.FollowUp.WET.ERM.pdf,06 - Lab Results & Sampling (general)/01-07-2020 - 19.12.Eff.FollowUp.WET.ERM.pdf,01-07-2020,letterhead-date,high,
20.05.Eff.AddlMonit.ERM.pdf,06 - Lab Results & Sampling (general)/05-19-2020 - 20.05.Eff.AddlMonit.ERM.pdf,05-19-2020,letterhead-date,high,
2010-2016_Cadillac WWTP_District Compliance File.pdf,08 - Compliance & Enforcement/01-01-2010 - 2010-2016_Cadillac WWTP_District Compliance File.pdf,01-01-2010,filename-year (OCR unreliable),medium,
2011-09-19__-7613539083849480309__N3862_On-Site Inspection_09-19-2011.pdf,12 - Wexford Landfill & Leachate/09-19-2011 - N3862_On-Site Inspection_09-19-2011.pdf,09-19-2011,letterhead-date,high,
2012-05-09__-5505003157730599556__Wexford Co Landfill NOI.pdf,12 - Wexford Landfill & Leachate/04-11-2012 - Wexford Co Landfill NOI.pdf,04-11-2012,transmittal-letter-date,medium,
2012-06-06__-9038372958555267064__SW COC Issued Letter.pdf,12 - Wexford Landfill & Leachate/06-28-2012 - SW COC Issued Letter.pdf,06-28-2012,letterhead-date,high,
2012-06-06__7666952873603211069__NEW SW COC.pdf,12 - Wexford Landfill & Leachate/08-27-2010 - NEW SW COC.pdf,08-27-2010,issue-label:issued,high,
2014-09-16__568626317430663494__N3862_On-Site Inspection_09-16-2014.pdf,12 - Wexford Landfill & Leachate/09-16-2014 - N3862_On-Site Inspection_09-16-2014.pdf,09-16-2014,letterhead-date,high,
2014-09-16__6575640507295912005__N3862_Full Compliance Evaluation_09-16-2014.pdf,12 - Wexford Landfill & Leachate/09-16-2014 - N3862_Full Compliance Evaluation_09-16-2014.pdf,09-16-2014,first-date-on-page1,medium,
2014-10-10_Cadillac_Pre-Inspection_Report_56545.pdf,07 - Inspections & Evaluations/10-10-2014 - Cadillac_Pre-Inspection_Report_56545.pdf,10-10-2014,filename-date,medium,
2014-10-10_Cadillac_Pre-Inspection_Report_56545_Scan_OCR.pdf,07 - Inspections & Evaluations/10-10-2014 - Cadillac_Pre-Inspection_Report_56545_Scan_OCR.pdf,10-10-2014,filename-date,medium,
201411251653.pdf,07 - Inspections & Evaluations/11-25-2014 - 201411251653.pdf,11-25-2014,date-label:Date:,medium,
