Pages,Kept,MovedCopy,TextFingerprint
2,"04 - PFAS Monitoring/American Waste PFAS Survey -  IPP-PFAS Initiative Screening Evaluation completed by Wexford County Landfill, LLC.pdf",Duplicates/Same-Content (byte-different)/American Waste PFAS Survey.pdf,017507c3fed7336e
16,08 - Compliance & Enforcement/2026-05-22__-1255819534835910397__EGLE WRD Correspondence_ SVN-01952_Cadillac WWTP.msg.pdf,Duplicates/Same-Content (byte-different)/2026-05-22__-1834643150412972249__EGLE WRD Correspondence_ SVN-01952_Cadillac WWTP_COPY.msg.pdf,032c87dccd85a2c3
7,05 - Biosolids & Land Application/EM-CPLR Notification examples.pdf,Duplicates/Same-Content (byte-different)/2021-01-25__4873548006900359851__EM-CPLR Notification examples.msg.pdf,1bb529329ccaa586
42,09 - Correspondence & Letters/[2018]_FW_ TestAmerica invoice and report files from 190-17646-1 City of Cadillac.pdf,Duplicates/Same-Content (byte-different)/2018-11-07__-1449555407544169069__FW_ TestAmerica invoice and report files from 190-17646-1 City of Cadillac.msg.pdf,2098ef92a4e49f93
42,09 - Correspondence & Letters/[2018]_FW_ TestAmerica invoice and report files from 190-17646-1 City of Cadillac.pdf,Duplicates/Same-Content (byte-different)/2019-01-23__583956827072831568__FW_ TestAmerica invoice and report files from 190-17646-1 City of Cadillac.msg.pdf,2098ef92a4e49f93
70,04 - PFAS Monitoring/Preliminary Effluent Limits (PEL)_MI0020257_Outfall 001_PFAS_08-01-2023.pdf,Duplicates/Same-Content (byte-different)/2023-08-01__1195067454859372668__Preliminary Effluent Limits (PEL)_MI0020257_Outfall 001_PFAS_08-01-2023.xls.pdf,2a8e3947e89ba054
16,04 - PFAS Monitoring/Pace-25-09-PFAS-Pace-REPORT.pdf,Duplicates/Same-Content (byte-different)/[2025]_25.09.PFAS.Pace.pdf,2cdc48dbb6507cb2
16,04 - PFAS Monitoring/Pace-25-09-PFAS-Pace-REPORT.pdf,Duplicates/Same-Content (byte-different)/25.09.PFAS.Pace.pdf,2cdc48dbb6507cb2
3,04 - PFAS Monitoring/Cadillac WWTP PFAS Interim and Summary Rpt Approval Letter.pdf,Duplicates/Same-Content (byte-different)/2019-03-04__2197571042959551007__Cadillac WWTP PFAS Letter.pdf.pdf,339b1eaac528ef89
2,04 - PFAS Monitoring/WQBELBiologistFactSheet_MI0020257_PFOS_08-01-2023.pdf,Duplicates/Same-Content (byte-different)/2023-08-01__-1408874561353041047__WQBELBiologistFactSheet_MI0020257_PFOS_08-01-2023.doc.pdf,390acf7b8907bbf4
65,07 - Inspections & Evaluations/Cadillac WWTP 2018 CSI Trnsmt & VN Crrspnd 020519.pdf,Duplicates/Same-Content (byte-different)/2019-02-05__-3784595676221306480__Cadillac WWTP 2018 CSI Trnsmt & VN Crrspnd 020519.msg.pdf,3afd6a80273f535e
22,02 - NPDES Permits & Permit Issuance/2017-04-03_Cadillac_WWTP_NPDES_Application.pdf,Duplicates/Same-Content (byte-different)/Application_2Q7-HQ21-P66B V1.pdf,3cd9bc744a510549
8,09 - Correspondence & Letters/Additional Email Correspondence_Asset Management Conversation.pdf,Duplicates/Same-Content (byte-different)/2018-10-01__5826779191242185880__Additional Email Correspondence_Asset Management Conversation.msg.pdf,48020a43be76d7fb
5,"04 - PFAS Monitoring/Cadillac WWTP PFAS Letter - March 4, 2019 DEQ letter approving the IPP PFAS Interim - Summary Reports, formally noting one source was discharging PFOS above the screening level Wexford was the source.pdf",Duplicates/Same-Content (byte-different)/Cadillac WWTP PFAS Letter - 3-4-2019.pdf,5e6f189083f18b3d
5,"04 - PFAS Monitoring/Cadillac WWTP PFAS Letter - March 4, 2019 DEQ letter approving the IPP PFAS Interim - Summary Reports, formally noting one source was discharging PFOS above the screening level Wexford was the source.pdf",Duplicates/Same-Content (byte-different)/Cadillac WWTP PFAS Letter.pdf,5e6f189083f18b3d
