record_no,category,date_or_period,document_title,record_id_or_locator,pages,status,direct_relevance,key_evidence_or_reason,source_report_page,priority,notes,url
1,Cadillac receiving / SIU,2012-03-26,Cadillac WWTP SIU Information,2606761043345214758,11,Identified by MiEnviro record ID,Direct,"Wexford County Landfill LLC; permit 590-13; intermittent process wastewater; 33,600 gpd.",2,High,,https://mienviro.michigan.gov/ncore/DownloadPdf/2606761043345214758
2,Cadillac receiving / SIU,2012-03-26,Cadillac WWTP Septage Information,-605910068122278034,16,Identified; native PDF reported raster/blank-looking,Direct,"No septage, RCRA hazardous waste, or remediation wastewater; yes nondomestic wastewater; 33,600 gpd landfill leachate.",2,High,Exact source and searchable compatibility copy were reportedly preserved in the earlier evidence packet.,https://mienviro.michigan.gov/ncore/DownloadPdf/-605910068122278034
3,Cadillac receiving / SIU,2013-06-07; covers 2011,Cadillac WWTP IPP 2011,7597357992452969174,50,Identified by MiEnviro record ID,Direct,"Records sale of Wexford County DPW Landfill to American Waste, rename to Wexford County Landfill LLC, permit 590-13, and 2011 copper significant noncompliance.",2,High,,https://mienviro.michigan.gov/ncore/DownloadPdf/7597357992452969174
4,Inspection / notes,2015-05-13; embeds 2011-02-03 observation,Pre-Inspection Report,-3430155575482837490,7,Identified by MiEnviro record ID,Direct,"Equalization tank received hauled waste essentially consisting of County Landfill leachate; recommends flow-proportional sampling, a flow meter, and screening.",2,High,,https://mienviro.michigan.gov/ncore/DownloadPdf/-3430155575482837490
5,Inspection / notes,2014 pre-inspection rendering,Inspection 56545 rendering,3428788513576669470,7,Identified; duplicate evidence family,Direct,Preserves the same pre-inspection history and embedded 2011 hauled-leachate statement.,2,High,Not an independent inspection event.,https://mienviro.michigan.gov/ncore/DownloadPdf/3428788513576669470
6,Inspection / notes,2014 pre-inspection scan,Inspection 56545 scan rendering,4833597761643264099,8,Identified; unique scan rendering,Direct,Preserves the same inspection history; reportedly OCRed and visually checked.,2,High,Not an independent inspection event.,https://mienviro.michigan.gov/ncore/DownloadPdf/4833597761643264099
7,Inspection / notes,2014 pre-inspection duplicate,Inspection 56545 exact duplicate,6087030119021648324,Not stated,Identified exact duplicate,Direct,Same inspection history and hauled-leachate statement.,2,Low,Keep for provenance; do not count as a separate observation.,https://mienviro.michigan.gov/ncore/DownloadPdf/6087030119021648324
8,Air profile N3862,2014-09-16,Full Compliance Evaluation,6575640507295912005,Not stated,Identified by MiEnviro record ID,Corroborative,"States an August 5, 2014 Leachate Recirculation Plan and Odor Management Plan incorporated the Leachate Atomizer and were approved.",2,High,,https://mienviro.michigan.gov/ncore/DownloadPdf/6575640507295912005
9,Air profile N3862,2015-11-18,On-site Inspection,-7708436501529552797,Not stated,Identified by MiEnviro record ID,Corroborative,Rule 290 aeration pond had not been used in the prior 12 months and would not be used; removal from renewable operating permit requested.,2,Medium,,https://mienviro.michigan.gov/ncore/DownloadPdf/-7708436501529552797
10,Air profile N3862,2017-11-06,On-site Inspection,-7145165304305963063,Not stated,Identified by MiEnviro record ID,Corroborative,"Describes remediation aeration ponds in post-closure, exempt leachate evaporation system, and accepted waste streams including petroleum-contaminated soil, sludge, and asbestos.",2,High,,https://mienviro.michigan.gov/ncore/DownloadPdf/-7145165304305963063
