DocMgmtDocurl,DocMgmtDocName,DocMgmtDocDescr,DocMgmtCategory,DocMgmtDocRvcdCreatedDate,DocMgmtDocMgmtId,DocMgmtSourceprogramarea,DocMgmtSourcefunctionalarea,DocMgmtSourcenumber,DocMgmtSourcetype
"https://mienviro.michigan.gov/ncore/downloadpdf/-7819705666094462823",FY00 RMP Application.pdf,,Misc Site Docs,"7/26/2000 12:00:00 AM",-7819705666094462823,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/430972511194369448",FY00 RMP Application - Appendices and Instr.pdf,,Misc Site Docs,"7/26/2000 12:00:00 AM",430972511194369448,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/-2717646625088796719",RMP Approval Letter-2002.pdf,,Misc Site Docs,"5/6/2002 12:00:00 AM",-2717646625088796719,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/-919100790848612757",Cadillac WWTP Oct 2017 BOD email 102517.msg,NPDES limit exceedance correspondence,Misc Site Docs,"10/25/2017 12:00:00 AM",-919100790848612757,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/850609280377440890",Cadillac WWTP Oct 2017 BOD notice 102517.msg,NPDES limit exceedance correspondence,Misc Site Docs,"10/25/2017 12:00:00 AM",850609280377440890,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/-6671969809514163421",Cadillac WWTP Oct 2017 BOD email 103017.msg,NPDES limit exceedance correspondence,Misc Site Docs,"10/30/2017 12:00:00 AM",-6671969809514163421,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/-6334666196725602947",Cadillac WWTP Nov 2017 BOD Notice 120417.msg,NPDES limit exceedance correspondence,Misc Site Docs,"12/4/2017 12:00:00 AM",-6334666196725602947,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/-6162908203363123759",AlternateTestMethod-Ammonia_MI0020257_3-2-2018.msg,,Misc Site Docs,"3/16/2018 12:00:00 AM",-6162908203363123759,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/-3670737727367029737",Cadillac WWTP May CBOD Exceed 050918.msg,,Misc Site Docs,"5/9/2018 12:00:00 AM",-3670737727367029737,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/-4965689064233631921",MI0020257_August2019WET Report_9-10-2019.pdf,,Misc Site Docs,"9/13/2019 12:00:00 AM",-4965689064233631921,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/1925324962544154374",WET Email_MI0020257_August 2019 WET Report_9-10-2019.msg,,Misc Site Docs,"9/13/2019 12:00:00 AM",1925324962544154374,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/-3775827852740007551",WETQuestion_MI0020257_11-22-2019.msg,,Misc Site Docs,"11/22/2019 12:00:00 AM",-3775827852740007551,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/-9182293101992928732",Example-CPLR Site Notification Ltr - RH01.pdf,went along with EGLE email to WWTP Oper.,Misc Site Docs,"1/25/2021 12:00:00 AM",-9182293101992928732,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/-2377671664964831691",Example-CPLR Notification Letter-06S06W04-SF01.docx,went along with EGLE email to WWTP Oper.,Misc Site Docs,"1/25/2021 12:00:00 AM",-2377671664964831691,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/3067968206844043988",Example-CPLR site - exceeds Copper.pdf,went along with EGLE email to WWTP Oper.,Misc Site Docs,"1/25/2021 12:00:00 AM",3067968206844043988,n/a,Site,15637,Site
