DocMgmtDocurl,DocMgmtDocName,DocMgmtDocDescr,DocMgmtCategory,DocMgmtDocRvcdCreatedDate,DocMgmtDocMgmtId,DocMgmtSourceprogramarea,DocMgmtSourcefunctionalarea,DocMgmtSourcenumber,DocMgmtSourcetype
"https://mienviro.michigan.gov/ncore/downloadpdf/2172340051359406316",Application Tranmittal Memo.doc,Application Tranmittal Memo,Conversion - Permit,"7/30/2002 12:00:00 AM",2172340051359406316,WRD - NPDES,Permit,MI0020257 v3.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-5946232813757449641",Pre-Public Notice Letter.doc,Pre-Public Notice Letter,Conversion - Permit,"4/14/2003 12:00:00 AM",-5946232813757449641,WRD - NPDES,Permit,MI0020257 v3.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/487609006770706385",Permit Template - Municipal.doc,Permit Template - Municipal,Conversion - Permit,"4/14/2003 12:00:00 AM",487609006770706385,WRD - NPDES,Permit,MI0020257 v3.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/1724774635168238680",Fact Sheet for IP.doc,Fact Sheet for IP,Conversion - Permit,"4/14/2003 12:00:00 AM",1724774635168238680,WRD - NPDES,Permit,MI0020257 v3.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/4341599168733408546",Basis For Decision Memo.doc,Basis For Decision Memo,Conversion - Permit,"4/14/2003 12:00:00 AM",4341599168733408546,WRD - NPDES,Permit,MI0020257 v3.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/6434387377316718903",Permit Processing Checklist.doc,Permit Processing Checklist,Conversion - Permit,"4/14/2003 12:00:00 AM",6434387377316718903,WRD - NPDES,Permit,MI0020257 v3.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/6618692253157117034",Decisionmaker Memo.doc,Decisionmaker Memo,Conversion - Permit,"4/14/2003 12:00:00 AM",6618692253157117034,WRD - NPDES,Permit,MI0020257 v3.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/7226992711424202817",Public Notice Document.doc,Public Notice Document,Conversion - Permit,"4/14/2003 12:00:00 AM",7226992711424202817,WRD - NPDES,Permit,MI0020257 v3.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/8023590671769451941",General Purpose Letter.doc,General Purpose Letter,Conversion - Permit,"7/23/2003 12:00:00 AM",8023590671769451941,WRD - NPDES,Permit,MI0020257 v3.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/9192066128657787200",Issued Letter - Individual Permit.doc,Issued Letter - Individual Permit,Conversion - Permit,"9/29/2003 12:00:00 AM",9192066128657787200,WRD - NPDES,Permit,MI0020257 v3.0,NPDES Individual Permit
