DocMgmtDocurl,DocMgmtDocName,DocMgmtDocDescr,DocMgmtCategory,DocMgmtDocRvcdCreatedDate,DocMgmtDocMgmtId,DocMgmtSourceprogramarea,DocMgmtSourcefunctionalarea,DocMgmtSourcenumber,DocMgmtSourcetype
"https://mienviro.michigan.gov/ncore/downloadpdf/-1143590744613461441",Cadillac 2003 BAR.pdf,FY 2003 Biosolids Annual Report,NPDES Biosolids Site Docs,"10/30/2003 12:00:00 AM",-1143590744613461441,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/1301191744469019931",RMP Modification Request-July 2014.pdf,to Surface apply,NPDES Biosolids Site Docs,"7/7/2014 12:00:00 AM",1301191744469019931,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/396256187984330582",RMP Modification Approval Letter-2014.pdf,Surface apply with conditions,NPDES Biosolids Site Docs,"7/10/2014 12:00:00 AM",396256187984330582,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/-7264173746534175124",EM Tr-Biosolids Incorp Letters.msg,DEQ responds,NPDES Biosolids Site Docs,"9/24/2018 12:00:00 AM",-7264173746534175124,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/-7043507367343532193",EM-Biosolids Incorp Letters.msg,from facility operator,NPDES Biosolids Site Docs,"9/24/2018 12:00:00 AM",-7043507367343532193,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/-6232070511699409849",MII Letter to Cadillac WWTP - Biosolids Incorporation.pdf,came w/ email from facility operator,NPDES Biosolids Site Docs,"9/24/2018 12:00:00 AM",-6232070511699409849,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/4078388779723838203",Cadillac WWTP Letter to DEQ - Biosolids Incorporation.pdf,came w/ email from facility operator,NPDES Biosolids Site Docs,"9/24/2018 12:00:00 AM",4078388779723838203,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/555555133104521288",EM-Cadillac WWTP-FY19 CPLR Arsenic Exceeded Notification.msg,from WWTP Oper.,NPDES Biosolids Site Docs,"1/28/2021 12:00:00 AM",555555133104521288,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/697514453136914568",EM-Cadillac WWTP-FY19 CPLR Arsenic Exceeded Notification - Received.msg,EGLE responds,NPDES Biosolids Site Docs,"1/28/2021 12:00:00 AM",697514453136914568,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/8791805065657436320",Cadillac WWTP-FY19 CPLR Arsenic Exceeded Notification.pdf,came w/ email from WWTP Oper.,NPDES Biosolids Site Docs,"1/28/2021 12:00:00 AM",8791805065657436320,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/706798892213849649",20231220073633.pdf,Cadillac WWTP Biosolids RMP,NPDES Biosolids Site Docs,"12/20/2023 12:00:00 AM",706798892213849649,n/a,Site,15637,Site
