DocMgmtDocurl,DocMgmtDocName,DocMgmtDocDescr,DocMgmtCategory,DocMgmtDocRvcdCreatedDate,DocMgmtDocMgmtId,DocMgmtSourceprogramarea,DocMgmtSourcefunctionalarea,DocMgmtSourcenumber,DocMgmtSourcetype
"https://mienviro.michigan.gov/ncore/downloadpdf/-249427931612365085",Gen Inspection Transmittal Ltr.doc,Gen Inspection Transmittal Ltr,Conversion - Eval,"6/1/2004 12:00:00 AM",-249427931612365085,WRD - NPDES,Evaluation,E-C4AD-18-3354,Compliance Evaluation Inspection (CEI) (05/28/2004)
"https://mienviro.michigan.gov/ncore/downloadpdf/-2071898089887156795",Sampling Field Sheet.doc,Sampling Field Sheet,Conversion - Eval,"3/12/2007 12:00:00 AM",-2071898089887156795,WRD - NPDES,Evaluation,E-88CF-3B-BCA3,CSI-Conventionals Only (05/07/2007)
"https://mienviro.michigan.gov/ncore/downloadpdf/-3635890049375617867",Gen'l Inspection Transmittal.doc,Gen'l Inspection Transmittal,Conversion - Eval,"8/21/2007 12:00:00 AM",-3635890049375617867,WRD - NPDES,Evaluation,E-D92A-E1-AF69,Biosolids Audit (08/07/2007)
"https://mienviro.michigan.gov/ncore/downloadpdf/-1841176088073297244",Gen'l Inspection Transmittal.doc,Gen'l Inspection Transmittal,Conversion - Eval,"7/28/2008 12:00:00 AM",-1841176088073297244,WRD - NPDES,Evaluation,E-6466-D8-4C85,Biosolids Site Inspection (07/01/2008)
"https://mienviro.michigan.gov/ncore/downloadpdf/8032968133037444768",Gen`l Inspection Transmittal.doc,Gen`l Inspection Transmittal,Conversion - Eval,"12/7/2009 12:00:00 AM",8032968133037444768,WRD - NPDES,Evaluation,E-DF86-FF-F62D,CSI-Conventionals Only (09/08/2009)
"https://mienviro.michigan.gov/ncore/downloadpdf/-6512945915928941001",Post-Inspection Report.doc,Post-Inspection Report,Conversion - Eval,"12/8/2009 12:00:00 AM",-6512945915928941001,WRD - NPDES,Evaluation,E-277C-EE-6D3F,Industrial Pretreatment Prog Recon (11/19/2009)
"https://mienviro.michigan.gov/ncore/downloadpdf/-2564720546653195197",Sampling Field Sheet.doc,Sampling Field Sheet,Conversion - Eval,"9/30/2010 12:00:00 AM",-2564720546653195197,WRD - NPDES,Evaluation,E-3F12-26-C65D,CSI-Conventionals Only (02/03/2011)
"https://mienviro.michigan.gov/ncore/downloadpdf/1255616733456315107",Follow-up Letter.doc,Follow-up Letter,Conversion - Eval,"3/9/2011 12:00:00 AM",1255616733456315107,WRD - NPDES,Evaluation,E-3F12-26-C65D,CSI-Conventionals Only (02/03/2011)
"https://mienviro.michigan.gov/ncore/downloadpdf/3428788513576669470",Pre-Inspection ReportLS.doc,Pre-Inspection ReportLS,Conversion - Eval,"9/13/2013 12:00:00 AM",3428788513576669470,WRD - NPDES,Evaluation,E-CF37-78-F1CD,NPDES Compliance Evaluation Inspection (CEI) (09/30/2013)
"https://mienviro.michigan.gov/ncore/downloadpdf/8202189061190805836",Compliance Communication.doc,Compliance Communication,Conversion - Eval,"11/19/2013 12:00:00 AM",8202189061190805836,WRD - NPDES,Evaluation,E-CF37-78-F1CD,NPDES Compliance Evaluation Inspection (CEI) (09/30/2013)
"https://mienviro.michigan.gov/ncore/downloadpdf/8152724494912613868",Sampling Field Sheet.doc,Sampling Field Sheet,Conversion - Eval,"8/4/2014 12:00:00 AM",8152724494912613868,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014)
"https://mienviro.michigan.gov/ncore/downloadpdf/6087030119021648324",Pre-Inspection Report.doc,Pre-Inspection Report,Conversion - Eval,"10/9/2014 12:00:00 AM",6087030119021648324,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014)
"https://mienviro.michigan.gov/ncore/downloadpdf/6466431524347949415",DEQ Test Data Evaluation Form.doc,DEQ Test Data Evaluation Form,Conversion - Eval,"10/9/2014 12:00:00 AM",6466431524347949415,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014)
"https://mienviro.michigan.gov/ncore/downloadpdf/-4079459079770278084",Compliance Communication.doc,Compliance Communication,Conversion - Eval,"10/21/2014 12:00:00 AM",-4079459079770278084,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014)
"https://mienviro.michigan.gov/ncore/downloadpdf/-3430155575482837490",Pre-Inspection Report.doc,Pre-Inspection Report,Conversion - Eval,"5/13/2015 12:00:00 AM",-3430155575482837490,WRD - NPDES,Evaluation,E-91D5-97-E7D2,Pretreatment Compliance Inspection (05/14/2015)
"https://mienviro.michigan.gov/ncore/downloadpdf/-4772097310601120319",Gen'l Inspection Transmittal.doc,Gen'l Inspection Transmittal,Conversion - Eval,"6/25/2015 12:00:00 AM",-4772097310601120319,WRD - NPDES,Evaluation,E-91D5-97-E7D2,Pretreatment Compliance Inspection (05/14/2015)
