DocMgmtDocurl,DocMgmtDocName,DocMgmtDocDescr,DocMgmtCategory,DocMgmtDocRvcdCreatedDate,DocMgmtDocMgmtId,DocMgmtSourceprogramarea,DocMgmtSourcefunctionalarea,DocMgmtSourcenumber,DocMgmtSourcetype
"https://mienviro.michigan.gov/ncore/downloadpdf/-2638314589342291496",Cadillac WWTP Test Results.pdf.pdf,,Conversion - Compliance Action,"4/3/2007 12:00:00 AM",-2638314589342291496,WRD - NPDES,Permit,MI0020257 v4.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/2613298341466559429",Cadillac WWTP App 3-29-07.pdf.pdf,,Conversion - Compliance Action,"4/3/2007 12:00:00 AM",2613298341466559429,WRD - NPDES,Permit,MI0020257 v4.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/8342645995912916360",Cadillac WWTP Map & Flow.pdf.pdf,,Conversion - Compliance Action,"4/3/2007 12:00:00 AM",8342645995912916360,WRD - NPDES,Permit,MI0020257 v4.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/5779833471732764532",Cadillac WWTP - WQBEL follow-up.pdf,Revised Toxics WQBEL recommendations.,Conversion - Compliance Action,"4/14/2008 12:00:00 AM",5779833471732764532,WRD - NPDES,Permit,MI0020257 v4.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/4580311629365553624",CadillacPPNletter.pdf,,Conversion - Compliance Action,"4/23/2008 12:00:00 AM",4580311629365553624,WRD - NPDES,Permit,MI0020257 v4.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-7779154225304618054",comrespcadillac1.pdf,draft permit comment response on conventionals,Conversion - Compliance Action,"6/3/2008 12:00:00 AM",-7779154225304618054,WRD - NPDES,Permit,MI0020257 v4.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-1618494284505799228",draftcommentresp2.pdf,response to comments regarding toxicity requirements in draft permit.,Conversion - Compliance Action,"6/9/2008 12:00:00 AM",-1618494284505799228,WRD - NPDES,Permit,MI0020257 v4.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-6700268509685485462",CadillacPermit.pdf,Public Notice Draft Permit,Conversion - Compliance Action,"7/29/2008 12:00:00 AM",-6700268509685485462,WRD - NPDES,Permit,MI0020257 v4.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-6257461356674121990",CadillacPN.pdf,"Notice to permittee that PN must be posted, draft docs attached",Conversion - Compliance Action,"9/2/2008 12:00:00 AM",-6257461356674121990,WRD - NPDES,Permit,MI0020257 v4.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-988542493944415643",CadillacPNnotify.pdf,"pn notification to public, district office",Conversion - Compliance Action,"9/2/2008 12:00:00 AM",-988542493944415643,WRD - NPDES,Permit,MI0020257 v4.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/1949067031591264135",cadillacdraftcomment.pdf,permittee comments on draft permit docs.,Conversion - Compliance Action,"9/2/2008 12:00:00 AM",1949067031591264135,WRD - NPDES,Permit,MI0020257 v4.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-7021570928602701902",Cadillac WWTP Application.pdf,,Conversion - Compliance Action,"3/26/2012 12:00:00 AM",-7021570928602701902,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-6207937354821693834",Cadillac WWTP Fish Toxicity Tests.pdf,,Conversion - Compliance Action,"3/26/2012 12:00:00 AM",-6207937354821693834,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-4772999631657362957",Cadillac WWTP Mercury Tests.pdf,,Conversion - Compliance Action,"3/26/2012 12:00:00 AM",-4772999631657362957,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-2618602197135988934",Cadillac WWTP Maps and Flow.pdf,,Conversion - Compliance Action,"3/26/2012 12:00:00 AM",-2618602197135988934,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-605910068122278034",Cadillac WWTP Septage Information.pdf,,Conversion - Compliance Action,"3/26/2012 12:00:00 AM",-605910068122278034,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/2606761043345214758",Cadillac WWTP SIU Information.pdf,,Conversion - Compliance Action,"3/26/2012 12:00:00 AM",2606761043345214758,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/4716295422139915510",Cadillac WWTP Test Results.pdf,,Conversion - Compliance Action,"3/26/2012 12:00:00 AM",4716295422139915510,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/2907549657209812738",Cadillac WWTP NEC.pdf,,Conversion - Compliance Action,"4/11/2012 12:00:00 AM",2907549657209812738,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/8407029926974047625",CadillacWWTP_FS.pdf,WQBEL Toxics Recommendations Fact Sheet,Conversion - Compliance Action,"5/2/2013 12:00:00 AM",8407029926974047625,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/691496640525586540",Cadillac PPN Email.pdf,,Conversion - Compliance Action,"7/17/2013 12:00:00 AM",691496640525586540,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/6433966495781532147",Cadillac WWTP Draft Permit.pdf,PPN Permit,Conversion - Compliance Action,"7/17/2013 12:00:00 AM",6433966495781532147,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-7691202997137362379",CadillacWWTP_ToxicsFactSheet.pdf,Updated WQBEL Toxics Recommendations Fact Sheet,Conversion - Compliance Action,"8/8/2013 12:00:00 AM",-7691202997137362379,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-8309188111481449431",Cadillac WWTP PPN Email Exchange 2.pdf,,Conversion - Compliance Action,"8/16/2013 12:00:00 AM",-8309188111481449431,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-7391325481454595778",Cadillac WWTP Basis for Decision Memo.pdf,Version as public noticed,Conversion - Compliance Action,"8/16/2013 12:00:00 AM",-7391325481454595778,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-4130029830579911351",Cadillac WWTP Response to Comments Email.pdf,,Conversion - Compliance Action,"8/16/2013 12:00:00 AM",-4130029830579911351,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-3380254261609336174",Cadillac WWTP Public Notice Draft Permit.pdf,,Conversion - Compliance Action,"8/16/2013 12:00:00 AM",-3380254261609336174,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-2888412398541189349",Cadillac WWTP PPN Email Exchange.pdf,,Conversion - Compliance Action,"8/16/2013 12:00:00 AM",-2888412398541189349,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit
