DocMgmtDocurl,DocMgmtDocName,DocMgmtDocDescr,DocMgmtCategory,DocMgmtDocRvcdCreatedDate,DocMgmtDocMgmtId,DocMgmtSourceprogramarea,DocMgmtSourcefunctionalarea,DocMgmtSourcenumber,DocMgmtSourcetype
"https://mienviro.michigan.gov/ncore/downloadpdf/-3361843393223808956",WQBEL Cadillac WWTP 6-7-07.pdf,Local limits WQBELs.,Industrial Pretreatment Program (IPP),"6/7/2007 12:00:00 AM",-3361843393223808956,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/1950215384933042828",MI0020257 PFAS-IPP Letter 2-20-2018.pdf,,Industrial Pretreatment Program (IPP),"3/1/2018 12:00:00 AM",1950215384933042828,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/1922698188754231116",PFAS.msg,,Industrial Pretreatment Program (IPP),"4/18/2018 12:00:00 AM",1922698188754231116,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/3538327832857428719",RE_ PFAS.msg,,Industrial Pretreatment Program (IPP),"4/19/2018 12:00:00 AM",3538327832857428719,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/-739906742778535660",Cadillac WWTP 2nd PFAS-IPP Mailing.pdf,,Industrial Pretreatment Program (IPP),"5/18/2018 12:00:00 AM",-739906742778535660,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/2280393261818424283",Cadillac WWTP_PFAS Extension Approval FINAL.docx,IPP PFAS extension approval letter,Industrial Pretreatment Program (IPP),"5/23/2018 12:00:00 AM",2280393261818424283,WRD - NPDES,Application/Request,HND-N47D-M65XQ,Schedule - IPP Modification Request or New Program Approval Request
"https://mienviro.michigan.gov/ncore/downloadpdf/-8619958092011217786",FW_ City of Cadillac Letter.msg,,Industrial Pretreatment Program (IPP),"6/13/2018 12:00:00 AM",-8619958092011217786,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/6364498015414189768",AAR Mobility Maps and Flow.pdf,IPP PFAS Interim Rpt discussion correspondence,Industrial Pretreatment Program (IPP),"6/27/2018 12:00:00 AM",6364498015414189768,WRD - NPDES,Application/Request,HNF-P7H3-DCN87,Schedule - IPP PFAS Interim Report-1
,RE_ Cadillac WWTP - IPP PFAS Interim Report Review (1).msg,,Industrial Pretreatment Program (IPP),"9/19/2018 12:00:00 AM",-343730904032096154,n/a,Site,15637,Site
,RE_ Cadillac WWTP - IPP PFAS Interim Report Review.msg,IPP PFAS Summ Rpt discussion documents,Industrial Pretreatment Program (IPP),"9/19/2018 12:00:00 AM",6449269443969004594,WRD - NPDES,Application/Request,HNJ-P0ZX-8AVDS,Schedule - IPP PFAS Summary Report
"https://mienviro.michigan.gov/ncore/downloadpdf/4951764546287509111",RE_ Cadillac WWTP - IPP PFAS Interim Report Review.msg,,Industrial Pretreatment Program (IPP),"9/20/2018 12:00:00 AM",4951764546287509111,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/1259500000165986272",Arvco email.pdf,IPP PFAS Interim Rpt discussion correspondence,Industrial Pretreatment Program (IPP),"10/15/2018 12:00:00 AM",1259500000165986272,WRD - NPDES,Application/Request,HNF-P7H3-DCN87,Schedule - IPP PFAS Interim Report-1
,RE_ Cadillac WWTP - IPP PFAS Interim Report Review1.msg,IPP PFAS Interim Rpt discussion correspondence,Industrial Pretreatment Program (IPP),"10/15/2018 12:00:00 AM",4248551297065010540,WRD - NPDES,Application/Request,HNF-P7H3-DCN87,Schedule - IPP PFAS Interim Report-1
"https://mienviro.michigan.gov/ncore/downloadpdf/-3935179264562711398",Dyneon discussion Cadillac.docx,IPP PFAS Interim Rpt discussion correspondence,Industrial Pretreatment Program (IPP),"10/29/2018 12:00:00 AM",-3935179264562711398,WRD - NPDES,Application/Request,HNF-P7H3-DCN87,Schedule - IPP PFAS Interim Report-1
"https://mienviro.michigan.gov/ncore/downloadpdf/7777500079687113609",FW_ TestAmerica invoice and report files from 190-17646-1 City of Cadillac.msg,,Industrial Pretreatment Program (IPP),"10/29/2018 12:00:00 AM",7777500079687113609,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/-7625399138862663878",RE_ Cadillac WWTP - IPP PFAS Interim Report Review2.msg,IPP PFAS Summ Rpt discussion documents,Industrial Pretreatment Program (IPP),"11/1/2018 12:00:00 AM",-7625399138862663878,WRD - NPDES,Application/Request,HNJ-P0ZX-8AVDS,Schedule - IPP PFAS Summary Report
