DocMgmtDocurl,DocMgmtDocName,DocMgmtDocDescr,DocMgmtCategory,DocMgmtDocRvcdCreatedDate,DocMgmtDocMgmtId,DocMgmtSourceprogramarea,DocMgmtSourcefunctionalarea,DocMgmtSourcenumber,DocMgmtSourcetype
"https://mienviro.michigan.gov/ncore/downloadpdf/-8331791724398417409",CSI-Compliance Sampling Inspection-Sept 8 2009.pdf,"Evaluation by Garth Aslakson, sampling by Chris Little/Cindy Sneller",NPDES Misc. Site Docs,"9/8/2009 12:00:00 AM",-8331791724398417409,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/-6937581027589815058",2010_0728_Cadillac WWTP_DMR QA-30.pdf,District Scanned,NPDES Misc. Site Docs,"7/28/2010 12:00:00 AM",-6937581027589815058,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/9070706673294423682",2011_0805_Cadillac WWTP_DMR QA-31.pdf,District Scanned,NPDES Misc. Site Docs,"8/5/2011 12:00:00 AM",9070706673294423682,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/-2140745704635662606",2012_0817_Cadillac WWTP_DMR QA-32.pdf,District Scanned,NPDES Misc. Site Docs,"8/17/2012 12:00:00 AM",-2140745704635662606,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/4611196213415728235",2013_0814_Cadillac WWTP_DMR QA-33.pdf,District Scanned,NPDES Misc. Site Docs,"8/14/2013 12:00:00 AM",4611196213415728235,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/2417529640713035099",2014_0818_Cadillac WWTP_DMR QA-34.pdf,District Scanned,NPDES Misc. Site Docs,"8/18/2014 12:00:00 AM",2417529640713035099,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/5870795035956810268",2014_1022_Cadillac WWTP_Classification Letter.pdf,District Scanned,NPDES Misc. Site Docs,"10/22/2014 12:00:00 AM",5870795035956810268,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/1797615431681061467",2015_0331_Cadillac WWTP_2014 MMP Yearly Status Report.pdf,District Scanned,NPDES Misc. Site Docs,"3/31/2015 12:00:00 AM",1797615431681061467,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/1276091315669172082",2015_0805_Cadillac WWTP_DMR QA-35.pdf,District Scanned,NPDES Misc. Site Docs,"8/5/2015 12:00:00 AM",1276091315669172082,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/-6731013379800742486",Cadillac WWTP DMRQA 35.pdf,,NPDES Misc. Site Docs,"1/11/2016 12:00:00 AM",-6731013379800742486,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/-8836688320995793733",2010-2016_Cadillac WWTP_District Compliance File.pdf,District Scanned,NPDES Misc. Site Docs,"1/12/2016 12:00:00 AM",-8836688320995793733,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/-5568021370246960521",ByPass notification 12-21-15.pdf,,NPDES Misc. Site Docs,"1/25/2016 12:00:00 AM",-5568021370246960521,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/-4582177045037647324",Spill notification 1-12-16.pdf,,NPDES Misc. Site Docs,"1/25/2016 12:00:00 AM",-4582177045037647324,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/-4750733240863552693",Low Ph notice by City May 16 2016.pdf,"Doug Langworthy called in the exceedance on Thursday, May 12, 2016",NPDES Misc. Site Docs,"5/16/2016 12:00:00 AM",-4750733240863552693,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/3518176617040371250",2016_0802_Cadillac WWTP_DMR QA-36.pdf,District Scanned,NPDES Misc. Site Docs,"8/2/2016 12:00:00 AM",3518176617040371250,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/4594408055865795856",DMRQA 36.Cadillac WWTP.pdf,,NPDES Misc. Site Docs,"12/6/2016 12:00:00 AM",4594408055865795856,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/7735398460674456608",emails regd verbal notify BOD exceed 050917 ul MiW.msg,,NPDES Misc. Site Docs,"5/9/2017 12:00:00 AM",7735398460674456608,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/3141508032254302466",written rpt BOD exceed 051217 ul MiW.msg,,NPDES Misc. Site Docs,"5/12/2017 12:00:00 AM",3141508032254302466,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/-389607197290388061",email addn reporting BOD exceed 051717 ul MiW.msg,,NPDES Misc. Site Docs,"5/17/2017 12:00:00 AM",-389607197290388061,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/-7534533116651044102",written rpt ammonia NPDES exceedance 051917.msg,,NPDES Misc. Site Docs,"5/19/2017 12:00:00 AM",-7534533116651044102,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/-1358521760501568481",written report BOD exceedance #2 052417.msg,,NPDES Misc. Site Docs,"5/24/2017 12:00:00 AM",-1358521760501568481,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/5876564337621442480",written report BOD exceedance 061517.msg,,NPDES Misc. Site Docs,"6/15/2017 12:00:00 AM",5876564337621442480,n/a,Site,15637,Site
"https://mienviro.michigan.gov/ncore/downloadpdf/-5622633242256800541",written report BOD exceedance 071217.msg,,NPDES Misc. Site Docs,"7/12/2017 12:00:00 AM",-5622633242256800541,n/a,Site,15637,Site
