Seq,SavedFile,OriginalName,DocDate,Description,Category,ProgramArea,FunctionalArea,SourceNumber,SourceType,DocMgmtId,SourceURL,Bytes,SHA256,Status,Note
0001,0001_2010-07-28_2010_0728_Cadillac WWTP_DMR QA-30.pdf,2010_0728_Cadillac WWTP_DMR QA-30.pdf,2010-07-28,District Scanned,NPDES Misc. Site Docs,n/a,Site,15637,Site,-6937581027589815058,https://mienviro.michigan.gov/ncore/downloadpdf/-6937581027589815058,1646356,e12b255837e5fe15b324b119531b533b5a4b070d98e6c995d96bdb6f92d0a704,OK,
0011,0011_2011-08-05_2011_0805_Cadillac WWTP_DMR QA-31.pdf,2011_0805_Cadillac WWTP_DMR QA-31.pdf,2011-08-05,District Scanned,NPDES Misc. Site Docs,n/a,Site,15637,Site,9070706673294423682,https://mienviro.michigan.gov/ncore/downloadpdf/9070706673294423682,1093260,a5901abb04e2a765f74e83ec7ea53c7a3b391a8bf1dc0556da3f9c3f40039a60,OK,
0021,0021_2012-08-17_2012_0817_Cadillac WWTP_DMR QA-32.pdf,2012_0817_Cadillac WWTP_DMR QA-32.pdf,2012-08-17,District Scanned,NPDES Misc. Site Docs,n/a,Site,15637,Site,-2140745704635662606,https://mienviro.michigan.gov/ncore/downloadpdf/-2140745704635662606,486036,080148d335509f04f7c17d3b300bde65d3337e936b63b3783ca47a2d3c4e5b16,OK,
0038,0038_2013-08-14_2013_0814_Cadillac WWTP_DMR QA-33.pdf,2013_0814_Cadillac WWTP_DMR QA-33.pdf,2013-08-14,District Scanned,NPDES Misc. Site Docs,n/a,Site,15637,Site,4611196213415728235,https://mienviro.michigan.gov/ncore/downloadpdf/4611196213415728235,1370064,0020874aad97bf0707f845b3fcbfff7ccdc5aa55971ad8bb5eeb3d624359666d,OK,
0065,0065_2014-08-18_2014_0818_Cadillac WWTP_DMR QA-34.pdf,2014_0818_Cadillac WWTP_DMR QA-34.pdf,2014-08-18,District Scanned,NPDES Misc. Site Docs,n/a,Site,15637,Site,2417529640713035099,https://mienviro.michigan.gov/ncore/downloadpdf/2417529640713035099,1059234,32bc7f72220a9676e1cc2883346c6d97df624082d33fb1c61aae28f10feea949,OK,
0078,0078_2014-10-22_2014_1022_Cadillac WWTP_Classification Letter.pdf,2014_1022_Cadillac WWTP_Classification Letter.pdf,2014-10-22,District Scanned,NPDES Misc. Site Docs,n/a,Site,15637,Site,5870795035956810268,https://mienviro.michigan.gov/ncore/downloadpdf/5870795035956810268,71614,3bc83a28c95da419bee3f8e17ce2ed728b5d45c2668fd0bbc0ea713183e1efdf,OK,
0086,0086_2015-03-31_2015_0331_Cadillac WWTP_2014 MMP Yearly Status Report.pdf,2015_0331_Cadillac WWTP_2014 MMP Yearly Status Report.pdf,2015-03-31,District Scanned,NPDES Misc. Site Docs,n/a,Site,15637,Site,1797615431681061467,https://mienviro.michigan.gov/ncore/downloadpdf/1797615431681061467,866014,26e7c52a1e2103ff46f9ab49f013494123961fd27aaa5953eec30f844993573b,OK,
0095,0095_2015-08-05_2015_0805_Cadillac WWTP_DMR QA-35.pdf,2015_0805_Cadillac WWTP_DMR QA-35.pdf,2015-08-05,District Scanned,NPDES Misc. Site Docs,n/a,Site,15637,Site,1276091315669172082,https://mienviro.michigan.gov/ncore/downloadpdf/1276091315669172082,720193,8593a5392d3c9f2a635cd3afcd985fdc92e636ab718757f46e6cfa487921abed,OK,
0112,0112_2016-01-11_Cadillac WWTP DMRQA 35.pdf,Cadillac WWTP DMRQA 35.pdf,2016-01-11,,NPDES Misc. Site Docs,n/a,Site,15637,Site,-6731013379800742486,https://mienviro.michigan.gov/ncore/downloadpdf/-6731013379800742486,1284984,ae2f198299bb86cfbb0bf1e08756b3aab575a0d825e71677d8f70493ea8fc17b,OK,
0113,0113_2016-01-12_2010-2016_Cadillac WWTP_District Compliance File.pdf,2010-2016_Cadillac WWTP_District Compliance File.pdf,2016-01-12,District Scanned,NPDES Misc. Site Docs,n/a,Site,15637,Site,-8836688320995793733,https://mienviro.michigan.gov/ncore/downloadpdf/-8836688320995793733,29461464,9d6ad860baaf91d1aa61b170fe76d1e0571bb7726cbe8cc68da5a8c80ebdc24d,OK,
