Document Date,Year,Document Name,Description,Document Class,Priority,Legacy / Hidden Retrieval Flags,MiEnviro Category,Program Area,Functional Area,Source Number,Source Type,Document Mgmt ID,MiEnviro Deep Link,Review / Recovery Status
2010-07-28,2010,2010_0728_Cadillac WWTP_DMR QA-30.pdf,District Scanned,Site / Miscellaneous,Routine,Site 15637 / Site record; District scanned composite,NPDES Misc. Site Docs,,Site,15637,Site,-6937581027589815058,https://mienviro.michigan.gov/ncore/downloadpdf/-6937581027589815058,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2011-08-05,2011,2011_0805_Cadillac WWTP_DMR QA-31.pdf,District Scanned,Site / Miscellaneous,Routine,Site 15637 / Site record; District scanned composite,NPDES Misc. Site Docs,,Site,15637,Site,9070706673294423682,https://mienviro.michigan.gov/ncore/downloadpdf/9070706673294423682,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2012-08-17,2012,2012_0817_Cadillac WWTP_DMR QA-32.pdf,District Scanned,Site / Miscellaneous,Routine,Site 15637 / Site record; District scanned composite,NPDES Misc. Site Docs,,Site,15637,Site,-2140745704635662606,https://mienviro.michigan.gov/ncore/downloadpdf/-2140745704635662606,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-08-14,2013,2013_0814_Cadillac WWTP_DMR QA-33.pdf,District Scanned,Site / Miscellaneous,Routine,Site 15637 / Site record; District scanned composite,NPDES Misc. Site Docs,,Site,15637,Site,4611196213415728235,https://mienviro.michigan.gov/ncore/downloadpdf/4611196213415728235,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2014-08-18,2014,2014_0818_Cadillac WWTP_DMR QA-34.pdf,District Scanned,Site / Miscellaneous,Routine,Site 15637 / Site record; District scanned composite,NPDES Misc. Site Docs,,Site,15637,Site,2417529640713035099,https://mienviro.michigan.gov/ncore/downloadpdf/2417529640713035099,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2014-10-22,2014,2014_1022_Cadillac WWTP_Classification Letter.pdf,District Scanned,Site / Miscellaneous,Routine,Site 15637 / Site record; District scanned composite,NPDES Misc. Site Docs,,Site,15637,Site,5870795035956810268,https://mienviro.michigan.gov/ncore/downloadpdf/5870795035956810268,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2015-03-31,2015,2015_0331_Cadillac WWTP_2014 MMP Yearly Status Report.pdf,District Scanned,Site / Miscellaneous,Routine,Site 15637 / Site record; District scanned composite,NPDES Misc. Site Docs,,Site,15637,Site,1797615431681061467,https://mienviro.michigan.gov/ncore/downloadpdf/1797615431681061467,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2015-08-05,2015,2015_0805_Cadillac WWTP_DMR QA-35.pdf,District Scanned,Site / Miscellaneous,Routine,Site 15637 / Site record; District scanned composite,NPDES Misc. Site Docs,,Site,15637,Site,1276091315669172082,https://mienviro.michigan.gov/ncore/downloadpdf/1276091315669172082,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2016-01-12,2016,2010-2016_Cadillac WWTP_District Compliance File.pdf,District Scanned,Compliance / Enforcement,Critical,Site 15637 / Site record; District scanned composite,NPDES Misc. Site Docs,,Site,15637,Site,-8836688320995793733,https://mienviro.michigan.gov/ncore/downloadpdf/-8836688320995793733,Composite 2010-2016 file previously OCR-reviewed page-by-page (232 pages); original deep link indexed; original PDF not in recovered packet
2016-01-25,2016,ByPass notification 12-21-15.pdf,,Site / Miscellaneous,Routine,Site 15637 / Site record,NPDES Misc. Site Docs,,Site,15637,Site,-5568021370246960521,https://mienviro.michigan.gov/ncore/downloadpdf/-5568021370246960521,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2016-01-25,2016,Spill notification 1-12-16.pdf,,Site / Miscellaneous,Critical,Site 15637 / Site record,NPDES Misc. Site Docs,,Site,15637,Site,-4582177045037647324,https://mienviro.michigan.gov/ncore/downloadpdf/-4582177045037647324,Standalone 1/12/2016 spill notice indexed; incident also reviewed inside 2010-2016 composite; hard copy still to recover from MiEnviro
