Seq,SavedFile,OriginalName,DocDate,Description,Category,ProgramArea,FunctionalArea,SourceNumber,SourceType,DocMgmtId,SourceURL,Bytes,SHA256,Status,Note
0002,0002_2010-09-30_Sampling Field Sheet.pdf,Sampling Field Sheet.doc,2010-09-30,Sampling Field Sheet,Conversion - Eval,WRD - NPDES,Evaluation,E-3F12-26-C65D,CSI-Conventionals Only (02/03/2011),-2564720546653195197,https://mienviro.michigan.gov/ncore/downloadpdf/-2564720546653195197,109850,e3f7d70c909b7ca332015d929a5117d78d6ce87436ee2d8a1ffa6fb58e83ae77,OK,
0009,0009_2011-03-09_Follow-up Letter.pdf,Follow-up Letter.doc,2011-03-09,Follow-up Letter,Conversion - Eval,WRD - NPDES,Evaluation,E-3F12-26-C65D,CSI-Conventionals Only (02/03/2011),1255616733456315107,https://mienviro.michigan.gov/ncore/downloadpdf/1255616733456315107,77915,f5d7b0e4f91422e8410eb399a462f950949c6be37a5527f5eea322c60c12f2f6,OK,
0052,0052_2013-09-13_Pre-Inspection ReportLS.pdf,Pre-Inspection ReportLS.doc,2013-09-13,Pre-Inspection ReportLS,Conversion - Eval,WRD - NPDES,Evaluation,E-CF37-78-F1CD,NPDES Compliance Evaluation Inspection (CEI) (09/30/2013),3428788513576669470,https://mienviro.michigan.gov/ncore/downloadpdf/3428788513576669470,115896,72e0d17a78aecc8973b70cded4666fbb4c7ba1a4df1d7f56a72f1b9ece7b5b67,OK,
0060,0060_2013-11-19_Compliance Communication.pdf,Compliance Communication.doc,2013-11-19,Compliance Communication,Conversion - Eval,WRD - NPDES,Evaluation,E-CF37-78-F1CD,NPDES Compliance Evaluation Inspection (CEI) (09/30/2013),8202189061190805836,https://mienviro.michigan.gov/ncore/downloadpdf/8202189061190805836,90610,4d19cb29640edf81170d88d97038c0647a69711c39641c4947a3083f956c9357,OK,
0064,0064_2014-08-04_Sampling Field Sheet.pdf,Sampling Field Sheet.doc,2014-08-04,Sampling Field Sheet,Conversion - Eval,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014),8152724494912613868,https://mienviro.michigan.gov/ncore/downloadpdf/8152724494912613868,110954,d305e2d7e23c928806b2d153e240f5f61c08c57552af22c918e4000468e4949b,OK,
0068,0068_2014-10-09_DEQ Test Data Evaluation Form.pdf,DEQ Test Data Evaluation Form.doc,2014-10-09,DEQ Test Data Evaluation Form,Conversion - Eval,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014),6466431524347949415,https://mienviro.michigan.gov/ncore/downloadpdf/6466431524347949415,63511,06d21f43811f1ad06a9c035d624d11241df66b1f0860683a638e0cbe77003290,OK,
0069,0069_2014-10-09_Pre-Inspection Report.pdf,Pre-Inspection Report.doc,2014-10-09,Pre-Inspection Report,Conversion - Eval,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014),6087030119021648324,https://mienviro.michigan.gov/ncore/downloadpdf/6087030119021648324,118617,dd5fb72d29bdd405b91cc9d69f4ecdbaedcb454afebd0968618bda7ba0078691,OK,
0077,0077_2014-10-21_Compliance Communication.pdf,Compliance Communication.doc,2014-10-21,Compliance Communication,Conversion - Eval,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014),-4079459079770278084,https://mienviro.michigan.gov/ncore/downloadpdf/-4079459079770278084,98766,44b3fa661ed2f8d6ed09cea0c311229e4e0f44246cfa5b4c0cdffbc89225f9c7,OK,
0087,0087_2015-05-13_Pre-Inspection Report.pdf,Pre-Inspection Report.doc,2015-05-13,Pre-Inspection Report,Conversion - Eval,WRD - NPDES,Evaluation,E-91D5-97-E7D2,Pretreatment Compliance Inspection (05/14/2015),-3430155575482837490,https://mienviro.michigan.gov/ncore/downloadpdf/-3430155575482837490,119143,3da57e8018fbdeb2474b90c359352df532d2b0d46fbb00e591841182ae0b49e2,OK,
0093,0093_2015-06-25_Gen'l Inspection Transmittal.pdf,Gen'l Inspection Transmittal.doc,2015-06-25,Gen'l Inspection Transmittal,Conversion - Eval,WRD - NPDES,Evaluation,E-91D5-97-E7D2,Pretreatment Compliance Inspection (05/14/2015),-4772097310601120319,https://mienviro.michigan.gov/ncore/downloadpdf/-4772097310601120319,111485,6d0dbb1031e5d274a235d843a934959702e3b844552a5338de7e6a1e5ab1a058,OK,
