Document Date,Year,Document Name,Description,Document Class,Priority,Legacy / Hidden Retrieval Flags,MiEnviro Category,Program Area,Functional Area,Source Number,Source Type,Document Mgmt ID,MiEnviro Deep Link,Review / Recovery Status
2010-09-30,2010,Sampling Field Sheet.doc,Sampling Field Sheet,Inspection / Evaluation,High,Conversion - Eval; Evaluation E-3F12-26-C65D,Conversion - Eval,WRD - NPDES,Evaluation,E-3F12-26-C65D,CSI-Conventionals Only (02/03/2011),-2564720546653195197,https://mienviro.michigan.gov/ncore/downloadpdf/-2564720546653195197,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2011-03-09,2011,Follow-up Letter.doc,Follow-up Letter,Inspection / Evaluation,High,Conversion - Eval; Evaluation E-3F12-26-C65D,Conversion - Eval,WRD - NPDES,Evaluation,E-3F12-26-C65D,CSI-Conventionals Only (02/03/2011),1255616733456315107,https://mienviro.michigan.gov/ncore/downloadpdf/1255616733456315107,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-09-13,2013,Pre-Inspection ReportLS.doc,Pre-Inspection ReportLS,Compliance / Enforcement,Critical,Conversion - Eval; Evaluation E-CF37-78-F1CD,Conversion - Eval,WRD - NPDES,Evaluation,E-CF37-78-F1CD,NPDES Compliance Evaluation Inspection (CEI) (09/30/2013),3428788513576669470,https://mienviro.michigan.gov/ncore/downloadpdf/3428788513576669470,2013 CEI pre-inspection record indexed
2013-11-19,2013,Compliance Communication.doc,Compliance Communication,Compliance / Enforcement,High,Conversion - Eval; Evaluation E-CF37-78-F1CD,Conversion - Eval,WRD - NPDES,Evaluation,E-CF37-78-F1CD,NPDES Compliance Evaluation Inspection (CEI) (09/30/2013),8202189061190805836,https://mienviro.michigan.gov/ncore/downloadpdf/8202189061190805836,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2014-08-04,2014,Sampling Field Sheet.doc,Sampling Field Sheet,Inspection / Evaluation,High,Conversion - Eval; Evaluation E-832F-E9-D657,Conversion - Eval,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014),8152724494912613868,https://mienviro.michigan.gov/ncore/downloadpdf/8152724494912613868,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2014-10-09,2014,DEQ Test Data Evaluation Form.doc,DEQ Test Data Evaluation Form,Inspection / Evaluation,High,Conversion - Eval; Evaluation E-832F-E9-D657,Conversion - Eval,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014),6466431524347949415,https://mienviro.michigan.gov/ncore/downloadpdf/6466431524347949415,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2014-10-09,2014,Pre-Inspection Report.doc,Pre-Inspection Report,Inspection / Evaluation,Critical,Conversion - Eval; Evaluation E-832F-E9-D657,Conversion - Eval,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014),6087030119021648324,https://mienviro.michigan.gov/ncore/downloadpdf/6087030119021648324,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2014-10-21,2014,Compliance Communication.doc,Compliance Communication,Compliance / Enforcement,High,Conversion - Eval; Evaluation E-832F-E9-D657,Conversion - Eval,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014),-4079459079770278084,https://mienviro.michigan.gov/ncore/downloadpdf/-4079459079770278084,2014 CSI-Toxics compliance communication indexed
2015-05-13,2015,Pre-Inspection Report.doc,Pre-Inspection Report,Industrial Pretreatment / IPP,Critical,Conversion - Eval; Evaluation E-91D5-97-E7D2,Conversion - Eval,WRD - NPDES,Evaluation,E-91D5-97-E7D2,Pretreatment Compliance Inspection (05/14/2015),-3430155575482837490,https://mienviro.michigan.gov/ncore/downloadpdf/-3430155575482837490,2015 Pretreatment Compliance Inspection pre-inspection report fully read; hard copy recovered in packet
2015-06-25,2015,Gen'l Inspection Transmittal.doc,Gen'l Inspection Transmittal,Industrial Pretreatment / IPP,High,Conversion - Eval; Evaluation E-91D5-97-E7D2,Conversion - Eval,WRD - NPDES,Evaluation,E-91D5-97-E7D2,Pretreatment Compliance Inspection (05/14/2015),-4772097310601120319,https://mienviro.michigan.gov/ncore/downloadpdf/-4772097310601120319,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
