Seq,SavedFile,OriginalName,DocDate,Description,Category,ProgramArea,FunctionalArea,SourceNumber,SourceType,DocMgmtId,SourceURL,Bytes,SHA256,Status,Note
0003,0003_2011-02-04_Cadillac WWTP BOD (1).pdf,Cadillac WWTP BOD (1).xls,2011-02-04,,Conversion - Application / Request,WRD - NPDES,Evaluation,E-3F12-26-C65D,CSI-Conventionals Only (02/03/2011),5999969830429433107,https://mienviro.michigan.gov/ncore/downloadpdf/5999969830429433107,15951,d9ecb425510f04de6ebf07223eeec592a668cdaf4b3e6df04c1e012c8d772c2a,OK,
0004,0004_2011-02-04_Cadillac WWTP BOD (2).pdf,Cadillac WWTP BOD (2).pdf,2011-02-04,,Conversion - Application / Request,WRD - NPDES,Evaluation,E-3F12-26-C65D,CSI-Conventionals Only (02/03/2011),6336071071605205117,https://mienviro.michigan.gov/ncore/downloadpdf/6336071071605205117,1451722,4ada18560a14d6107b8a0882a2498eb91e135ae58a8b90b332e1c7689f108951,OK,
0005,0005_2011-02-04_Cadillac WWTP BOD.pdf,Cadillac WWTP BOD.pdf,2011-02-04,,Conversion - Application / Request,WRD - NPDES,Evaluation,E-3F12-26-C65D,CSI-Conventionals Only (02/03/2011),4014902657079641517,https://mienviro.michigan.gov/ncore/downloadpdf/4014902657079641517,8441,23d3fb7e6af79a17ba6d4bd51bd5f0650b973e387f2ed1f845a813fdcf1d64b6,OK,
0006,0006_2011-02-15_CadillacWWTP lab.pdf,CadillacWWTP lab.PDF,2011-02-15,,Conversion - Application / Request,WRD - NPDES,Evaluation,E-3F12-26-C65D,CSI-Conventionals Only (02/03/2011),-438405291240013169,https://mienviro.michigan.gov/ncore/downloadpdf/-438405291240013169,81211,8842b563d6b3b62cf5bbce8eebfe0f0248857a5ce02ac4c8a2d6f38b6f6381de,OK,
0007,0007_2011-02-15_DEQ-Laboratory Report-CDWWTP.pdf,DEQ-Laboratory Report-CDWWTP.txt,2011-02-15,,Conversion - Application / Request,WRD - NPDES,Evaluation,E-3F12-26-C65D,CSI-Conventionals Only (02/03/2011),-6709596324584446127,https://mienviro.michigan.gov/ncore/downloadpdf/-6709596324584446127,14707,722e1d06bc13463abd8ab2294d302df8b64ad6d91c0269d5eccacefb6a907a86,OK,
0008,0008_2011-03-09_Cadillac WWTP 0111.pdf,Cadillac WWTP 0111.xls,2011-03-09,,Conversion - Application / Request,WRD - NPDES,Evaluation,E-3F12-26-C65D,CSI-Conventionals Only (02/03/2011),8226216266026071417,https://mienviro.michigan.gov/ncore/downloadpdf/8226216266026071417,101025,ec89fa125ec115fc6c834eb87f47a05c423d39e367fba01d1f20afb49bc2e04e,OK,
0066,0066_2014-09-03_Cadillac surface application 2014-2.pdf,Cadillac surface application 2014-2.jpg,2014-09-03,,Conversion - Application / Request,WRD - NPDES,Evaluation,E-8B5C-16-97FE,Biosolids Site Inspection (08/14/2014),6169276037386673226,https://mienviro.michigan.gov/ncore/downloadpdf/6169276037386673226,122806,9b7cfa8b133477dab610c76374f6e2974d412d84e4b7178563e07cf223038a5f,OK,
0067,0067_2014-09-03_Cadillac surface application 2014.pdf,Cadillac surface application 2014.jpg,2014-09-03,,Conversion - Application / Request,WRD - NPDES,Evaluation,E-8B5C-16-97FE,Biosolids Site Inspection (08/14/2014),-5654449704836290694,https://mienviro.michigan.gov/ncore/downloadpdf/-5654449704836290694,157820,145ac35a8229515a373424b6c7c2e16ffdf4fa3c54a96a0ef6f143ad6daf0088,OK,
0072,0072_2014-10-21_56545 Analytical Methodology.pdf,56545 Analytical Methodology.pdf,2014-10-21,,Conversion - Application / Request,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014),-3847456507453624983,https://mienviro.michigan.gov/ncore/downloadpdf/-3847456507453624983,190712,b0ff04bc14fb4c620064177f7f0871943d40ff448a511d104bde18e3042dfa77,OK,
0073,0073_2014-10-21_56545 Facility Site Review.pdf,56545 Facility Site Review.pdf,2014-10-21,,Conversion - Application / Request,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014),-4977324678545524248,https://mienviro.michigan.gov/ncore/downloadpdf/-4977324678545524248,185816,2672bbee4cbfb8a2d963b9b3eae46c091d5401c6cd11dfe2d54cfb684b980f0f,OK,
