DocMgmtDocurl,DocMgmtDocName,DocMgmtDocDescr,DocMgmtCategory,DocMgmtDocRvcdCreatedDate,DocMgmtDocMgmtId,DocMgmtSourceprogramarea,DocMgmtSourcefunctionalarea,DocMgmtSourcenumber,DocMgmtSourcetype
"https://mienviro.michigan.gov/ncore/downloadpdf/4014902657079641517",Cadillac WWTP BOD.pdf,,Conversion - Application / Request,"2/4/2011 12:00:00 AM",4014902657079641517,WRD - NPDES,Evaluation,E-3F12-26-C65D,CSI-Conventionals Only (02/03/2011)
"https://mienviro.michigan.gov/ncore/downloadpdf/5999969830429433107",Cadillac WWTP BOD (1).xls,,Conversion - Application / Request,"2/4/2011 12:00:00 AM",5999969830429433107,WRD - NPDES,Evaluation,E-3F12-26-C65D,CSI-Conventionals Only (02/03/2011)
"https://mienviro.michigan.gov/ncore/downloadpdf/6336071071605205117",Cadillac WWTP BOD (2).pdf,,Conversion - Application / Request,"2/4/2011 12:00:00 AM",6336071071605205117,WRD - NPDES,Evaluation,E-3F12-26-C65D,CSI-Conventionals Only (02/03/2011)
"https://mienviro.michigan.gov/ncore/downloadpdf/-6709596324584446127",DEQ-Laboratory Report-CDWWTP.txt,,Conversion - Application / Request,"2/15/2011 12:00:00 AM",-6709596324584446127,WRD - NPDES,Evaluation,E-3F12-26-C65D,CSI-Conventionals Only (02/03/2011)
"https://mienviro.michigan.gov/ncore/downloadpdf/-438405291240013169",CadillacWWTP lab.PDF,,Conversion - Application / Request,"2/15/2011 12:00:00 AM",-438405291240013169,WRD - NPDES,Evaluation,E-3F12-26-C65D,CSI-Conventionals Only (02/03/2011)
"https://mienviro.michigan.gov/ncore/downloadpdf/8226216266026071417",Cadillac WWTP 0111.xls,,Conversion - Application / Request,"3/9/2011 12:00:00 AM",8226216266026071417,WRD - NPDES,Evaluation,E-3F12-26-C65D,CSI-Conventionals Only (02/03/2011)
"https://mienviro.michigan.gov/ncore/downloadpdf/-5654449704836290694",Cadillac surface application 2014.jpg,,Conversion - Application / Request,"9/3/2014 12:00:00 AM",-5654449704836290694,WRD - NPDES,Evaluation,E-8B5C-16-97FE,Biosolids Site Inspection (08/14/2014)
"https://mienviro.michigan.gov/ncore/downloadpdf/6169276037386673226",Cadillac surface application 2014-2.jpg,,Conversion - Application / Request,"9/3/2014 12:00:00 AM",6169276037386673226,WRD - NPDES,Evaluation,E-8B5C-16-97FE,Biosolids Site Inspection (08/14/2014)
"https://mienviro.michigan.gov/ncore/downloadpdf/-4977324678545524248",56545 Facility Site Review.pdf,,Conversion - Application / Request,"10/21/2014 12:00:00 AM",-4977324678545524248,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014)
"https://mienviro.michigan.gov/ncore/downloadpdf/-3847456507453624983",56545 Analytical Methodology.pdf,,Conversion - Application / Request,"10/21/2014 12:00:00 AM",-3847456507453624983,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014)
"https://mienviro.michigan.gov/ncore/downloadpdf/4833597761643264099",56545 Pre-Inspection Report.pdf,,Conversion - Application / Request,"10/21/2014 12:00:00 AM",4833597761643264099,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014)
"https://mienviro.michigan.gov/ncore/downloadpdf/5192314478678825187",56545 Self Monitoring Records.pdf,,Conversion - Application / Request,"10/21/2014 12:00:00 AM",5192314478678825187,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014)
"https://mienviro.michigan.gov/ncore/downloadpdf/6099492185350595096",56545 Sampling Procedures.pdf,,Conversion - Application / Request,"10/21/2014 12:00:00 AM",6099492185350595096,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014)
"https://mienviro.michigan.gov/ncore/downloadpdf/-4058762933703698175",Cadillac WWTP1014.xls,CSI Report,Conversion - Application / Request,"11/25/2014 12:00:00 AM",-4058762933703698175,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014)
"https://mienviro.michigan.gov/ncore/downloadpdf/-3695442185476720674",available cyanide.pdf,,Conversion - Application / Request,"11/26/2014 12:00:00 AM",-3695442185476720674,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014)
"https://mienviro.michigan.gov/ncore/downloadpdf/-1099212723337640688",1410104_1 ENVReport 10 30 2014 1323.pdf,,Conversion - Application / Request,"11/26/2014 12:00:00 AM",-1099212723337640688,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014)
"https://mienviro.michigan.gov/ncore/downloadpdf/-668421988306006771",201411251653.pdf,DEQ Test Data Evaluation,Conversion - Application / Request,"11/26/2014 12:00:00 AM",-668421988306006771,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014)
"https://mienviro.michigan.gov/ncore/downloadpdf/-56918685861159494",201411261120.pdf,Cadillac WWTP Inspection Complete Checklist Inspection ID 56545,Conversion - Application / Request,"11/26/2014 12:00:00 AM",-56918685861159494,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014)
"https://mienviro.michigan.gov/ncore/downloadpdf/44608516278427039",Fecal Coliform Results.pdf,,Conversion - Application / Request,"11/26/2014 12:00:00 AM",44608516278427039,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014)
"https://mienviro.michigan.gov/ncore/downloadpdf/274553011904573053",CBOD5 Results.pdf,,Conversion - Application / Request,"11/26/2014 12:00:00 AM",274553011904573053,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014)
"https://mienviro.michigan.gov/ncore/downloadpdf/-7233250038345395334",IPP Profile.pdf,,Conversion - Application / Request,"6/15/2015 12:00:00 AM",-7233250038345395334,WRD - NPDES,Evaluation,E-91D5-97-E7D2,Pretreatment Compliance Inspection (05/14/2015)
"https://mienviro.michigan.gov/ncore/downloadpdf/-3501506775905898877",Interview Jill Notes.pdf,,Conversion - Application / Request,"6/15/2015 12:00:00 AM",-3501506775905898877,WRD - NPDES,Evaluation,E-91D5-97-E7D2,Pretreatment Compliance Inspection (05/14/2015)
"https://mienviro.michigan.gov/ncore/downloadpdf/-2886740339491395619",Interview Julie Notes.pdf,,Conversion - Application / Request,"6/15/2015 12:00:00 AM",-2886740339491395619,WRD - NPDES,Evaluation,E-91D5-97-E7D2,Pretreatment Compliance Inspection (05/14/2015)
"https://mienviro.michigan.gov/ncore/downloadpdf/2151347118259606317",IU Form 2.pdf,,Conversion - Application / Request,"6/15/2015 12:00:00 AM",2151347118259606317,WRD - NPDES,Evaluation,E-91D5-97-E7D2,Pretreatment Compliance Inspection (05/14/2015)
"https://mienviro.michigan.gov/ncore/downloadpdf/2395269267701377445",IU Form 1.pdf,,Conversion - Application / Request,"6/15/2015 12:00:00 AM",2395269267701377445,WRD - NPDES,Evaluation,E-91D5-97-E7D2,Pretreatment Compliance Inspection (05/14/2015)
