Document Date,Year,Document Name,Description,Document Class,Priority,Legacy / Hidden Retrieval Flags,MiEnviro Category,Program Area,Functional Area,Source Number,Source Type,Document Mgmt ID,MiEnviro Deep Link,Review / Recovery Status
2011-02-04,2011,Cadillac WWTP BOD (1).xls,,Inspection / Evaluation,High,Conversion - Application / Request; Evaluation E-3F12-26-C65D,Conversion - Application / Request,WRD - NPDES,Evaluation,E-3F12-26-C65D,CSI-Conventionals Only (02/03/2011),5999969830429433107,https://mienviro.michigan.gov/ncore/downloadpdf/5999969830429433107,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2011-02-04,2011,Cadillac WWTP BOD (2).pdf,,Inspection / Evaluation,High,Conversion - Application / Request; Evaluation E-3F12-26-C65D,Conversion - Application / Request,WRD - NPDES,Evaluation,E-3F12-26-C65D,CSI-Conventionals Only (02/03/2011),6336071071605205117,https://mienviro.michigan.gov/ncore/downloadpdf/6336071071605205117,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2011-02-04,2011,Cadillac WWTP BOD.pdf,,Inspection / Evaluation,High,Conversion - Application / Request; Evaluation E-3F12-26-C65D,Conversion - Application / Request,WRD - NPDES,Evaluation,E-3F12-26-C65D,CSI-Conventionals Only (02/03/2011),4014902657079641517,https://mienviro.michigan.gov/ncore/downloadpdf/4014902657079641517,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2011-02-15,2011,CadillacWWTP lab.PDF,,Inspection / Evaluation,High,Conversion - Application / Request; Evaluation E-3F12-26-C65D,Conversion - Application / Request,WRD - NPDES,Evaluation,E-3F12-26-C65D,CSI-Conventionals Only (02/03/2011),-438405291240013169,https://mienviro.michigan.gov/ncore/downloadpdf/-438405291240013169,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2011-02-15,2011,DEQ-Laboratory Report-CDWWTP.txt,,Inspection / Evaluation,High,Conversion - Application / Request; Evaluation E-3F12-26-C65D,Conversion - Application / Request,WRD - NPDES,Evaluation,E-3F12-26-C65D,CSI-Conventionals Only (02/03/2011),-6709596324584446127,https://mienviro.michigan.gov/ncore/downloadpdf/-6709596324584446127,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2011-03-09,2011,Cadillac WWTP 0111.xls,,Inspection / Evaluation,High,Conversion - Application / Request; Evaluation E-3F12-26-C65D,Conversion - Application / Request,WRD - NPDES,Evaluation,E-3F12-26-C65D,CSI-Conventionals Only (02/03/2011),8226216266026071417,https://mienviro.michigan.gov/ncore/downloadpdf/8226216266026071417,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2014-09-03,2014,Cadillac surface application 2014-2.jpg,,Biosolids / Land Application,Medium,Conversion - Application / Request; Evaluation E-8B5C-16-97FE,Conversion - Application / Request,WRD - NPDES,Evaluation,E-8B5C-16-97FE,Biosolids Site Inspection (08/14/2014),6169276037386673226,https://mienviro.michigan.gov/ncore/downloadpdf/6169276037386673226,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2014-09-03,2014,Cadillac surface application 2014.jpg,,Biosolids / Land Application,Medium,Conversion - Application / Request; Evaluation E-8B5C-16-97FE,Conversion - Application / Request,WRD - NPDES,Evaluation,E-8B5C-16-97FE,Biosolids Site Inspection (08/14/2014),-5654449704836290694,https://mienviro.michigan.gov/ncore/downloadpdf/-5654449704836290694,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2014-10-21,2014,56545 Analytical Methodology.pdf,,Inspection / Evaluation,High,Conversion - Application / Request; Evaluation E-832F-E9-D657,Conversion - Application / Request,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014),-3847456507453624983,https://mienviro.michigan.gov/ncore/downloadpdf/-3847456507453624983,2014 analytical methodology indexed
2014-10-21,2014,56545 Facility Site Review.pdf,,Inspection / Evaluation,High,Conversion - Application / Request; Evaluation E-832F-E9-D657,Conversion - Application / Request,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014),-4977324678545524248,https://mienviro.michigan.gov/ncore/downloadpdf/-4977324678545524248,2014 CSI-Toxics facility site review indexed
