Seq,SavedFile,OriginalName,DocDate,Description,Category,ProgramArea,FunctionalArea,SourceNumber,SourceType,DocMgmtId,SourceURL,Bytes,SHA256,Status,Note
0010,0010_2011-04-29_CA Cadillac WWTP IPP Annual Report 2010.pdf,CA Cadillac WWTP IPP Annual Report 2010.pdf,2011-04-29,,Conversion - Permit,WRD - NPDES,Application/Request,ce_soc_detail-25457,Schedule - Michigan Industrial Pretreatment Program Annual Report,6066649281144654349,https://mienviro.michigan.gov/ncore/downloadpdf/6066649281144654349,2711745,17b0693232f3a7a14cafbb4a97819d119143fc4ca58436c89824a1a01b6b04e1,OK,
0022,0022_2012-11-09_WQBEL Memo - Conventionals.pdf,WQBEL Memo - Conventionals.doc,2012-11-09,WQBEL Memo - Conventionals,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-2587941060086653778,https://mienviro.michigan.gov/ncore/downloadpdf/-2587941060086653778,57464,010e59bfec55326f2ba3a17123f954670730ab3332af3d09eee153951c6e5aa3,OK,
0023,0023_2013-03-09_Application Complete Checklist.pdf,Application Complete Checklist.doc,2013-03-09,Application Complete Checklist,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-750857842152552655,https://mienviro.michigan.gov/ncore/downloadpdf/-750857842152552655,94422,a8467842a68c4956397f1ee6a88e663a9cc0b83b25ccea27fe7d9dc3afb98153,OK,
0024,0024_2013-04-18_WQBEL Memo - Toxics.pdf,WQBEL Memo - Toxics.doc,2013-04-18,WQBEL Memo - Toxics,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-8853155827505618463,https://mienviro.michigan.gov/ncore/downloadpdf/-8853155827505618463,65700,2b0126ecff7a2c1c97c609baa1d7344905ae4ea6dd4b298a9b6c6f7d1e891ebd,OK,
0026,0026_2013-05-17_Application Compliance Comments.pdf,Application Compliance Comments.doc,2013-05-17,Application Compliance Comments,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-4758370497540417923,https://mienviro.michigan.gov/ncore/downloadpdf/-4758370497540417923,77701,3357401135d7a3f3fab54349edb6eef19edb0d36bd79a82d4d7fe344104f99d4,OK,
0027,0027_2013-05-20_Permit Template - Municipal.pdf,Permit Template - Municipal.doc,2013-05-20,Permit Template - Municipal,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,8273775742265584790,https://mienviro.michigan.gov/ncore/downloadpdf/8273775742265584790,312646,138b35bfde0e9834bb8bc720af2a53b3746ef4b7ec8a39e599c378b7589388ec,OK,
0028,0028_2013-05-21_Fact Sheet.pdf,Fact Sheet.doc,2013-05-21,Fact Sheet,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,103605179192073784,https://mienviro.michigan.gov/ncore/downloadpdf/103605179192073784,148677,8c90a77c94c4c47d904a0a76068fce14f071a6f27aaf4abb38476e6742711607,OK,
0029,0029_2013-05-22_Basis for Decision Memo.pdf,Basis for Decision Memo.doc,2013-05-22,Basis for Decision Memo,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,6383819432886238526,https://mienviro.michigan.gov/ncore/downloadpdf/6383819432886238526,93942,7c5d554fdfd836f1292052c6fbabeb370fbc4a1df7dcba6230e680eb56f949eb,OK,
0030,0030_2013-05-23_Issued Letter - Individual Permit.pdf,Issued Letter - Individual Permit.doc,2013-05-23,Issued Letter - Individual Permit,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,4068333476844843234,https://mienviro.michigan.gov/ncore/downloadpdf/4068333476844843234,78229,dcdd5cb57f01a3bfb522851fe07ad9b023d671ba4e56319a2b6af6b6c272156d,OK,
0031,0031_2013-05-23_Pre-Public Notice Letter.pdf,Pre-Public Notice Letter.doc,2013-05-23,Pre-Public Notice Letter,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-3570540961383078534,https://mienviro.michigan.gov/ncore/downloadpdf/-3570540961383078534,44515,fb21b621420c347113c279bd2b783f080187ab43c4a97d3c4c91d3c139a1e0e2,OK,
