Document Date,Year,Document Name,Description,Document Class,Priority,Legacy / Hidden Retrieval Flags,MiEnviro Category,Program Area,Functional Area,Source Number,Source Type,Document Mgmt ID,MiEnviro Deep Link,Review / Recovery Status
2011-04-29,2011,CA Cadillac WWTP IPP Annual Report 2010.pdf,,Industrial Pretreatment / IPP,High,Conversion - Permit,Conversion - Permit,WRD - NPDES,Application/Request,ce_soc_detail-25457,Schedule - Michigan Industrial Pretreatment Program Annual Report,6066649281144654349,https://mienviro.michigan.gov/ncore/downloadpdf/6066649281144654349,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2012-11-09,2012,WQBEL Memo - Conventionals.doc,WQBEL Memo - Conventionals,Permit / Application,Medium,Conversion - Permit; Legacy permit version MI0020257 v5.0,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-2587941060086653778,https://mienviro.michigan.gov/ncore/downloadpdf/-2587941060086653778,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-03-09,2013,Application Complete Checklist.doc,Application Complete Checklist,Permit / Application,Medium,Conversion - Permit; Legacy permit version MI0020257 v5.0,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-750857842152552655,https://mienviro.michigan.gov/ncore/downloadpdf/-750857842152552655,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-04-18,2013,WQBEL Memo - Toxics.doc,WQBEL Memo - Toxics,Permit / Application,Medium,Conversion - Permit; Legacy permit version MI0020257 v5.0,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-8853155827505618463,https://mienviro.michigan.gov/ncore/downloadpdf/-8853155827505618463,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-05-17,2013,Application Compliance Comments.doc,Application Compliance Comments,Compliance / Enforcement,High,Conversion - Permit; Legacy permit version MI0020257 v5.0,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-4758370497540417923,https://mienviro.michigan.gov/ncore/downloadpdf/-4758370497540417923,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-05-20,2013,Permit Template - Municipal.doc,Permit Template - Municipal,Permit / Application,Medium,Conversion - Permit; Legacy permit version MI0020257 v5.0,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,8273775742265584790,https://mienviro.michigan.gov/ncore/downloadpdf/8273775742265584790,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-05-21,2013,Fact Sheet.doc,Fact Sheet,Permit / Application,Medium,Conversion - Permit; Legacy permit version MI0020257 v5.0,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,103605179192073784,https://mienviro.michigan.gov/ncore/downloadpdf/103605179192073784,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-05-22,2013,Basis for Decision Memo.doc,Basis for Decision Memo,Permit / Application,Medium,Conversion - Permit; Legacy permit version MI0020257 v5.0,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,6383819432886238526,https://mienviro.michigan.gov/ncore/downloadpdf/6383819432886238526,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-05-23,2013,Issued Letter - Individual Permit.doc,Issued Letter - Individual Permit,Permit / Application,Medium,Conversion - Permit; Legacy permit version MI0020257 v5.0,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,4068333476844843234,https://mienviro.michigan.gov/ncore/downloadpdf/4068333476844843234,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-05-23,2013,Pre-Public Notice Letter.doc,Pre-Public Notice Letter,Compliance / Enforcement,High,Conversion - Permit; Legacy permit version MI0020257 v5.0,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-3570540961383078534,https://mienviro.michigan.gov/ncore/downloadpdf/-3570540961383078534,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-05-23,2013,Public Notice Document.doc,Public Notice Document,Permit / Application,Medium,Conversion - Permit; Legacy permit version MI0020257 v5.0,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,2042187794808505003,https://mienviro.michigan.gov/ncore/downloadpdf/2042187794808505003,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-06-07,2013,Cadillac WWTP IPP 2011.pdf,,Industrial Pretreatment / IPP,High,Conversion - Permit,Conversion - Permit,WRD - NPDES,Application/Request,ce_soc_detail-25458,Schedule - Michigan Industrial Pretreatment Program Annual Report,7597357992452969174,https://mienviro.michigan.gov/ncore/downloadpdf/7597357992452969174,Cadillac WWTP IPP 2011 (50 pp) previously reviewed; deep link indexed
2013-08-08,2013,General Purpose Memo.doc,General Purpose Memo,Permit / Application,Medium,Conversion - Permit; Legacy permit version MI0020257 v5.0,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-5476792548719461782,https://mienviro.michigan.gov/ncore/downloadpdf/-5476792548719461782,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-08-16,2013,Public Notice Letter.doc,Public Notice Letter,Compliance / Enforcement,High,Conversion - Permit; Legacy permit version MI0020257 v5.0,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,1627519268423672263,https://mienviro.michigan.gov/ncore/downloadpdf/1627519268423672263,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
