Seq,SavedFile,OriginalName,DocDate,Description,Category,ProgramArea,FunctionalArea,SourceNumber,SourceType,DocMgmtId,SourceURL,Bytes,SHA256,Status,Note
0013,0013_2012-03-26_Cadillac WWTP Application.pdf,Cadillac WWTP Application.pdf,2012-03-26,,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-7021570928602701902,https://mienviro.michigan.gov/ncore/downloadpdf/-7021570928602701902,1139694,28cb3d356292e14a94408479230900bab0e3cf46d529981b22f1b64a1f0b46d4,OK,
0014,0014_2012-03-26_Cadillac WWTP Fish Toxicity Tests.pdf,Cadillac WWTP Fish Toxicity Tests.pdf,2012-03-26,,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-6207937354821693834,https://mienviro.michigan.gov/ncore/downloadpdf/-6207937354821693834,985996,2a5e3726b488037723dcddc41c4a97d7e706fef604053ede27f5d82c976868c0,OK,
0015,0015_2012-03-26_Cadillac WWTP Maps and Flow.pdf,Cadillac WWTP Maps and Flow.pdf,2012-03-26,,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-2618602197135988934,https://mienviro.michigan.gov/ncore/downloadpdf/-2618602197135988934,846280,54ae24b7e6c0f7e5b4f317b358ef487df1801b2930dd300c85a09af28d904651,OK,
0016,0016_2012-03-26_Cadillac WWTP Mercury Tests.pdf,Cadillac WWTP Mercury Tests.pdf,2012-03-26,,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-4772999631657362957,https://mienviro.michigan.gov/ncore/downloadpdf/-4772999631657362957,706291,4f2b2efb5ea09f54a548131d0415de1f6f208284ef9582708e480342b5011977,OK,
0017,0017_2012-03-26_Cadillac WWTP SIU Information.pdf,Cadillac WWTP SIU Information.pdf,2012-03-26,,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,2606761043345214758,https://mienviro.michigan.gov/ncore/downloadpdf/2606761043345214758,498131,4e9a0cdf01891e70d6ba197d3ed3a96d1949ca777ff58e7a0cd26818ff307846,OK,
0018,0018_2012-03-26_Cadillac WWTP Septage Information.pdf,Cadillac WWTP Septage Information.pdf,2012-03-26,,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-605910068122278034,https://mienviro.michigan.gov/ncore/downloadpdf/-605910068122278034,948370,760656b79f1f4e150bc02ea7de18ba062ed4898461513cea98d059031b163b51,OK,
0019,0019_2012-03-26_Cadillac WWTP Test Results.pdf,Cadillac WWTP Test Results.pdf,2012-03-26,,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,4716295422139915510,https://mienviro.michigan.gov/ncore/downloadpdf/4716295422139915510,1908321,09e84279f368e33f840ccaa0aa476a90c42018fea996d0ce31054200c62ee9cb,OK,
0020,0020_2012-04-11_Cadillac WWTP NEC.pdf,Cadillac WWTP NEC.pdf,2012-04-11,,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,2907549657209812738,https://mienviro.michigan.gov/ncore/downloadpdf/2907549657209812738,144025,f91bc1d16ef317f63e4cc5171be940e63db4995da8ea56d1e7fd4c401a5a76a2,OK,
0025,0025_2013-05-02_CadillacWWTP_FS.pdf,CadillacWWTP_FS.pdf,2013-05-02,WQBEL Toxics Recommendations Fact Sheet,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,8407029926974047625,https://mienviro.michigan.gov/ncore/downloadpdf/8407029926974047625,150653,7621bc53d1a129b74d1df6e7fddcc25b56a11e9bf9c0f5683dd08aca00b5a4d3,OK,
0034,0034_2013-07-17_Cadillac PPN Email.pdf,Cadillac PPN Email.pdf,2013-07-17,,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,691496640525586540,https://mienviro.michigan.gov/ncore/downloadpdf/691496640525586540,24670,fc4cdee2334ed73e36faf276f8e77870c2bda256e084183cfd41565d87f66524,OK,
0035,0035_2013-07-17_Cadillac WWTP Draft Permit.pdf,Cadillac WWTP Draft Permit.pdf,2013-07-17,PPN Permit,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,6433966495781532147,https://mienviro.michigan.gov/ncore/downloadpdf/6433966495781532147,146258,eab262c18ad36bc98ad62f04e72d8b6a8e03a071e1e389a0bd685616a406316b,OK,
0036,0036_2013-08-08_CadillacWWTP_ToxicsFactSheet.pdf,CadillacWWTP_ToxicsFactSheet.pdf,2013-08-08,Updated WQBEL Toxics Recommendations Fact Sheet,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-7691202997137362379,https://mienviro.michigan.gov/ncore/downloadpdf/-7691202997137362379,155911,3be60aade3cc97cc96fd776c0ac50dda97783f9c6d4854e730af67e41f49a3af,OK,
0039,0039_2013-08-16_Cadillac WWTP Basis for Decision Memo.pdf,Cadillac WWTP Basis for Decision Memo.pdf,2013-08-16,Version as public noticed,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-7391325481454595778,https://mienviro.michigan.gov/ncore/downloadpdf/-7391325481454595778,15001,945d8de957d5c696cec21537b88d9d4c2269e11dd4eee6484231f8ed073b68c0,OK,
0040,0040_2013-08-16_Cadillac WWTP PPN Comments.pdf,Cadillac WWTP PPN Comments.pdf,2013-08-16,,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,4017018463330352813,https://mienviro.michigan.gov/ncore/downloadpdf/4017018463330352813,48758,ce6a56a753b1a7f03d2fc5914a24e376780ab62b9c60315e096f3e348dc67a8d,OK,
0041,0041_2013-08-16_Cadillac WWTP PPN Email Exchange 2.pdf,Cadillac WWTP PPN Email Exchange 2.pdf,2013-08-16,,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-8309188111481449431,https://mienviro.michigan.gov/ncore/downloadpdf/-8309188111481449431,54341,5a65001ec1b9f460e1faaeab5e28df4961b36b846d5a3336e33afe7cf9eae4c5,OK,
0042,0042_2013-08-16_Cadillac WWTP PPN Email Exchange.pdf,Cadillac WWTP PPN Email Exchange.pdf,2013-08-16,,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-2888412398541189349,https://mienviro.michigan.gov/ncore/downloadpdf/-2888412398541189349,57477,4d33f697af5efbc94546c6d885deed1f76d072bcb733e19e6e6da547f7ae793b,OK,
0043,0043_2013-08-16_Cadillac WWTP Public Notice Draft Permit.pdf,Cadillac WWTP Public Notice Draft Permit.pdf,2013-08-16,,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-3380254261609336174,https://mienviro.michigan.gov/ncore/downloadpdf/-3380254261609336174,146412,4fd7f7e6bc24156dcaac01539942d49b2b1743342f3eb417cfc48e34c619f81d,OK,
0044,0044_2013-08-16_Cadillac WWTP Public Notice Email.pdf,Cadillac WWTP Public Notice Email.pdf,2013-08-16,,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,7362722464259672092,https://mienviro.michigan.gov/ncore/downloadpdf/7362722464259672092,25090,24e90c7c60780a785afa4f10b17521e00f735a7c18c5a296ee05752424ab8b97,OK,
0045,0045_2013-08-16_Cadillac WWTP Response to Comments Email.pdf,Cadillac WWTP Response to Comments Email.pdf,2013-08-16,,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-4130029830579911351,https://mienviro.michigan.gov/ncore/downloadpdf/-4130029830579911351,55354,0c57d1accdb1e78f9070fd5669877a56b80c467ebf8bc63c1d29c4ec6040e731,OK,
0046,0046_2013-08-16_Cadillac WWTP Response to Comments.pdf,Cadillac WWTP Response to Comments.pdf,2013-08-16,,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,3731373716033583448,https://mienviro.michigan.gov/ncore/downloadpdf/3731373716033583448,10485,794fa716ff9bc4e1e606417df33b733ae4410b42af19a2a79ca9fa90295abcd2,OK,
0047,0047_2013-08-16_MDEQ Draft NPDES Response from Cadillac.pdf,MDEQ Draft NPDES Response from Cadillac.pdf,2013-08-16,,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,7119989374435100322,https://mienviro.michigan.gov/ncore/downloadpdf/7119989374435100322,451397,9ae7e9ec146a7f9f79c585691b9b067f34a9eceb845c40f6696b6c51e0b4ceed,OK,
0050,0050_2013-08-20_Cadillac WWTP PN Notification Email.pdf,Cadillac WWTP PN Notification Email.pdf,2013-08-20,,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,6362211730533153224,https://mienviro.michigan.gov/ncore/downloadpdf/6362211730533153224,24550,7d55a659a8dbf1e79f1785981971aeabcd2a3c02b15df4d77fdb1247cfb7db13,OK,
0051,0051_2013-09-04_AvailCyanide Recs.pdf,AvailCyanide Recs.pdf,2013-09-04,Revised Recommendation for Available Cyanide,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,357104448692010328,https://mienviro.michigan.gov/ncore/downloadpdf/357104448692010328,608053,a81a3da922f6efc523ebc8a372ef5ff71693ba49b0d08feef612c8bab4715b69,OK,
