Document Date,Year,Document Name,Description,Document Class,Priority,Legacy / Hidden Retrieval Flags,MiEnviro Category,Program Area,Functional Area,Source Number,Source Type,Document Mgmt ID,MiEnviro Deep Link,Review / Recovery Status
2012-03-26,2012,Cadillac WWTP Application.pdf,,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-7021570928602701902,https://mienviro.michigan.gov/ncore/downloadpdf/-7021570928602701902,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2012-03-26,2012,Cadillac WWTP Fish Toxicity Tests.pdf,,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-6207937354821693834,https://mienviro.michigan.gov/ncore/downloadpdf/-6207937354821693834,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2012-03-26,2012,Cadillac WWTP Maps and Flow.pdf,,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-2618602197135988934,https://mienviro.michigan.gov/ncore/downloadpdf/-2618602197135988934,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2012-03-26,2012,Cadillac WWTP Mercury Tests.pdf,,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-4772999631657362957,https://mienviro.michigan.gov/ncore/downloadpdf/-4772999631657362957,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2012-03-26,2012,Cadillac WWTP SIU Information.pdf,,Industrial Pretreatment / IPP,Critical,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,2606761043345214758,https://mienviro.michigan.gov/ncore/downloadpdf/2606761043345214758,2012 Cadillac WWTP SIU Information previously verified top-to-bottom; deep link indexed
2012-03-26,2012,Cadillac WWTP Septage Information.pdf,,Compliance / Enforcement,Critical,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-605910068122278034,https://mienviro.michigan.gov/ncore/downloadpdf/-605910068122278034,2012 Cadillac WWTP Septage Information previously visually verified; deep link indexed
2012-03-26,2012,Cadillac WWTP Test Results.pdf,,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,4716295422139915510,https://mienviro.michigan.gov/ncore/downloadpdf/4716295422139915510,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2012-04-11,2012,Cadillac WWTP NEC.pdf,,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,2907549657209812738,https://mienviro.michigan.gov/ncore/downloadpdf/2907549657209812738,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-05-02,2013,CadillacWWTP_FS.pdf,WQBEL Toxics Recommendations Fact Sheet,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,8407029926974047625,https://mienviro.michigan.gov/ncore/downloadpdf/8407029926974047625,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-07-17,2013,Cadillac PPN Email.pdf,,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,691496640525586540,https://mienviro.michigan.gov/ncore/downloadpdf/691496640525586540,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-07-17,2013,Cadillac WWTP Draft Permit.pdf,PPN Permit,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,6433966495781532147,https://mienviro.michigan.gov/ncore/downloadpdf/6433966495781532147,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
