Seq,SavedFile,OriginalName,DocDate,Description,Category,ProgramArea,FunctionalArea,SourceNumber,SourceType,DocMgmtId,SourceURL,Bytes,SHA256,Status,Note
0096,0096_2015-08-28_DMR Daily - MI0020257 _07_01_2015_to_07_31_2015_V1.pdf,DMR Daily - MI0020257 _07_01_2015_to_07_31_2015_V1.docx,2015-08-28,DMR Daily Data for period 07/01/2015 - 07/31/2015_V1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,2280799879135776031,https://mienviro.michigan.gov/ncore/downloadpdf/2280799879135776031,121874,b5b470e06797e906d3556fb5ebd5b0a18477d36d5307f840f05bf28a70d6034d,OK,
0097,0097_2015-08-28_DMR Summary - MI0020257 _07_01_2015_to_07_31_2015_V1.pdf,DMR Summary - MI0020257 _07_01_2015_to_07_31_2015_V1.docx,2015-08-28,DMR Summary Data for period 07/01/2015 - 07/31/2015_V1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-1721928645533378386,https://mienviro.michigan.gov/ncore/downloadpdf/-1721928645533378386,102980,947a21a4eb7c254d5a32b660e647f43f7f75006ab04eede030efcea056144faf,OK,
0098,0098_2015-09-18_DMR Daily - MI0020257 _08_01_2015_to_08_31_2015_V1.pdf,DMR Daily - MI0020257 _08_01_2015_to_08_31_2015_V1.docx,2015-09-18,DMR Daily Data for period 08/01/2015 - 08/31/2015_V1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,5114320877368267073,https://mienviro.michigan.gov/ncore/downloadpdf/5114320877368267073,121743,fb4cd4a3e56438fc39f3fd3d4582d8d6a6be1947918cadcefc1f3eb18ac21620,OK,
0099,0099_2015-09-18_DMR Summary - MI0020257 _08_01_2015_to_08_31_2015_V1.pdf,DMR Summary - MI0020257 _08_01_2015_to_08_31_2015_V1.docx,2015-09-18,DMR Summary Data for period 08/01/2015 - 08/31/2015_V1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,1158228285416033370,https://mienviro.michigan.gov/ncore/downloadpdf/1158228285416033370,103176,22c00fcd8d59688b4f4c91d754e7c02c373859ec4d826e97b4618aee3f95d525,OK,
0103,0103_2015-10-20_DMR Daily - MI0020257 _09_01_2015_to_09_30_2015_V1.pdf,DMR Daily - MI0020257 _09_01_2015_to_09_30_2015_V1.docx,2015-10-20,DMR Daily Data for period 09/01/2015 - 09/30/2015_V1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,1246990738065777350,https://mienviro.michigan.gov/ncore/downloadpdf/1246990738065777350,122193,f546130ef47035519cdb1f28f3838046427e8cacf0f2f9cdec6f84e376f8ca1b,OK,
0104,0104_2015-10-20_DMR Summary - MI0020257 _09_01_2015_to_09_30_2015_V1.pdf,DMR Summary - MI0020257 _09_01_2015_to_09_30_2015_V1.docx,2015-10-20,DMR Summary Data for period 09/01/2015 - 09/30/2015_V1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,5720021817529393512,https://mienviro.michigan.gov/ncore/downloadpdf/5720021817529393512,102922,2c0d57442e9a99dbba62e9073ae499f84e43089fd65253426ad9dbb92897033e,OK,
0106,0106_2015-10-30_DMR Summary - MI0020257 _10_01_2014_to_09_30_2015_V1.pdf,DMR Summary - MI0020257 _10_01_2014_to_09_30_2015_V1.docx,2015-10-30,DMR Summary Data for period 10/01/2014 - 09/30/2015_V1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,3033334029711207746,https://mienviro.michigan.gov/ncore/downloadpdf/3033334029711207746,103199,beeb79d6ff4986620fdecd7a55ba7956c34b0de19109cea4116021afd52ca49b,OK,
0107,0107_2015-11-19_DMR Daily - MI0020257 _10_01_2015_to_10_31_2015_V1.pdf,DMR Daily - MI0020257 _10_01_2015_to_10_31_2015_V1.docx,2015-11-19,DMR Daily Data for period 10/01/2015 - 10/31/2015_V1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-751241790278250853,https://mienviro.michigan.gov/ncore/downloadpdf/-751241790278250853,122768,5d15a3aac0427ded0bab49817fab70f00e2c5ab49be6dd3fd3a76f8ca92913a5,OK,
0108,0108_2015-11-19_DMR Summary - MI0020257 _10_01_2015_to_10_31_2015_V1.pdf,DMR Summary - MI0020257 _10_01_2015_to_10_31_2015_V1.docx,2015-11-19,DMR Summary Data for period 10/01/2015 - 10/31/2015_V1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-4008341624842458816,https://mienviro.michigan.gov/ncore/downloadpdf/-4008341624842458816,102936,4af32883ededdf7f5c25e19c25897d2f67ef205f265956ee38ac869dc7c63139,OK,
0110,0110_2015-12-19_DMR Daily - MI0020257 _11_01_2015_to_11_30_2015_V1.pdf,DMR Daily - MI0020257 _11_01_2015_to_11_30_2015_V1.docx,2015-12-19,DMR Daily Data for period 11/01/2015 - 11/30/2015_V1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-2076524723866920213,https://mienviro.michigan.gov/ncore/downloadpdf/-2076524723866920213,121734,3d0895136655025f050f79a91dfaa51cf5cc62d4d779ad4dc830807a4485c520,OK,
0111,0111_2015-12-19_DMR Summary - MI0020257 _11_01_2015_to_11_30_2015_V1.pdf,DMR Summary - MI0020257 _11_01_2015_to_11_30_2015_V1.docx,2015-12-19,DMR Summary Data for period 11/01/2015 - 11/30/2015_V1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,6280680775372517980,https://mienviro.michigan.gov/ncore/downloadpdf/6280680775372517980,103165,f576a237fca57e6e35d1c6676616ce697a1413254ff654016b2f566c6e0712da,OK,
0114,0114_2016-01-19_DMR Daily - MI0020257 _12_01_2015_to_12_31_2015_V1.pdf,DMR Daily - MI0020257 _12_01_2015_to_12_31_2015_V1.docx,2016-01-19,DMR Daily Data for period 12/01/2015 - 12/31/2015_V1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-5447789093327103036,https://mienviro.michigan.gov/ncore/downloadpdf/-5447789093327103036,124126,a899ea16e32a1964f36f21e544271676a5b3f162fdbcdd32460837aea9ad2703,OK,
0115,0115_2016-01-19_DMR Summary - MI0020257 _12_01_2015_to_12_31_2015_V1.pdf,DMR Summary - MI0020257 _12_01_2015_to_12_31_2015_V1.docx,2016-01-19,DMR Summary Data for period 12/01/2015 - 12/31/2015_V1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-4193025276374184094,https://mienviro.michigan.gov/ncore/downloadpdf/-4193025276374184094,105393,e10e94fae0dfecffd74c6b88e82a6943bc68909b1a948ab0090b45ede79b601d,OK,
0121,0121_2016-02-20_DMR Daily - MI0020257 _01_01_2016_to_01_31_2016_V1.pdf,DMR Daily - MI0020257 _01_01_2016_to_01_31_2016_V1.docx,2016-02-20,DMR Daily Data for period 01/01/2016 - 01/31/2016_V1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,6525466383076021292,https://mienviro.michigan.gov/ncore/downloadpdf/6525466383076021292,124190,583b88829be7849b306e263e11dcb1ff531863978d9af634a12f3f9e37314fbd,OK,
0122,0122_2016-02-20_DMR Summary - MI0020257 _01_01_2016_to_01_31_2016_V1.pdf,DMR Summary - MI0020257 _01_01_2016_to_01_31_2016_V1.docx,2016-02-20,DMR Summary Data for period 01/01/2016 - 01/31/2016_V1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-3488789892444246103,https://mienviro.michigan.gov/ncore/downloadpdf/-3488789892444246103,105532,9d58801b45c8dd649e5daf9367318381489ddca8c8073227f156bcaaadcd21d8,OK,
0124,0124_2016-03-16_DMR Daily - MI0020257 _02_01_2016_to_02_29_2016_V1.pdf,DMR Daily - MI0020257 _02_01_2016_to_02_29_2016_V1.docx,2016-03-16,DMR Daily Data for period 02/01/2016 - 02/29/2016_V1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-6884866009572813818,https://mienviro.michigan.gov/ncore/downloadpdf/-6884866009572813818,122785,713e2ae49158a0f8ec123508559b4c72869a1ea98f55840d9c592cfb59fa9ac8,OK,
0125,0125_2016-03-16_DMR Summary - MI0020257 _02_01_2016_to_02_29_2016_V1.pdf,DMR Summary - MI0020257 _02_01_2016_to_02_29_2016_V1.docx,2016-03-16,DMR Summary Data for period 02/01/2016 - 02/29/2016_V1,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-3461689102167870562,https://mienviro.michigan.gov/ncore/downloadpdf/-3461689102167870562,105880,23753e39b1e3bbd77544b2e5052ab6f3b001e9321c03e49ece0f51277168db53,OK,
