Document Date,Year,Document Name,Description,Document Class,Priority,Legacy / Hidden Retrieval Flags,MiEnviro Category,Program Area,Functional Area,Source Number,Source Type,Document Mgmt ID,MiEnviro Deep Link,Review / Recovery Status
2015-08-28,2015,DMR Daily - MI0020257 _07_01_2015_to_07_31_2015_V1.docx,DMR Daily Data for period 07/01/2015 - 07/31/2015_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.0,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,2280799879135776031,https://mienviro.michigan.gov/ncore/downloadpdf/2280799879135776031,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2015-08-28,2015,DMR Summary - MI0020257 _07_01_2015_to_07_31_2015_V1.docx,DMR Summary Data for period 07/01/2015 - 07/31/2015_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.0,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-1721928645533378386,https://mienviro.michigan.gov/ncore/downloadpdf/-1721928645533378386,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2015-09-18,2015,DMR Daily - MI0020257 _08_01_2015_to_08_31_2015_V1.docx,DMR Daily Data for period 08/01/2015 - 08/31/2015_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.0,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,5114320877368267073,https://mienviro.michigan.gov/ncore/downloadpdf/5114320877368267073,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2015-09-18,2015,DMR Summary - MI0020257 _08_01_2015_to_08_31_2015_V1.docx,DMR Summary Data for period 08/01/2015 - 08/31/2015_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.0,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,1158228285416033370,https://mienviro.michigan.gov/ncore/downloadpdf/1158228285416033370,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2015-10-20,2015,DMR Daily - MI0020257 _09_01_2015_to_09_30_2015_V1.docx,DMR Daily Data for period 09/01/2015 - 09/30/2015_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.0,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,1246990738065777350,https://mienviro.michigan.gov/ncore/downloadpdf/1246990738065777350,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2015-10-20,2015,DMR Summary - MI0020257 _09_01_2015_to_09_30_2015_V1.docx,DMR Summary Data for period 09/01/2015 - 09/30/2015_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.0,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,5720021817529393512,https://mienviro.michigan.gov/ncore/downloadpdf/5720021817529393512,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2015-10-30,2015,DMR Summary - MI0020257 _10_01_2014_to_09_30_2015_V1.docx,DMR Summary Data for period 10/01/2014 - 09/30/2015_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.0,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,3033334029711207746,https://mienviro.michigan.gov/ncore/downloadpdf/3033334029711207746,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2015-11-19,2015,DMR Daily - MI0020257 _10_01_2015_to_10_31_2015_V1.docx,DMR Daily Data for period 10/01/2015 - 10/31/2015_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.0,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-751241790278250853,https://mienviro.michigan.gov/ncore/downloadpdf/-751241790278250853,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2015-11-19,2015,DMR Summary - MI0020257 _10_01_2015_to_10_31_2015_V1.docx,DMR Summary Data for period 10/01/2015 - 10/31/2015_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.0,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-4008341624842458816,https://mienviro.michigan.gov/ncore/downloadpdf/-4008341624842458816,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2015-12-19,2015,DMR Daily - MI0020257 _11_01_2015_to_11_30_2015_V1.docx,DMR Daily Data for period 11/01/2015 - 11/30/2015_V1,DMR / Monthly Monitoring,Routine,Legacy permit version MI0020257 v5.0,Schedule - DMR Documents,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-2076524723866920213,https://mienviro.michigan.gov/ncore/downloadpdf/-2076524723866920213,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
