DocMgmtDocurl,DocMgmtDocName,DocMgmtDocDescr,DocMgmtCategory,DocMgmtDocRvcdCreatedDate,DocMgmtDocMgmtId,DocMgmtSourceprogramarea,DocMgmtSourcefunctionalarea,DocMgmtSourcenumber,DocMgmtSourcetype
"https://mienviro.michigan.gov/ncore/downloadpdf/-264868687133678095",Cadillac WWTP CCH Petition.pdf,,NPDES Individual Permit,"9/29/2015 12:00:00 AM",-264868687133678095,WRD - NPDES,Permit,MI0020257 v5.1,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/2634479280526975746",Cadillac Mod Public Notice Document.doc,,NPDES Individual Permit,"9/29/2015 12:00:00 AM",2634479280526975746,WRD - NPDES,Permit,MI0020257 v5.1,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/7718544574668863958",Cadillac Mod Basis for Decision Memo.doc,,NPDES Individual Permit,"9/30/2015 12:00:00 AM",7718544574668863958,WRD - NPDES,Permit,MI0020257 v5.1,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/344392362451469223",Cadillac Draft Permit for Issue.doc,,NPDES Individual Permit,"12/10/2015 12:00:00 AM",344392362451469223,WRD - NPDES,Permit,MI0020257 v5.1,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/5107184373189296510",NPDES Permit-FINAL_Cadillac WWTP.docx,,NPDES Individual Permit,"6/14/2018 12:00:00 AM",5107184373189296510,WRD - NPDES,Permit,MI0020257 v6.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-6957847096866406337",Basis for Decision Memo-FINAL_Cadillac WWTP.docx,,NPDES Individual Permit,"8/2/2018 12:00:00 AM",-6957847096866406337,WRD - NPDES,Permit,MI0020257 v6.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-5308550134164369318",Fact Sheet_Cadillac WWTP.docx,,NPDES Individual Permit,"8/2/2018 12:00:00 AM",-5308550134164369318,WRD - NPDES,Permit,MI0020257 v6.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-1215723651577862901",Cadillac WWTP_99% Flow Data.xlsx,,NPDES Individual Permit,"2/1/2019 12:00:00 AM",-1215723651577862901,WRD - NPDES,Permit,MI0020257 v6.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-150348501006616963",Pre-Public Note Ltr_Cadillac WWTP.msg,,NPDES Individual Permit,"2/27/2019 12:00:00 AM",-150348501006616963,WRD - NPDES,Permit,MI0020257 v6.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-4898722065399202194",Department Response to Second Round of PPN Comments_Cadillac WWTP.msg,,NPDES Individual Permit,"5/2/2019 12:00:00 AM",-4898722065399202194,WRD - NPDES,Permit,MI0020257 v6.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-1302747580337855905",PPN Correspondence_Cadillac WWTP.msg,,NPDES Individual Permit,"5/29/2019 12:00:00 AM",-1302747580337855905,WRD - NPDES,Permit,MI0020257 v6.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/5411273080965715241",Public Notice Verification_Cadillac WWTP.msg,,NPDES Individual Permit,"6/6/2019 12:00:00 AM",5411273080965715241,WRD - NPDES,Permit,MI0020257 v6.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/5504019015290538937",Public Notice Notification_Cadillac WWTP.msg,,NPDES Individual Permit,"6/6/2019 12:00:00 AM",5504019015290538937,WRD - NPDES,Permit,MI0020257 v6.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-8533260144873024140",Issuance Letter_Cadillac WWTP.msg,,NPDES Individual Permit,"8/30/2019 12:00:00 AM",-8533260144873024140,WRD - NPDES,Permit,MI0020257 v6.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-1676672740964083188",Basis for Decision Memo-FINAL_Cadillac WWTP.docx,,NPDES Individual Permit,"4/24/2023 12:00:00 AM",-1676672740964083188,WRD - NPDES,Permit,MI0020257 v7.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/3328442549855357227",NPDES Permit-FINAL_Cadillac WWTP.docx,,NPDES Individual Permit,"4/25/2023 12:00:00 AM",3328442549855357227,WRD - NPDES,Permit,MI0020257 v7.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-4803265575480304473",Fact Sheet for NPDES Permit_Cadillac WWTP.docx,,NPDES Individual Permit,"4/27/2023 12:00:00 AM",-4803265575480304473,WRD - NPDES,Permit,MI0020257 v7.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-6680653334060657986",Public Notice Document_Cadillac WWTP.docx,,NPDES Individual Permit,"6/29/2023 12:00:00 AM",-6680653334060657986,WRD - NPDES,Permit,MI0020257 v7.0,NPDES Individual Permit
