Seq,SavedFile,OriginalName,DocDate,Description,Category,ProgramArea,FunctionalArea,SourceNumber,SourceType,DocMgmtId,SourceURL,Bytes,SHA256,Status,Note
0105,0105_2015-10-30_2A6-E7TC-JQKM1.pdf,2A6-E7TC-JQKM1.pdf v1,2015-10-30,,Misc. Application and Request Docs,WRD - NPDES,Application/Request,2A6-E7TC-JQKM,Schedule - Biosolids Annual Report,3772272341703184968,https://mienviro.michigan.gov/ncore/downloadpdf/3772272341703184968,1045393,6570708222300e4f7b4fbc26e51dc09769b1f79ba6de40ecf07c2dcb36bec26c,OK,
0118,0118_2016-02-04_2D2-X9KF-HB6N V2.pdf,2D2-X9KF-HB6N V2.pdf v1,2016-02-04,,Misc. Application and Request Docs,WRD - NPDES,Application/Request,2D2-X9KF-HB6N,Schedule - Pollutant Minimization Program (PMP) Annual Report,449058570274793532,https://mienviro.michigan.gov/ncore/downloadpdf/449058570274793532,286634,65539533a19b593fc63557f10aefd3effe9d8bf4fd0be90917f141c0c0ab3300,OK,
0142,0142_2016-10-25_2KJ-C2SF-H1BF V1.pdf,2KJ-C2SF-H1BF V1.pdf v1,2016-10-25,,Misc. Application and Request Docs,WRD - NPDES,Application/Request,2KJ-C2SF-H1BF,Schedule - Biosolids Annual Report,-3521121797145537515,https://mienviro.michigan.gov/ncore/downloadpdf/-3521121797145537515,51577,34515de74ab207493994bcafd5e2dbb643a658e1940632483f50d8dbadfa41ec,OK,
0187,0187_2017-04-05_Application_2Q7-HQ21-P66B V1.pdf,Application_2Q7-HQ21-P66B V1.pdf v1,2017-04-05,,Misc. Application and Request Docs,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),-4194105337445403259,https://mienviro.michigan.gov/ncore/downloadpdf/-4194105337445403259,134638,6a540cadcdc6fb9200560fcfd59897410932872fa6e48ca880ee5a8266642960,OK,
0222,0222_2017-10-13_HN8-AEB3-S8NKF V1.pdf,HN8-AEB3-S8NKF V1.pdf v1,2017-10-13,FY17 Biosolids Annual Report.,Misc. Application and Request Docs,WRD - NPDES,Application/Request,HN8-AEB3-S8NKF,Schedule - Biosolids Annual Report,8416368693200764668,https://mienviro.michigan.gov/ncore/downloadpdf/8416368693200764668,99971,88e9da848f84f73f1713acf3f42e4962043dda095c12404fbcedde86e32e984f,OK,
0235,0235_2018-01-30_WQBELBiologistFactSheet_MI0020257_1-30-2018.pdf,WQBELBiologistFactSheet_MI0020257_1-30-2018.pdf,2018-01-30,WQBEL Biologist Recommendations Fact/Decision Sheet,Misc. Application and Request Docs,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),4396568221413786777,https://mienviro.michigan.gov/ncore/downloadpdf/4396568221413786777,281388,49e091247101fd2685e47cf3f31e45318d68939df2a399f9d57dc9264cfc1538,OK,
0236,0236_2018-01-30_WQBELBiologistReview_MI0020257_1-30-2018.pdf,WQBELBiologistReview_MI0020257_1-30-2018.doc,2018-01-30,WQBEL Biologist Recommendations Memo,Misc. Application and Request Docs,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),9173363052273315993,https://mienviro.michigan.gov/ncore/downloadpdf/9173363052273315993,74667,c041f2300a6d1b1509a8a4ed2de55c387c5bf561e4703844dd0232429d5adbc0,OK,
0245,0245_2018-03-28_HNB-J69X-W1FHA V1.pdf,HNB-J69X-W1FHA V1.pdf v1,2018-03-28,,Misc. Application and Request Docs,WRD - NPDES,Application/Request,HNB-J69X-W1FHA,Schedule - Michigan Industrial Pretreatment Program Annual Report,-6666933816233107755,https://mienviro.michigan.gov/ncore/downloadpdf/-6666933816233107755,288966,120dbeb59d521dfe4b204dc7473c6d58b6c250fe77a1c0925ce1475cdc2ebbee,OK,
0313,0313_2018-07-30_HNF-P7H3-DCN87 V1.pdf,HNF-P7H3-DCN87 V1.pdf v1,2018-07-30,,Misc. Application and Request Docs,WRD - NPDES,Application/Request,HNF-P7H3-DCN87,Schedule - IPP PFAS Interim Report-1,-2838228056125865720,https://mienviro.michigan.gov/ncore/downloadpdf/-2838228056125865720,53376,c84ac8484363839feb2f3923c72983c8b022805a633bbee6f91bbd2b80969a77,OK,
0370,0370_2018-10-29_HNH-M790-67ZPK V1.pdf,HNH-M790-67ZPK V1.pdf v1,2018-10-29,FY18 Biosolids Annual Report,Misc. Application and Request Docs,WRD - NPDES,Application/Request,HNH-M790-67ZPK,Schedule - Biosolids Annual Report,-4484987493854053281,https://mienviro.michigan.gov/ncore/downloadpdf/-4484987493854053281,75733,bc95e1748847c7398136bf75612df98daefb5668dc5e0633b38abae0520deae1,OK,
0373,0373_2018-11-05_HNH-YJTD-MY6A8 V1.pdf,HNH-YJTD-MY6A8 V1.pdf v1,2018-11-05,,Misc. Application and Request Docs,WRD - NPDES,Application/Request,HNH-YJTD-MY6A8,Application - No Exposure Certification (NEC) for Exclusion of Coverage under the NPDES Stormwater Discharges Associated with Industrial Activity,8236365490693403605,https://mienviro.michigan.gov/ncore/downloadpdf/8236365490693403605,60725,2c51adcacdfd4ea1ef78a5a61070583161bebe12994dec4057d263385b8e8789,OK,
0383,0383_2018-11-29_HNJ-P0ZX-8AVDS V1.pdf,HNJ-P0ZX-8AVDS V1.pdf v1,2018-11-29,,Misc. Application and Request Docs,WRD - NPDES,Application/Request,HNJ-P0ZX-8AVDS,Schedule - IPP PFAS Summary Report,3092683663291337793,https://mienviro.michigan.gov/ncore/downloadpdf/3092683663291337793,52125,7cac269c4207f212eae8b5587cda7a9c38ed8db720560a4b9c803041f383cc97,OK,
