Document Date,Year,Document Name,Description,Document Class,Priority,Legacy / Hidden Retrieval Flags,MiEnviro Category,Program Area,Functional Area,Source Number,Source Type,Document Mgmt ID,MiEnviro Deep Link,Review / Recovery Status
2015-10-30,2015,2A6-E7TC-JQKM1.pdf v1,,Biosolids / Land Application,Medium,,Misc. Application and Request Docs,WRD - NPDES,Application/Request,2A6-E7TC-JQKM,Schedule - Biosolids Annual Report,3772272341703184968,https://mienviro.michigan.gov/ncore/downloadpdf/3772272341703184968,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2016-02-04,2016,2D2-X9KF-HB6N V2.pdf v1,,Permit / Application,Medium,,Misc. Application and Request Docs,WRD - NPDES,Application/Request,2D2-X9KF-HB6N,Schedule - Pollutant Minimization Program (PMP) Annual Report,449058570274793532,https://mienviro.michigan.gov/ncore/downloadpdf/449058570274793532,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2016-10-25,2016,2KJ-C2SF-H1BF V1.pdf v1,,Biosolids / Land Application,Medium,,Misc. Application and Request Docs,WRD - NPDES,Application/Request,2KJ-C2SF-H1BF,Schedule - Biosolids Annual Report,-3521121797145537515,https://mienviro.michigan.gov/ncore/downloadpdf/-3521121797145537515,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-04-05,2017,Application_2Q7-HQ21-P66B V1.pdf v1,,Permit / Application,Medium,,Misc. Application and Request Docs,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),-4194105337445403259,https://mienviro.michigan.gov/ncore/downloadpdf/-4194105337445403259,2017 NPDES application fully read; hard copy recovered in packet
2017-10-13,2017,HN8-AEB3-S8NKF V1.pdf v1,FY17 Biosolids Annual Report.,Biosolids / Land Application,Medium,,Misc. Application and Request Docs,WRD - NPDES,Application/Request,HN8-AEB3-S8NKF,Schedule - Biosolids Annual Report,8416368693200764668,https://mienviro.michigan.gov/ncore/downloadpdf/8416368693200764668,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-01-30,2018,WQBELBiologistFactSheet_MI0020257_1-30-2018.pdf,WQBEL Biologist Recommendations Fact/Decision Sheet,Permit / Application,Medium,,Misc. Application and Request Docs,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),4396568221413786777,https://mienviro.michigan.gov/ncore/downloadpdf/4396568221413786777,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-01-30,2018,WQBELBiologistReview_MI0020257_1-30-2018.doc,WQBEL Biologist Recommendations Memo,Permit / Application,Medium,,Misc. Application and Request Docs,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),9173363052273315993,https://mienviro.michigan.gov/ncore/downloadpdf/9173363052273315993,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-03-28,2018,HNB-J69X-W1FHA V1.pdf v1,,Industrial Pretreatment / IPP,High,,Misc. Application and Request Docs,WRD - NPDES,Application/Request,HNB-J69X-W1FHA,Schedule - Michigan Industrial Pretreatment Program Annual Report,-6666933816233107755,https://mienviro.michigan.gov/ncore/downloadpdf/-6666933816233107755,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-07-30,2018,HNF-P7H3-DCN87 V1.pdf v1,,Industrial Pretreatment / IPP,High,,Misc. Application and Request Docs,WRD - NPDES,Application/Request,HNF-P7H3-DCN87,Schedule - IPP PFAS Interim Report-1,-2838228056125865720,https://mienviro.michigan.gov/ncore/downloadpdf/-2838228056125865720,2018 IPP PFAS Interim Report fully read; hard copy recovered in packet
2018-10-29,2018,HNH-M790-67ZPK V1.pdf v1,FY18 Biosolids Annual Report,Biosolids / Land Application,Medium,,Misc. Application and Request Docs,WRD - NPDES,Application/Request,HNH-M790-67ZPK,Schedule - Biosolids Annual Report,-4484987493854053281,https://mienviro.michigan.gov/ncore/downloadpdf/-4484987493854053281,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-11-05,2018,HNH-YJTD-MY6A8 V1.pdf v1,,Permit / Application,Medium,,Misc. Application and Request Docs,WRD - NPDES,Application/Request,HNH-YJTD-MY6A8,Application - No Exposure Certification (NEC) for Exclusion of Coverage under the NPDES Stormwater Discharges Associated with Industrial Activity,8236365490693403605,https://mienviro.michigan.gov/ncore/downloadpdf/8236365490693403605,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-11-29,2018,HNJ-P0ZX-8AVDS V1.pdf v1,,Industrial Pretreatment / IPP,High,,Misc. Application and Request Docs,WRD - NPDES,Application/Request,HNJ-P0ZX-8AVDS,Schedule - IPP PFAS Summary Report,3092683663291337793,https://mienviro.michigan.gov/ncore/downloadpdf/3092683663291337793,2018 IPP PFAS Summary Report fully read; hard copy recovered in packet
