DocMgmtDocurl,DocMgmtDocName,DocMgmtDocDescr,DocMgmtCategory,DocMgmtDocRvcdCreatedDate,DocMgmtDocMgmtId,DocMgmtSourceprogramarea,DocMgmtSourcefunctionalarea,DocMgmtSourcenumber,DocMgmtSourcetype
"https://mienviro.michigan.gov/ncore/downloadpdf/3772272341703184968",2A6-E7TC-JQKM1.pdf v1,,Misc. Application and Request Docs,"10/30/2015 12:00:00 AM",3772272341703184968,WRD - NPDES,Application/Request,2A6-E7TC-JQKM,Schedule - Biosolids Annual Report
"https://mienviro.michigan.gov/ncore/downloadpdf/449058570274793532",2D2-X9KF-HB6N V2.pdf v1,,Misc. Application and Request Docs,"2/4/2016 12:00:00 AM",449058570274793532,WRD - NPDES,Application/Request,2D2-X9KF-HB6N,Schedule - Pollutant Minimization Program (PMP) Annual Report
"https://mienviro.michigan.gov/ncore/downloadpdf/-3521121797145537515",2KJ-C2SF-H1BF V1.pdf v1,,Misc. Application and Request Docs,"10/25/2016 12:00:00 AM",-3521121797145537515,WRD - NPDES,Application/Request,2KJ-C2SF-H1BF,Schedule - Biosolids Annual Report
"https://mienviro.michigan.gov/ncore/downloadpdf/-4194105337445403259",Application_2Q7-HQ21-P66B V1.pdf v1,,Misc. Application and Request Docs,"4/5/2017 12:00:00 AM",-4194105337445403259,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance)
"https://mienviro.michigan.gov/ncore/downloadpdf/8416368693200764668",HN8-AEB3-S8NKF V1.pdf v1,FY17 Biosolids Annual Report.,Misc. Application and Request Docs,"10/13/2017 12:00:00 AM",8416368693200764668,WRD - NPDES,Application/Request,HN8-AEB3-S8NKF,Schedule - Biosolids Annual Report
"https://mienviro.michigan.gov/ncore/downloadpdf/4396568221413786777",WQBELBiologistFactSheet_MI0020257_1-30-2018.pdf,WQBEL Biologist Recommendations Fact/Decision Sheet,Misc. Application and Request Docs,"1/30/2018 12:00:00 AM",4396568221413786777,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance)
"https://mienviro.michigan.gov/ncore/downloadpdf/9173363052273315993",WQBELBiologistReview_MI0020257_1-30-2018.doc,WQBEL Biologist Recommendations Memo,Misc. Application and Request Docs,"1/30/2018 12:00:00 AM",9173363052273315993,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance)
"https://mienviro.michigan.gov/ncore/downloadpdf/-6666933816233107755",HNB-J69X-W1FHA V1.pdf v1,,Misc. Application and Request Docs,"3/28/2018 12:00:00 AM",-6666933816233107755,WRD - NPDES,Application/Request,HNB-J69X-W1FHA,Schedule - Michigan Industrial Pretreatment Program Annual Report
"https://mienviro.michigan.gov/ncore/downloadpdf/-2838228056125865720",HNF-P7H3-DCN87 V1.pdf v1,,Misc. Application and Request Docs,"7/30/2018 12:00:00 AM",-2838228056125865720,WRD - NPDES,Application/Request,HNF-P7H3-DCN87,Schedule - IPP PFAS Interim Report-1
"https://mienviro.michigan.gov/ncore/downloadpdf/-4484987493854053281",HNH-M790-67ZPK V1.pdf v1,FY18 Biosolids Annual Report,Misc. Application and Request Docs,"10/29/2018 12:00:00 AM",-4484987493854053281,WRD - NPDES,Application/Request,HNH-M790-67ZPK,Schedule - Biosolids Annual Report
"https://mienviro.michigan.gov/ncore/downloadpdf/8236365490693403605",HNH-YJTD-MY6A8 V1.pdf v1,,Misc. Application and Request Docs,"11/5/2018 12:00:00 AM",8236365490693403605,WRD - NPDES,Application/Request,HNH-YJTD-MY6A8,Application - No Exposure Certification (NEC) for Exclusion of Coverage under the NPDES Stormwater Discharges Associated with Industrial Activity
"https://mienviro.michigan.gov/ncore/downloadpdf/3092683663291337793",HNJ-P0ZX-8AVDS V1.pdf v1,,Misc. Application and Request Docs,"11/29/2018 12:00:00 AM",3092683663291337793,WRD - NPDES,Application/Request,HNJ-P0ZX-8AVDS,Schedule - IPP PFAS Summary Report
"https://mienviro.michigan.gov/ncore/downloadpdf/-5801295826717958227",HNN-0QFE-AG22Q V1.pdf v1,,Misc. Application and Request Docs,"3/20/2019 12:00:00 AM",-5801295826717958227,WRD - NPDES,Application/Request,HNN-0QFE-AG22Q,Schedule - Michigan Industrial Pretreatment Program (IPP) Annual Report
"https://mienviro.michigan.gov/ncore/downloadpdf/-6616581335313556719",UpdatedWQBELBiologistReview_MI0020257_4-11-2019.doc,Updated WQBEL Biologist Recommendations Memo dated 4/11/2019,Misc. Application and Request Docs,"4/11/2019 12:00:00 AM",-6616581335313556719,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance)
"https://mienviro.michigan.gov/ncore/downloadpdf/-6131647309696466399",UpdatedPELSheet_MI0020257_4-11-2019.pdf,Updated PEL Sheet dated 4/11/2019.,Misc. Application and Request Docs,"4/11/2019 12:00:00 AM",-6131647309696466399,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance)
"https://mienviro.michigan.gov/ncore/downloadpdf/2793559677356639638",HNQ-VZP8-TWNRX V1.pdf v1,,Misc. Application and Request Docs,"6/28/2019 12:00:00 AM",2793559677356639638,WRD - NPDES,Application/Request,HNQ-VZP8-TWNRX,Schedule - IPP PFAS Status Report
"https://mienviro.michigan.gov/ncore/downloadpdf/3268162461128179690",HNT-5SPH-XVKKZ V1.pdf v1,FY19 Biosolids Annual Report;,Misc. Application and Request Docs,"10/28/2019 12:00:00 AM",3268162461128179690,WRD - NPDES,Application/Request,HNT-5SPH-XVKKZ,Schedule - Biosolids Annual Report
"https://mienviro.michigan.gov/ncore/downloadpdf/-30690039028977475",HNV-XK97-EV0GR V1.pdf v1,Submission PDF,Misc. Application and Request Docs,"12/18/2019 12:00:00 AM",-30690039028977475,WRD - NPDES,Application/Request,HNV-XK97-EV0GR,Schedule - IPP PFAS Status Report
"https://mienviro.michigan.gov/ncore/downloadpdf/-4312345816805112594",HNX-E8Q7-TQ4BF V1.pdf v1,FY20 RMP Mod Applic Request;,Misc. Application and Request Docs,"2/11/2020 12:00:00 AM",-4312345816805112594,WRD - NPDES,Application/Request,HNX-E8Q7-TQ4BF,Schedule - Biosolids Residuals Management Program (RMP) Submittal or Modification
"https://mienviro.michigan.gov/ncore/downloadpdf/-8585248556278470835",HNY-0A3C-HVRY7 V1.pdf v1,Submission PDF,Misc. Application and Request Docs,"3/24/2020 12:00:00 AM",-8585248556278470835,WRD - NPDES,Application/Request,HNY-0A3C-HVRY7,Schedule - Michigan Industrial Pretreatment Program (IPP) Annual Report
