Seq,SavedFile,OriginalName,DocDate,Description,Category,ProgramArea,FunctionalArea,SourceNumber,SourceType,DocMgmtId,SourceURL,Bytes,SHA256,Status,Note
0119,0119_2016-02-04_Mercury minimization plan letter revised V2.pdf,Mercury minimization plan letter revised V2.DOC v1,2016-02-04,Mercury minimization plan letter revised.doc,Applicant Attachments,WRD - NPDES,Application/Request,2D2-X9KF-HB6N,Schedule - Pollutant Minimization Program (PMP) Annual Report,-7115642780883598587,https://mienviro.michigan.gov/ncore/downloadpdf/-7115642780883598587,233636,cedaf0754e943f240219819589f5a5c090f543c7f6a973253585b68c0d042377,OK,
0155,0155_2017-04-03_0P1-01 Process Flow.pdf,0P1-01 Process Flow.pdf v1,2017-04-03,0P1-01 Process Flow.pdf,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),-4571421296266695594,https://mienviro.michigan.gov/ncore/downloadpdf/-4571421296266695594,352858,d5e68ea065b63b3fb073c3878a98e5b46c4784737f7fe533e9437a92884f7c4c,OK,
0156,0156_2017-04-03_0P1-02 Process Flow.pdf,0P1-02 Process Flow.pdf v1,2017-04-03,0P1-02 Process Flow.pdf,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),-9090737734205945229,https://mienviro.michigan.gov/ncore/downloadpdf/-9090737734205945229,364177,be54bb8561dd68cf47006de2a66328221b9b336175346937239970f778792ef1,OK,
0157,0157_2017-04-03_0P1-03 Process Flow.pdf,0P1-03 Process Flow.pdf v1,2017-04-03,0P1-03 Process Flow.pdf,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),8306099835625514154,https://mienviro.michigan.gov/ncore/downloadpdf/8306099835625514154,399431,39a4c7e03888aafe0d9d887a066e5996f155e30280d13737cd17776a1366c70a,OK,
0158,0158_2017-04-03_AAR 6th.pdf,AAR 6th.docx v1,2017-04-03,AAR 6th.docx,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),-5693104588523843213,https://mienviro.michigan.gov/ncore/downloadpdf/-5693104588523843213,56212,c0283e233bd31457ab5379cbad13fda56fbc9181b6784ee88715dcef57fb85dd,OK,
0159,0159_2017-04-03_AAR Facility.pdf,AAR Facility.docx v1,2017-04-03,AAR Facility.docx,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),-910355065678437940,https://mienviro.michigan.gov/ncore/downloadpdf/-910355065678437940,56647,f499bfd3d0fa5e383814f95c8493cc49156414ac8cc95e4793c68bb6eb7e5707,OK,
0160,0160_2017-04-03_AAR Rinse Tank.pdf,AAR Rinse Tank.docx v1,2017-04-03,AAR Rinse Tank.docx,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),4079635351094952055,https://mienviro.michigan.gov/ncore/downloadpdf/4079635351094952055,56660,2eb315e776cb91f0742581ebfe873b1b8b617c09789692da884d01efbf6af06c,OK,
0161,0161_2017-04-03_ARVCO.pdf,ARVCO.docx v1,2017-04-03,ARVCO.docx,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),-5800382166597688800,https://mienviro.michigan.gov/ncore/downloadpdf/-5800382166597688800,56592,dc6e12adf24b444a52704f199f577fa91f38d5a9b247fe310cde84110ea7aee6,OK,
0162,0162_2017-04-03_AVON 2 5th St Manhole.pdf,AVON 2 5th St Manhole.docx v1,2017-04-03,AVON 2 5th St Manhole.docx,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),3858403373487489303,https://mienviro.michigan.gov/ncore/downloadpdf/3858403373487489303,56100,d6c8d12f1adee040bfd4cc017094269f82bac17a6d8bb7c58ff0fabd45841cf5,OK,
0163,0163_2017-04-03_AVON Protection.pdf,AVON Protection.docx v1,2017-04-03,AVON Protection.docx,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),-5563635413840106744,https://mienviro.michigan.gov/ncore/downloadpdf/-5563635413840106744,56125,9ea68b36c811ecd350be0ba503bdd9e0ff87292d307762755c1728baa832ab62,OK,
