Document Date,Year,Document Name,Description,Document Class,Priority,Legacy / Hidden Retrieval Flags,MiEnviro Category,Program Area,Functional Area,Source Number,Source Type,Document Mgmt ID,MiEnviro Deep Link,Review / Recovery Status
2016-02-04,2016,Mercury minimization plan letter revised V2.DOC v1,Mercury minimization plan letter revised.doc,Laboratory / Toxics / WET,High,,Applicant Attachments,WRD - NPDES,Application/Request,2D2-X9KF-HB6N,Schedule - Pollutant Minimization Program (PMP) Annual Report,-7115642780883598587,https://mienviro.michigan.gov/ncore/downloadpdf/-7115642780883598587,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-04-03,2017,0P1-01 Process Flow.pdf v1,0P1-01 Process Flow.pdf,Permit / Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),-4571421296266695594,https://mienviro.michigan.gov/ncore/downloadpdf/-4571421296266695594,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-04-03,2017,0P1-02 Process Flow.pdf v1,0P1-02 Process Flow.pdf,Permit / Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),-9090737734205945229,https://mienviro.michigan.gov/ncore/downloadpdf/-9090737734205945229,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-04-03,2017,0P1-03 Process Flow.pdf v1,0P1-03 Process Flow.pdf,Permit / Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),8306099835625514154,https://mienviro.michigan.gov/ncore/downloadpdf/8306099835625514154,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-04-03,2017,AAR 6th.docx v1,AAR 6th.docx,Permit / Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),-5693104588523843213,https://mienviro.michigan.gov/ncore/downloadpdf/-5693104588523843213,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-04-03,2017,AAR Facility.docx v1,AAR Facility.docx,Permit / Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),-910355065678437940,https://mienviro.michigan.gov/ncore/downloadpdf/-910355065678437940,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-04-03,2017,AAR Rinse Tank.docx v1,AAR Rinse Tank.docx,Permit / Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),4079635351094952055,https://mienviro.michigan.gov/ncore/downloadpdf/4079635351094952055,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-04-03,2017,ARVCO.docx v1,ARVCO.docx,Permit / Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),-5800382166597688800,https://mienviro.michigan.gov/ncore/downloadpdf/-5800382166597688800,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-04-03,2017,AVON 2 5th St Manhole.docx v1,AVON 2 5th St Manhole.docx,Permit / Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),3858403373487489303,https://mienviro.michigan.gov/ncore/downloadpdf/3858403373487489303,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2017-04-03,2017,AVON Protection.docx v1,AVON Protection.docx,Permit / Application,Medium,,Applicant Attachments,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),-5563635413840106744,https://mienviro.michigan.gov/ncore/downloadpdf/-5563635413840106744,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
