DocMgmtDocurl,DocMgmtDocName,DocMgmtDocDescr,DocMgmtCategory,DocMgmtDocRvcdCreatedDate,DocMgmtDocMgmtId,DocMgmtSourceprogramarea,DocMgmtSourcefunctionalarea,DocMgmtSourcenumber,DocMgmtSourcetype
"https://mienviro.michigan.gov/ncore/downloadpdf/-7115642780883598587",Mercury minimization plan letter revised V2.DOC v1,Mercury minimization plan letter revised.doc,Applicant Attachments,"2/4/2016 12:00:00 AM",-7115642780883598587,WRD - NPDES,Application/Request,2D2-X9KF-HB6N,Schedule - Pollutant Minimization Program (PMP) Annual Report
"https://mienviro.michigan.gov/ncore/downloadpdf/-9118125169549468879",AVON.docx v1,AVON.docx,Applicant Attachments,"4/3/2017 12:00:00 AM",-9118125169549468879,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance)
"https://mienviro.michigan.gov/ncore/downloadpdf/-9090737734205945229",0P1-02 Process Flow.pdf v1,0P1-02 Process Flow.pdf,Applicant Attachments,"4/3/2017 12:00:00 AM",-9090737734205945229,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance)
"https://mienviro.michigan.gov/ncore/downloadpdf/-8713293357649151288",Paragon Wet Test (3).pdf v1,Paragon Wet Test (3).pdf,Applicant Attachments,"4/3/2017 12:00:00 AM",-8713293357649151288,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance)
"https://mienviro.michigan.gov/ncore/downloadpdf/-8499150955445776749",Borg Warner.docx v1,Borg Warner.docx,Applicant Attachments,"4/3/2017 12:00:00 AM",-8499150955445776749,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance)
"https://mienviro.michigan.gov/ncore/downloadpdf/-6842767691186545255",REC BOAT CABINETRY.docx v1,REC BOAT CABINETRY.docx,Applicant Attachments,"4/3/2017 12:00:00 AM",-6842767691186545255,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance)
"https://mienviro.michigan.gov/ncore/downloadpdf/-6756834478233780033",REC BOAT SPORT.docx v1,REC BOAT SPORT.docx,Applicant Attachments,"4/3/2017 12:00:00 AM",-6756834478233780033,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance)
"https://mienviro.michigan.gov/ncore/downloadpdf/-5800382166597688800",ARVCO.docx v1,ARVCO.docx,Applicant Attachments,"4/3/2017 12:00:00 AM",-5800382166597688800,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance)
"https://mienviro.michigan.gov/ncore/downloadpdf/-5693104588523843213",AAR 6th.docx v1,AAR 6th.docx,Applicant Attachments,"4/3/2017 12:00:00 AM",-5693104588523843213,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance)
"https://mienviro.michigan.gov/ncore/downloadpdf/-5563635413840106744",AVON Protection.docx v1,AVON Protection.docx,Applicant Attachments,"4/3/2017 12:00:00 AM",-5563635413840106744,WRD - NPDES,Application/Request,2Q7-HQ21-P66B,Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance)
