Seq,SavedFile,OriginalName,DocDate,Description,Category,ProgramArea,FunctionalArea,SourceNumber,SourceType,DocMgmtId,SourceURL,Bytes,SHA256,Status,Note
0240,0240_2018-03-01_MI0020257 PFAS-IPP Letter 2-20-2018.pdf,MI0020257 PFAS-IPP Letter 2-20-2018.pdf,2018-03-01,,Industrial Pretreatment Program (IPP),n/a,Site,15637,Site,1950215384933042828,https://mienviro.michigan.gov/ncore/downloadpdf/1950215384933042828,359934,7a058f9c19d3ee00ec85257408e6fc1360fdffa9ef8d29828bca2394526e66a1,OK,
0253,0253_2018-04-18_PFAS.pdf,PFAS.msg,2018-04-18,,Industrial Pretreatment Program (IPP),n/a,Site,15637,Site,1922698188754231116,https://mienviro.michigan.gov/ncore/downloadpdf/1922698188754231116,421851,f701e912ca3debda125082bdb71fef5b06533477c48ce17056cd18c55d6faacc,OK,
0254,0254_2018-04-19_RE_ PFAS.pdf,RE_ PFAS.msg,2018-04-19,,Industrial Pretreatment Program (IPP),n/a,Site,15637,Site,3538327832857428719,https://mienviro.michigan.gov/ncore/downloadpdf/3538327832857428719,407089,ae0709a82af7ca67f21653258b859828b03c71fc4d06c207a2d91a24639bcf8e,OK,
0290,0290_2018-05-18_Cadillac WWTP 2nd PFAS-IPP Mailing.pdf,Cadillac WWTP 2nd PFAS-IPP Mailing.pdf,2018-05-18,,Industrial Pretreatment Program (IPP),n/a,Site,15637,Site,-739906742778535660,https://mienviro.michigan.gov/ncore/downloadpdf/-739906742778535660,143259,e13fc785334ff3ae00fd36ed88c23332dbd56238910a92ffa498814c00c15acc,OK,
0293,0293_2018-05-23_Cadillac WWTP_PFAS Extension Approval FINAL.pdf,Cadillac WWTP_PFAS Extension Approval FINAL.docx,2018-05-23,IPP PFAS extension approval letter,Industrial Pretreatment Program (IPP),WRD - NPDES,Application/Request,HND-N47D-M65XQ,Schedule - IPP Modification Request or New Program Approval Request,2280393261818424283,https://mienviro.michigan.gov/ncore/downloadpdf/2280393261818424283,103851,57e36bcc9486ed5a74f6a72d1bd86d96d58efff263bf14e8d986d11cfcf6f9c6,OK,
0296,0296_2018-06-13_FW_ City of Cadillac Letter.pdf,FW_ City of Cadillac Letter.msg,2018-06-13,,Industrial Pretreatment Program (IPP),n/a,Site,15637,Site,-8619958092011217786,https://mienviro.michigan.gov/ncore/downloadpdf/-8619958092011217786,470342,fb95496408dbbe7267069734dbd403177aee900d13496721b4e9b0c4c9510504,OK,
0300,0300_2018-06-27_AAR Mobility Maps and Flow.pdf,AAR Mobility Maps and Flow.pdf,2018-06-27,IPP PFAS Interim Rpt discussion correspondence,Industrial Pretreatment Program (IPP),WRD - NPDES,Application/Request,HNF-P7H3-DCN87,Schedule - IPP PFAS Interim Report-1,6364498015414189768,https://mienviro.michigan.gov/ncore/downloadpdf/6364498015414189768,340031,0fdcd80358546c03ff43eecf8de4afff01a7862b9728948d01f4f32049eb5b73,OK,
0329,0329_2018-09-19_RE_ Cadillac WWTP - IPP PFAS Interim Report Review (1).msg,RE_ Cadillac WWTP - IPP PFAS Interim Report Review (1).msg,2018-09-19,,Industrial Pretreatment Program (IPP),n/a,Site,15637,Site,-343730904032096154,https://mienviro.michigan.gov/ncore/downloadfile/-343730904032096154,13008384,8a3bd87430323401c83641a932f6fa570f200ca59e74bd6230effc85e58ed711,OK,URL absent in index; retrieved via /ncore/downloadfile/<docId>
0330,0330_2018-09-19_RE_ Cadillac WWTP - IPP PFAS Interim Report Review.msg,RE_ Cadillac WWTP - IPP PFAS Interim Report Review.msg,2018-09-19,IPP PFAS Summ Rpt discussion documents,Industrial Pretreatment Program (IPP),WRD - NPDES,Application/Request,HNJ-P0ZX-8AVDS,Schedule - IPP PFAS Summary Report,6449269443969004594,https://mienviro.michigan.gov/ncore/downloadfile/6449269443969004594,12988416,391d2cff96ef63efa02cb2ff6dff500c3fbe9a7f0a40340e4edb55e97b300ffe,OK,URL absent in index; retrieved via /ncore/downloadfile/<docId>
0332,0332_2018-09-20_RE_ Cadillac WWTP - IPP PFAS Interim Report Review.pdf,RE_ Cadillac WWTP - IPP PFAS Interim Report Review.msg,2018-09-20,,Industrial Pretreatment Program (IPP),n/a,Site,15637,Site,4951764546287509111,https://mienviro.michigan.gov/ncore/downloadpdf/4951764546287509111,95451,7797237d5b67735ffd7e012ec867baa489e1e2c0fe581b03779be7cea17b9e71,OK,
0341,0341_2018-10-15_Arvco email.pdf,Arvco email.pdf,2018-10-15,IPP PFAS Interim Rpt discussion correspondence,Industrial Pretreatment Program (IPP),WRD - NPDES,Application/Request,HNF-P7H3-DCN87,Schedule - IPP PFAS Interim Report-1,1259500000165986272,https://mienviro.michigan.gov/ncore/downloadpdf/1259500000165986272,114035,4ba3a6860e30f0b39318fbf746a98d1dd46f43c13f7407b43e92c41e60accf55,OK,
0342,0342_2018-10-15_RE_ Cadillac WWTP - IPP PFAS Interim Report Review1.msg,RE_ Cadillac WWTP - IPP PFAS Interim Report Review1.msg,2018-10-15,IPP PFAS Interim Rpt discussion correspondence,Industrial Pretreatment Program (IPP),WRD - NPDES,Application/Request,HNF-P7H3-DCN87,Schedule - IPP PFAS Interim Report-1,4248551297065010540,https://mienviro.michigan.gov/ncore/downloadfile/4248551297065010540,12987392,093e0c3a6ec733cfa76d58e3724a44eb3127fba949f7bd633782645c54bcc13e,OK,URL absent in index; retrieved via /ncore/downloadfile/<docId>
0348,0348_2018-10-29_Dyneon discussion Cadillac.pdf,Dyneon discussion Cadillac.docx,2018-10-29,IPP PFAS Interim Rpt discussion correspondence,Industrial Pretreatment Program (IPP),WRD - NPDES,Application/Request,HNF-P7H3-DCN87,Schedule - IPP PFAS Interim Report-1,-3935179264562711398,https://mienviro.michigan.gov/ncore/downloadpdf/-3935179264562711398,20081,adc77e29ceea4fc83e4c66e6e2f6db1eafd556032b10dd4d4e682e2d1b7bc1e6,OK,
