Document Date,Year,Document Name,Description,Document Class,Priority,Legacy / Hidden Retrieval Flags,MiEnviro Category,Program Area,Functional Area,Source Number,Source Type,Document Mgmt ID,MiEnviro Deep Link,Review / Recovery Status
2018-03-01,2018,MI0020257 PFAS-IPP Letter 2-20-2018.pdf,,Industrial Pretreatment / IPP,High,Site 15637 / Site record,Industrial Pretreatment Program (IPP),,Site,15637,Site,1950215384933042828,https://mienviro.michigan.gov/ncore/downloadpdf/1950215384933042828,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-04-18,2018,PFAS.msg,,Industrial Pretreatment / IPP,High,Site 15637 / Site record,Industrial Pretreatment Program (IPP),,Site,15637,Site,1922698188754231116,https://mienviro.michigan.gov/ncore/downloadpdf/1922698188754231116,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-04-19,2018,RE_ PFAS.msg,,Industrial Pretreatment / IPP,High,Site 15637 / Site record,Industrial Pretreatment Program (IPP),,Site,15637,Site,3538327832857428719,https://mienviro.michigan.gov/ncore/downloadpdf/3538327832857428719,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-05-18,2018,Cadillac WWTP 2nd PFAS-IPP Mailing.pdf,,Industrial Pretreatment / IPP,High,Site 15637 / Site record,Industrial Pretreatment Program (IPP),,Site,15637,Site,-739906742778535660,https://mienviro.michigan.gov/ncore/downloadpdf/-739906742778535660,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-05-23,2018,Cadillac WWTP_PFAS Extension Approval FINAL.docx,IPP PFAS extension approval letter,Industrial Pretreatment / IPP,High,,Industrial Pretreatment Program (IPP),WRD - NPDES,Application/Request,HND-N47D-M65XQ,Schedule - IPP Modification Request or New Program Approval Request,2280393261818424283,https://mienviro.michigan.gov/ncore/downloadpdf/2280393261818424283,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-06-13,2018,FW_ City of Cadillac Letter.msg,,Industrial Pretreatment / IPP,High,Site 15637 / Site record,Industrial Pretreatment Program (IPP),,Site,15637,Site,-8619958092011217786,https://mienviro.michigan.gov/ncore/downloadpdf/-8619958092011217786,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-06-27,2018,AAR Mobility Maps and Flow.pdf,IPP PFAS Interim Rpt discussion correspondence,Industrial Pretreatment / IPP,High,,Industrial Pretreatment Program (IPP),WRD - NPDES,Application/Request,HNF-P7H3-DCN87,Schedule - IPP PFAS Interim Report-1,6364498015414189768,https://mienviro.michigan.gov/ncore/downloadpdf/6364498015414189768,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-09-19,2018,RE_ Cadillac WWTP - IPP PFAS Interim Report Review (1).msg,,Industrial Pretreatment / IPP,High,Site 15637 / Site record,Industrial Pretreatment Program (IPP),,Site,15637,Site,-343730904032096154,https://mienviro.michigan.gov/ncore/downloadpdf/-343730904032096154,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-09-19,2018,RE_ Cadillac WWTP - IPP PFAS Interim Report Review.msg,IPP PFAS Summ Rpt discussion documents,Industrial Pretreatment / IPP,High,,Industrial Pretreatment Program (IPP),WRD - NPDES,Application/Request,HNJ-P0ZX-8AVDS,Schedule - IPP PFAS Summary Report,6449269443969004594,https://mienviro.michigan.gov/ncore/downloadpdf/6449269443969004594,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-09-20,2018,RE_ Cadillac WWTP - IPP PFAS Interim Report Review.msg,,Industrial Pretreatment / IPP,High,Site 15637 / Site record,Industrial Pretreatment Program (IPP),,Site,15637,Site,4951764546287509111,https://mienviro.michigan.gov/ncore/downloadpdf/4951764546287509111,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-10-15,2018,Arvco email.pdf,IPP PFAS Interim Rpt discussion correspondence,Industrial Pretreatment / IPP,High,,Industrial Pretreatment Program (IPP),WRD - NPDES,Application/Request,HNF-P7H3-DCN87,Schedule - IPP PFAS Interim Report-1,1259500000165986272,https://mienviro.michigan.gov/ncore/downloadpdf/1259500000165986272,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
