Seq,SavedFile,OriginalName,DocDate,Description,Category,ProgramArea,FunctionalArea,SourceNumber,SourceType,DocMgmtId,SourceURL,Bytes,SHA256,Status,Note
0257,0257_2018-05-08_EM-Hauling Info.pdf,EM-Hauling Info.msg,2018-05-08,from Fac. Cont./Cert. Oper.,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),-6061985621999773483,https://mienviro.michigan.gov/ncore/downloadpdf/-6061985621999773483,1628096,f78183d826bf8b56009928a072b365e44c25c6d6ff3145d39a580bd95897a084,OK,
0258,0258_2018-05-08_IMG951506.pdf,IMG951506.jpg,2018-05-08,came w/ email (loading up),NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),4140922109563058919,https://mienviro.michigan.gov/ncore/downloadpdf/4140922109563058919,220940,c3457e14d4d07d72e08815f6e150e4c1619b826180c16079e794bd10696e334a,OK,
0259,0259_2018-05-08_IMG951507.pdf,IMG951507.jpg,2018-05-08,came w/ email (off loading of the tanker),NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),-5157977368029054289,https://mienviro.michigan.gov/ncore/downloadpdf/-5157977368029054289,264703,8e589fa7b2086f1d4bab6afff8b48ab10a39d9b18878c64706e67fc4e5716f14,OK,
0260,0260_2018-05-08_IMG_0011-cas.pdf,IMG_0011-cas.JPG,2018-05-08,taken during field inspection,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),-4934672298598036191,https://mienviro.michigan.gov/ncore/downloadpdf/-4934672298598036191,159037,5d11e689db073d014905014ec7585a89882e02f17987d8a40c260a02fe6c5934,OK,
0261,0261_2018-05-08_IMG_0012-cas.pdf,IMG_0012-cas.JPG,2018-05-08,taken during field inspection,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),-4387202925376745449,https://mienviro.michigan.gov/ncore/downloadpdf/-4387202925376745449,155865,32a9d5883452c199cf7a155c15ded92a958fd207953b131d51e4a867e7ab5697,OK,
0262,0262_2018-05-08_IMG_0013-cas.pdf,IMG_0013-cas.JPG,2018-05-08,taken during field inspection,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),-2399458598275382685,https://mienviro.michigan.gov/ncore/downloadpdf/-2399458598275382685,150044,97fa59a9f50fce93a1c62d3ba581970d7b0d0d200137edce7de723db484fc99b,OK,
0263,0263_2018-05-08_IMG_0014-cas.pdf,IMG_0014-cas.JPG,2018-05-08,taken during field inspection,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),3366351575304018828,https://mienviro.michigan.gov/ncore/downloadpdf/3366351575304018828,130640,7039373977982011fceabc69090f4db9fc260760b6cf564afe303de2131eb3e4,OK,
0264,0264_2018-05-08_IMG_0015-cas.pdf,IMG_0015-cas.JPG,2018-05-08,taken during field inspection,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),4102871430425855324,https://mienviro.michigan.gov/ncore/downloadpdf/4102871430425855324,141166,c4a32eb138676ca87d428dad49b64c212467ecf338034770f695da62ab10cb14,OK,
0265,0265_2018-05-08_IMG_0016-cas.pdf,IMG_0016-cas.JPG,2018-05-08,taken during field inspection,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),1705061446773818631,https://mienviro.michigan.gov/ncore/downloadpdf/1705061446773818631,151263,e0e5e6de55a61365e5674437e947d79ebed418b5adc88b3e770b037c1935053b,OK,
0266,0266_2018-05-08_IMG_0017-cas.pdf,IMG_0017-cas.JPG,2018-05-08,taken during field inspection,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),8003210494888166808,https://mienviro.michigan.gov/ncore/downloadpdf/8003210494888166808,162928,7ff390a44b10263f6bb43fbd6b465059562f0f13a2dd09ef94452085a30e25ce,OK,
0267,0267_2018-05-08_IMG_0018-cas.pdf,IMG_0018-cas.JPG,2018-05-08,taken during field inspection,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),-5904639892816440015,https://mienviro.michigan.gov/ncore/downloadpdf/-5904639892816440015,168866,3d5c442b4d351fb2a75f5fce80517f4349dd7dbcc8a36e0aac85087b3b53401c,OK,
0268,0268_2018-05-08_IMG_0019-cas.pdf,IMG_0019-cas.JPG,2018-05-08,taken during field inspection,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),8660571482855999230,https://mienviro.michigan.gov/ncore/downloadpdf/8660571482855999230,167561,88b562bd4225b9a5ebcaee890b6d2c248cca77759cc940e27f391d821f0bda0a,OK,
0269,0269_2018-05-08_IMG_0020-cas.pdf,IMG_0020-cas.JPG,2018-05-08,taken during field inspection,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),1584946013011353055,https://mienviro.michigan.gov/ncore/downloadpdf/1584946013011353055,149428,53bcdf4f7cc59b5e782ef4996d7cbcacfa07639ebd3070db044b5a78bfcff542,OK,
0270,0270_2018-05-08_IMG_0021-cas.pdf,IMG_0021-cas.JPG,2018-05-08,taken during field inspection,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),-4086204810433318992,https://mienviro.michigan.gov/ncore/downloadpdf/-4086204810433318992,150805,0effa35abae80417b7c0e35550460686d184f0b0e193902bc7993579e19905ca,OK,
0271,0271_2018-05-08_IMG_0022-cas.pdf,IMG_0022-cas.JPG,2018-05-08,taken during field inspection,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),842608613722601915,https://mienviro.michigan.gov/ncore/downloadpdf/842608613722601915,163357,602c5ea5d79989262961e35a584f1e363498c8396312254ab81767ca86dc97b8,OK,
0272,0272_2018-05-08_IMG_0023-cas.pdf,IMG_0023-cas.JPG,2018-05-08,taken during field inspection,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),6450893892153400972,https://mienviro.michigan.gov/ncore/downloadpdf/6450893892153400972,168700,58ea9a7d065a816dc9d2127c4945e74c1e24ca854930019b3abe290c7d08bf62,OK,
0273,0273_2018-05-08_IMG_0024-cas.pdf,IMG_0024-cas.JPG,2018-05-08,taken during field inspection,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),-2399497788243427344,https://mienviro.michigan.gov/ncore/downloadpdf/-2399497788243427344,143913,6c4973121529ec08bfc32f4a3e52ef4d232928d26b91744e0436088f3dbbc249,OK,
0274,0274_2018-05-08_IMG_0025-cas.pdf,IMG_0025-cas.JPG,2018-05-08,taken during field inspection,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),-5444929977877672875,https://mienviro.michigan.gov/ncore/downloadpdf/-5444929977877672875,101118,81f649f9dce143aad36896b7c657f458e276ee37251ea47f9aa2a230629237c4,OK,
0275,0275_2018-05-08_IMG_0026-cas.pdf,IMG_0026-cas.JPG,2018-05-08,taken during field inspection,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),7088981037234495432,https://mienviro.michigan.gov/ncore/downloadpdf/7088981037234495432,101265,2905eba4031b43853a26bbfc354c83759cf9281988e20908194086640e9be921,OK,
0276,0276_2018-05-08_IMG_0027-cas.pdf,IMG_0027-cas.JPG,2018-05-08,taken during field inspection,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),-28324926175105492,https://mienviro.michigan.gov/ncore/downloadpdf/-28324926175105492,139056,8184921bbfa0cff3549fa3e8fdbfcbbfe3aaffeb59d23e6cbe926265fad2e6de,OK,
0277,0277_2018-05-08_IMG_0028-cas.pdf,IMG_0028-cas.JPG,2018-05-08,taken during field inspection,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),6747494849719470224,https://mienviro.michigan.gov/ncore/downloadpdf/6747494849719470224,129848,24afeab00ed248837d21e7c50f0456fde64bd69933f9ffccdfd0992573f241b2,OK,
0278,0278_2018-05-08_IMG_0029-cas.pdf,IMG_0029-cas.JPG,2018-05-08,taken during field inspection,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),-3373831412953128423,https://mienviro.michigan.gov/ncore/downloadpdf/-3373831412953128423,129652,6112fd434938986f5bd2b57430ac4a726ebba9697173c7b6241c12d7949412b8,OK,
0279,0279_2018-05-08_IMG_0030-cas.pdf,IMG_0030-cas.JPG,2018-05-08,taken during field inspection,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),3535436455339375991,https://mienviro.michigan.gov/ncore/downloadpdf/3535436455339375991,147489,2f87110fbb10899191d333f936dfc79d7e40ab7247e648a6e11c787ddd482269,OK,
0280,0280_2018-05-08_IMG_0031-cas.pdf,IMG_0031-cas.JPG,2018-05-08,taken during field inspection,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),-8093064571610602919,https://mienviro.michigan.gov/ncore/downloadpdf/-8093064571610602919,145758,10014d860a59c0b1b9858619879da271dd4c72db4589cacf03d951e4ffd98107,OK,
0281,0281_2018-05-08_Pace Biosolids 3-28-2018 Sampling results.pdf,Pace Biosolids 3-28-2018 Sampling results.pdf,2018-05-08,"came w/ email (VOCs, metals, nutrients, etc.)",NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),4273878836246250660,https://mienviro.michigan.gov/ncore/downloadpdf/4273878836246250660,986609,bb9d5bc3d13f0fb497e06dcb9eea1522ff918be4a955f81dd3847066e4661415,OK,
0283,0283_2018-05-15_Docs from WWTP.pdf,Docs from WWTP.pdf,2018-05-15,rec'd from operator during audit,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),8194633805971928943,https://mienviro.michigan.gov/ncore/downloadpdf/8194633805971928943,1140282,baec26cc87331a0de5493b2b214b89dde07a912d5d88e97f1589adbf670d4c64,OK,
0284,0284_2018-05-15_IMG_0032-cas.pdf,IMG_0032-cas.JPG,2018-05-15,Biosolids hauling lab data - Oct. 2017,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),7845561818448436059,https://mienviro.michigan.gov/ncore/downloadpdf/7845561818448436059,56529,0e02d3e672f2b7639ae9db2d9e27fadc8c5c2b202a4ed0e1b10bcb65cff03eb5,OK,
0285,0285_2018-05-15_IMG_0033-cas.pdf,IMG_0033-cas.JPG,2018-05-15,"TSS and TVS Lab Data-Sept. 28, 2017",NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),1278932597267227932,https://mienviro.michigan.gov/ncore/downloadpdf/1278932597267227932,74690,22990cf8a6705a4d081d8b134a4f52a69b2ae5ea7938f5fb914783a129769e64,OK,
0288,0288_2018-05-17_EM-Pathogen results.pdf,EM-Pathogen results.msg,2018-05-17,from Fac. Oper.,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),317370923758052594,https://mienviro.michigan.gov/ncore/downloadpdf/317370923758052594,304739,68a866482177c2fddc838893bb36601828a7712f6ed5563352b2446632053844,OK,
0289,0289_2018-05-17_Spring 2018-Pathogen results.pdf,Spring 2018-Pathogen results.pdf,2018-05-17,came w/ Email,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),-2173118411864624684,https://mienviro.michigan.gov/ncore/downloadpdf/-2173118411864624684,179840,cb4bdb5ff6aa40744ac7c08197e2d8d8aa08b4d4bbbae82482bdba5a4645a23f,OK,
0291,0291_2018-05-21_April 2018-RJ02 Soils Test.pdf,April 2018-RJ02 Soils Test.pdf,2018-05-21,Actual doc; goes w/ field inspection conducted w/ audit,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),-8954288284284844625,https://mienviro.michigan.gov/ncore/downloadpdf/-8954288284284844625,121896,560ee45564c8b47022695fb31bcb80f68d082cc52850528fce9b9134844fb5b7,OK,
0292,0292_2018-05-21_EM Tr-Land app rates and info.pdf,EM Tr-Land app rates and info.msg,2018-05-21,from Fac. Oper.,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),-766849109262881587,https://mienviro.michigan.gov/ncore/downloadpdf/-766849109262881587,249750,93bbc2fe9472151a2f95af66c9ef99dfcc3f9d40616477da330adee977391c7f,OK,
0339,0339_2018-10-10_FY18 Biosolids Audit Transmittal.pdf,FY18 Biosolids Audit Transmittal.docx,2018-10-10,Audit Letter - Inspection from May 2018,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),8887558777852619651,https://mienviro.michigan.gov/ncore/downloadpdf/8887558777852619651,96928,18153c926f678f1e3fb3011099d4ea16e80d997dde755e4decc49678e564bf9a,OK,
