Document Date,Year,Document Name,Description,Document Class,Priority,Legacy / Hidden Retrieval Flags,MiEnviro Category,Program Area,Functional Area,Source Number,Source Type,Document Mgmt ID,MiEnviro Deep Link,Review / Recovery Status
2018-05-08,2018,EM-Hauling Info.msg,from Fac. Cont./Cert. Oper.,Biosolids / Land Application,Medium,Evaluation E-DHWW-FYB-ZBN,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),-6061985621999773483,https://mienviro.michigan.gov/ncore/downloadpdf/-6061985621999773483,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-05-08,2018,IMG951506.jpg,came w/ email (loading up),Biosolids / Land Application,Medium,Evaluation E-DHWW-FYB-ZBN,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),4140922109563058919,https://mienviro.michigan.gov/ncore/downloadpdf/4140922109563058919,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-05-08,2018,IMG951507.jpg,came w/ email (off loading of the tanker),Biosolids / Land Application,Medium,Evaluation E-DHWW-FYB-ZBN,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),-5157977368029054289,https://mienviro.michigan.gov/ncore/downloadpdf/-5157977368029054289,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-05-08,2018,IMG_0011-cas.JPG,taken during field inspection,Biosolids / Land Application,Medium,Evaluation E-DHWW-FYB-ZBN,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),-4934672298598036191,https://mienviro.michigan.gov/ncore/downloadpdf/-4934672298598036191,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-05-08,2018,IMG_0012-cas.JPG,taken during field inspection,Biosolids / Land Application,Medium,Evaluation E-DHWW-FYB-ZBN,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),-4387202925376745449,https://mienviro.michigan.gov/ncore/downloadpdf/-4387202925376745449,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-05-08,2018,IMG_0013-cas.JPG,taken during field inspection,Biosolids / Land Application,Medium,Evaluation E-DHWW-FYB-ZBN,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),-2399458598275382685,https://mienviro.michigan.gov/ncore/downloadpdf/-2399458598275382685,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-05-08,2018,IMG_0014-cas.JPG,taken during field inspection,Biosolids / Land Application,Medium,Evaluation E-DHWW-FYB-ZBN,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),3366351575304018828,https://mienviro.michigan.gov/ncore/downloadpdf/3366351575304018828,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-05-08,2018,IMG_0015-cas.JPG,taken during field inspection,Biosolids / Land Application,Medium,Evaluation E-DHWW-FYB-ZBN,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),4102871430425855324,https://mienviro.michigan.gov/ncore/downloadpdf/4102871430425855324,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-05-08,2018,IMG_0016-cas.JPG,taken during field inspection,Biosolids / Land Application,Medium,Evaluation E-DHWW-FYB-ZBN,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),1705061446773818631,https://mienviro.michigan.gov/ncore/downloadpdf/1705061446773818631,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-05-08,2018,IMG_0017-cas.JPG,taken during field inspection,Biosolids / Land Application,Medium,Evaluation E-DHWW-FYB-ZBN,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),8003210494888166808,https://mienviro.michigan.gov/ncore/downloadpdf/8003210494888166808,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-05-08,2018,IMG_0018-cas.JPG,taken during field inspection,Biosolids / Land Application,Medium,Evaluation E-DHWW-FYB-ZBN,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),-5904639892816440015,https://mienviro.michigan.gov/ncore/downloadpdf/-5904639892816440015,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-05-08,2018,IMG_0019-cas.JPG,taken during field inspection,Biosolids / Land Application,Medium,Evaluation E-DHWW-FYB-ZBN,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),8660571482855999230,https://mienviro.michigan.gov/ncore/downloadpdf/8660571482855999230,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-05-08,2018,IMG_0020-cas.JPG,taken during field inspection,Biosolids / Land Application,Medium,Evaluation E-DHWW-FYB-ZBN,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),1584946013011353055,https://mienviro.michigan.gov/ncore/downloadpdf/1584946013011353055,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-05-08,2018,IMG_0021-cas.JPG,taken during field inspection,Biosolids / Land Application,Medium,Evaluation E-DHWW-FYB-ZBN,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),-4086204810433318992,https://mienviro.michigan.gov/ncore/downloadpdf/-4086204810433318992,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-05-08,2018,IMG_0022-cas.JPG,taken during field inspection,Biosolids / Land Application,Medium,Evaluation E-DHWW-FYB-ZBN,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),842608613722601915,https://mienviro.michigan.gov/ncore/downloadpdf/842608613722601915,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-05-08,2018,IMG_0023-cas.JPG,taken during field inspection,Biosolids / Land Application,Medium,Evaluation E-DHWW-FYB-ZBN,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),6450893892153400972,https://mienviro.michigan.gov/ncore/downloadpdf/6450893892153400972,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-05-08,2018,IMG_0024-cas.JPG,taken during field inspection,Biosolids / Land Application,Medium,Evaluation E-DHWW-FYB-ZBN,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),-2399497788243427344,https://mienviro.michigan.gov/ncore/downloadpdf/-2399497788243427344,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-05-08,2018,IMG_0025-cas.JPG,taken during field inspection,Biosolids / Land Application,Medium,Evaluation E-DHWW-FYB-ZBN,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),-5444929977877672875,https://mienviro.michigan.gov/ncore/downloadpdf/-5444929977877672875,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-05-08,2018,IMG_0026-cas.JPG,taken during field inspection,Biosolids / Land Application,Medium,Evaluation E-DHWW-FYB-ZBN,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),7088981037234495432,https://mienviro.michigan.gov/ncore/downloadpdf/7088981037234495432,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-05-08,2018,IMG_0027-cas.JPG,taken during field inspection,Biosolids / Land Application,Medium,Evaluation E-DHWW-FYB-ZBN,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),-28324926175105492,https://mienviro.michigan.gov/ncore/downloadpdf/-28324926175105492,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-05-08,2018,IMG_0028-cas.JPG,taken during field inspection,Biosolids / Land Application,Medium,Evaluation E-DHWW-FYB-ZBN,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),6747494849719470224,https://mienviro.michigan.gov/ncore/downloadpdf/6747494849719470224,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-05-08,2018,IMG_0029-cas.JPG,taken during field inspection,Biosolids / Land Application,Medium,Evaluation E-DHWW-FYB-ZBN,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),-3373831412953128423,https://mienviro.michigan.gov/ncore/downloadpdf/-3373831412953128423,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-05-08,2018,IMG_0030-cas.JPG,taken during field inspection,Biosolids / Land Application,Medium,Evaluation E-DHWW-FYB-ZBN,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),3535436455339375991,https://mienviro.michigan.gov/ncore/downloadpdf/3535436455339375991,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-05-08,2018,IMG_0031-cas.JPG,taken during field inspection,Biosolids / Land Application,Medium,Evaluation E-DHWW-FYB-ZBN,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),-8093064571610602919,https://mienviro.michigan.gov/ncore/downloadpdf/-8093064571610602919,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-05-08,2018,Pace Biosolids 3-28-2018 Sampling results.pdf,"came w/ email (VOCs, metals, nutrients, etc.)",Biosolids / Land Application,Medium,Evaluation E-DHWW-FYB-ZBN,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),4273878836246250660,https://mienviro.michigan.gov/ncore/downloadpdf/4273878836246250660,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-05-15,2018,Docs from WWTP.pdf,rec'd from operator during audit,Biosolids / Land Application,Medium,Evaluation E-DHWW-FYB-ZBN,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),8194633805971928943,https://mienviro.michigan.gov/ncore/downloadpdf/8194633805971928943,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-05-15,2018,IMG_0032-cas.JPG,Biosolids hauling lab data - Oct. 2017,Biosolids / Land Application,Medium,Evaluation E-DHWW-FYB-ZBN,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),7845561818448436059,https://mienviro.michigan.gov/ncore/downloadpdf/7845561818448436059,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-05-15,2018,IMG_0033-cas.JPG,"TSS and TVS Lab Data-Sept. 28, 2017",Biosolids / Land Application,Medium,Evaluation E-DHWW-FYB-ZBN,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),1278932597267227932,https://mienviro.michigan.gov/ncore/downloadpdf/1278932597267227932,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-05-17,2018,EM-Pathogen results.msg,from Fac. Oper.,Biosolids / Land Application,Medium,Evaluation E-DHWW-FYB-ZBN,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),317370923758052594,https://mienviro.michigan.gov/ncore/downloadpdf/317370923758052594,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-05-17,2018,Spring 2018-Pathogen results.pdf,came w/ Email,Biosolids / Land Application,Medium,Evaluation E-DHWW-FYB-ZBN,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),-2173118411864624684,https://mienviro.michigan.gov/ncore/downloadpdf/-2173118411864624684,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-05-21,2018,April 2018-RJ02 Soils Test.pdf,Actual doc; goes w/ field inspection conducted w/ audit,Biosolids / Land Application,Medium,Evaluation E-DHWW-FYB-ZBN,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),-8954288284284844625,https://mienviro.michigan.gov/ncore/downloadpdf/-8954288284284844625,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-05-21,2018,EM Tr-Land app rates and info.msg,from Fac. Oper.,Biosolids / Land Application,Medium,Evaluation E-DHWW-FYB-ZBN,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),-766849109262881587,https://mienviro.michigan.gov/ncore/downloadpdf/-766849109262881587,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2018-10-10,2018,FY18 Biosolids Audit Transmittal.docx,Audit Letter - Inspection from May 2018,Biosolids / Land Application,Medium,Evaluation E-DHWW-FYB-ZBN,NPDES Biosolids Evaluation,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018),8887558777852619651,https://mienviro.michigan.gov/ncore/downloadpdf/8887558777852619651,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
