DocMgmtDocurl,DocMgmtDocName,DocMgmtDocDescr,DocMgmtCategory,DocMgmtDocRvcdCreatedDate,DocMgmtDocMgmtId,DocMgmtSourceprogramarea,DocMgmtSourcefunctionalarea,DocMgmtSourcenumber,DocMgmtSourcetype
"https://mienviro.michigan.gov/ncore/downloadpdf/-8093064571610602919",IMG_0031-cas.JPG,taken during field inspection,NPDES Biosolids Evaluation,"5/8/2018 12:00:00 AM",-8093064571610602919,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018)
"https://mienviro.michigan.gov/ncore/downloadpdf/-6061985621999773483",EM-Hauling Info.msg,from Fac. Cont./Cert. Oper.,NPDES Biosolids Evaluation,"5/8/2018 12:00:00 AM",-6061985621999773483,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018)
"https://mienviro.michigan.gov/ncore/downloadpdf/-5904639892816440015",IMG_0018-cas.JPG,taken during field inspection,NPDES Biosolids Evaluation,"5/8/2018 12:00:00 AM",-5904639892816440015,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018)
"https://mienviro.michigan.gov/ncore/downloadpdf/-5444929977877672875",IMG_0025-cas.JPG,taken during field inspection,NPDES Biosolids Evaluation,"5/8/2018 12:00:00 AM",-5444929977877672875,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018)
"https://mienviro.michigan.gov/ncore/downloadpdf/-5157977368029054289",IMG951507.jpg,came w/ email (off loading of the tanker),NPDES Biosolids Evaluation,"5/8/2018 12:00:00 AM",-5157977368029054289,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018)
"https://mienviro.michigan.gov/ncore/downloadpdf/-4934672298598036191",IMG_0011-cas.JPG,taken during field inspection,NPDES Biosolids Evaluation,"5/8/2018 12:00:00 AM",-4934672298598036191,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018)
"https://mienviro.michigan.gov/ncore/downloadpdf/-4387202925376745449",IMG_0012-cas.JPG,taken during field inspection,NPDES Biosolids Evaluation,"5/8/2018 12:00:00 AM",-4387202925376745449,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018)
"https://mienviro.michigan.gov/ncore/downloadpdf/-4086204810433318992",IMG_0021-cas.JPG,taken during field inspection,NPDES Biosolids Evaluation,"5/8/2018 12:00:00 AM",-4086204810433318992,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018)
"https://mienviro.michigan.gov/ncore/downloadpdf/-3373831412953128423",IMG_0029-cas.JPG,taken during field inspection,NPDES Biosolids Evaluation,"5/8/2018 12:00:00 AM",-3373831412953128423,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018)
"https://mienviro.michigan.gov/ncore/downloadpdf/-2399497788243427344",IMG_0024-cas.JPG,taken during field inspection,NPDES Biosolids Evaluation,"5/8/2018 12:00:00 AM",-2399497788243427344,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018)
"https://mienviro.michigan.gov/ncore/downloadpdf/-2399458598275382685",IMG_0013-cas.JPG,taken during field inspection,NPDES Biosolids Evaluation,"5/8/2018 12:00:00 AM",-2399458598275382685,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018)
"https://mienviro.michigan.gov/ncore/downloadpdf/-28324926175105492",IMG_0027-cas.JPG,taken during field inspection,NPDES Biosolids Evaluation,"5/8/2018 12:00:00 AM",-28324926175105492,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018)
"https://mienviro.michigan.gov/ncore/downloadpdf/842608613722601915",IMG_0022-cas.JPG,taken during field inspection,NPDES Biosolids Evaluation,"5/8/2018 12:00:00 AM",842608613722601915,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018)
"https://mienviro.michigan.gov/ncore/downloadpdf/1584946013011353055",IMG_0020-cas.JPG,taken during field inspection,NPDES Biosolids Evaluation,"5/8/2018 12:00:00 AM",1584946013011353055,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018)
"https://mienviro.michigan.gov/ncore/downloadpdf/1705061446773818631",IMG_0016-cas.JPG,taken during field inspection,NPDES Biosolids Evaluation,"5/8/2018 12:00:00 AM",1705061446773818631,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018)
"https://mienviro.michigan.gov/ncore/downloadpdf/3366351575304018828",IMG_0014-cas.JPG,taken during field inspection,NPDES Biosolids Evaluation,"5/8/2018 12:00:00 AM",3366351575304018828,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018)
"https://mienviro.michigan.gov/ncore/downloadpdf/3535436455339375991",IMG_0030-cas.JPG,taken during field inspection,NPDES Biosolids Evaluation,"5/8/2018 12:00:00 AM",3535436455339375991,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018)
"https://mienviro.michigan.gov/ncore/downloadpdf/4102871430425855324",IMG_0015-cas.JPG,taken during field inspection,NPDES Biosolids Evaluation,"5/8/2018 12:00:00 AM",4102871430425855324,WRD - NPDES,Evaluation,E-DHWW-FYB-ZBN,Biosolids Audit (05/11/2018)
