DocMgmtDocurl,DocMgmtDocName,DocMgmtDocDescr,DocMgmtCategory,DocMgmtDocRvcdCreatedDate,DocMgmtDocMgmtId,DocMgmtSourceprogramarea,DocMgmtSourcefunctionalarea,DocMgmtSourcenumber,DocMgmtSourcetype
"https://mienviro.michigan.gov/ncore/downloadpdf/3628686366959490149",WQBEL Memo - Conventionals (WORD).docx,,Misc. NPDES Permit Docs,"6/13/2018 12:00:00 AM",3628686366959490149,WRD - NPDES,Permit,MI0020257 v6.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-4635650844082025800",Public Notice Document_Cadillac WWTP.docx,,Misc. NPDES Permit Docs,"8/2/2018 12:00:00 AM",-4635650844082025800,WRD - NPDES,Permit,MI0020257 v6.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/9171882716938331285",Additional Email Correspondence_Asset Management Conversation.msg,-Asking about Cadillac Asset Management and updated maps,Misc. NPDES Permit Docs,"9/12/2018 12:00:00 AM",9171882716938331285,WRD - NPDES,Permit,MI0020257 v6.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/4781418742612633433",Additional Email Correspondence_Chlorine and UV Inquiry.msg,,Misc. NPDES Permit Docs,"9/20/2018 12:00:00 AM",4781418742612633433,WRD - NPDES,Permit,MI0020257 v6.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/4912358191559826487",Public Notice Ltr_Cadillac WWTP.msg,,Misc. NPDES Permit Docs,"6/4/2019 12:00:00 AM",4912358191559826487,WRD - NPDES,Permit,MI0020257 v6.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/6030670746472801357",Basis for Decision Memo-DRAFT for Public Notice_Cadillac WWTP.pdf,,Misc. NPDES Permit Docs,"6/4/2019 12:00:00 AM",6030670746472801357,WRD - NPDES,Permit,MI0020257 v6.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/8202905883452332436",NPDES Permit-DRAFT for Public Notice_Cadillac WWTP.pdf,,Misc. NPDES Permit Docs,"6/4/2019 12:00:00 AM",8202905883452332436,WRD - NPDES,Permit,MI0020257 v6.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-2695911669999007694",ConvWQBEL_CadillacWWTP_HaringTwpWWTP_23.docx,Conventional WQBEL Review - Cadillac WWTP and Haring Twp WWTP WLA,Misc. NPDES Permit Docs,"10/6/2022 12:00:00 AM",-2695911669999007694,WRD - NPDES,Permit,MI0020257 v7.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/2369463525612990207",Application Compliance Comments Memo - NPDES.docx,,Misc. NPDES Permit Docs,"4/18/2023 12:00:00 AM",2369463525612990207,WRD - NPDES,Permit,MI0020257 v7.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/6467084543884516640",Pre-Public Notice Letter_Cadillac WWTP.msg,,Misc. NPDES Permit Docs,"7/27/2023 12:00:00 AM",6467084543884516640,WRD - NPDES,Permit,MI0020257 v7.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-8291667399128555217",Pre-Public Notice Comments and Response-First Round_Cadillac WWTP.msg,,Misc. NPDES Permit Docs,"10/5/2023 12:00:00 AM",-8291667399128555217,WRD - NPDES,Permit,MI0020257 v7.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-7629441400464847672",Pre-Public Notice Comments and Response-Fourth Round_Cadillac WWTP.msg,,Misc. NPDES Permit Docs,"10/5/2023 12:00:00 AM",-7629441400464847672,WRD - NPDES,Permit,MI0020257 v7.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-5468174260920066034",Fwd Cadillac - Preliminary Pre-Public Notice Discussion Items.msg,,Misc. NPDES Permit Docs,"10/5/2023 12:00:00 AM",-5468174260920066034,WRD - NPDES,Permit,MI0020257 v7.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-825643718394833452",Public Notice Letter_Cadillac WWTP.msg,,Misc. NPDES Permit Docs,"10/5/2023 12:00:00 AM",-825643718394833452,WRD - NPDES,Permit,MI0020257 v7.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/600965222148005642",Pre-Public Notice Comments and Response-Second Round_Cadillac WWTP.msg,,Misc. NPDES Permit Docs,"10/5/2023 12:00:00 AM",600965222148005642,WRD - NPDES,Permit,MI0020257 v7.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/2370249937544737160",Pre-Public Notice Comments and Response-Third Round_Cadillac WWTP.msg,,Misc. NPDES Permit Docs,"10/5/2023 12:00:00 AM",2370249937544737160,WRD - NPDES,Permit,MI0020257 v7.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/2497047599243435925",FW Ammonia Implementation - FY23 Facility Information_Cadillac WWTP.msg,,Misc. NPDES Permit Docs,"10/5/2023 12:00:00 AM",2497047599243435925,WRD - NPDES,Permit,MI0020257 v7.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/5993948840787884044",NPDES Permit-DRAFT for Public Notice_Cadillac WWTP.pdf,,Misc. NPDES Permit Docs,"10/5/2023 12:00:00 AM",5993948840787884044,WRD - NPDES,Permit,MI0020257 v7.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/6252796811904198433",FW Preliminary City of Cadillac Comments on New Draft NPDES permit - Additional Monitoring.msg,,Misc. NPDES Permit Docs,"10/5/2023 12:00:00 AM",6252796811904198433,WRD - NPDES,Permit,MI0020257 v7.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/6907198657668915430",Basis for Decision Memo-DRAFT for Public Notice_Cadillac WWTP.pdf,,Misc. NPDES Permit Docs,"10/5/2023 12:00:00 AM",6907198657668915430,WRD - NPDES,Permit,MI0020257 v7.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/7705666445379538630",RE Cadillac WWTP - Asset Management.msg,,Misc. NPDES Permit Docs,"10/5/2023 12:00:00 AM",7705666445379538630,WRD - NPDES,Permit,MI0020257 v7.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-6211174137511669758",Public Notice Notification_Cadillac WWTP.msg,,Misc. NPDES Permit Docs,"10/9/2023 12:00:00 AM",-6211174137511669758,WRD - NPDES,Permit,MI0020257 v7.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/8376801999318758889",Public Notice Verification_Cadillac WWTP.msg,,Misc. NPDES Permit Docs,"10/10/2023 12:00:00 AM",8376801999318758889,WRD - NPDES,Permit,MI0020257 v7.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-5340921174317880270",RE Cadillac WWTP NH4 Treatment Capacity.msg,,Misc. NPDES Permit Docs,"11/9/2023 12:00:00 AM",-5340921174317880270,WRD - NPDES,Permit,MI0020257 v7.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-2807753579069029758",QA QC Report_Cadillac WWTP.docx,,Misc. NPDES Permit Docs,"11/13/2023 12:00:00 AM",-2807753579069029758,WRD - NPDES,Permit,MI0020257 v7.0,NPDES Individual Permit
"https://mienviro.michigan.gov/ncore/downloadpdf/-8417291737125858667",IP Issuance Letter_Cadillac WWTP.msg,,Misc. NPDES Permit Docs,"12/6/2023 12:00:00 AM",-8417291737125858667,WRD - NPDES,Permit,MI0020257 v7.0,NPDES Individual Permit
