DocMgmtDocurl,DocMgmtDocName,DocMgmtDocDescr,DocMgmtCategory,DocMgmtDocRvcdCreatedDate,DocMgmtDocMgmtId,DocMgmtSourceprogramarea,DocMgmtSourcefunctionalarea,DocMgmtSourcenumber,DocMgmtSourcetype
"https://mienviro.michigan.gov/ncore/downloadpdf/-277633430264230949",EM-FY18 LA docs and DTs submitted for Biosolids AR - Questions.msg,DEQ to facility,NPDES Submittal Docs,"11/15/2018 12:00:00 AM",-277633430264230949,WRD - NPDES,Application/Request,HNH-M790-67ZPK,Schedule - Biosolids Annual Report
"https://mienviro.michigan.gov/ncore/downloadpdf/3140966257682029726",should have picked this one.jpg,attached to DEQ email,NPDES Submittal Docs,"11/15/2018 12:00:00 AM",3140966257682029726,WRD - NPDES,Application/Request,HNH-M790-67ZPK,Schedule - Biosolids Annual Report
"https://mienviro.michigan.gov/ncore/downloadpdf/2316673613866669392",FY18 Applier Certification - Revised.pdf,came w/ facility email (not signed),NPDES Submittal Docs,"11/28/2018 12:00:00 AM",2316673613866669392,WRD - NPDES,Application/Request,HNH-M790-67ZPK,Schedule - Biosolids Annual Report
"https://mienviro.michigan.gov/ncore/downloadpdf/7983495502099291771",EM-FY18 LA docs and DTs submitted for Biosolids AR - revised certification.msg,from facility,NPDES Submittal Docs,"11/28/2018 12:00:00 AM",7983495502099291771,WRD - NPDES,Application/Request,HNH-M790-67ZPK,Schedule - Biosolids Annual Report
"https://mienviro.michigan.gov/ncore/downloadpdf/7128560501718319606",EM-FY18 LA docs and DTs submitted for Biosolids AR-revsd cert-needs applier signature....msg,DEQ responds,NPDES Submittal Docs,"12/5/2018 12:00:00 AM",7128560501718319606,WRD - NPDES,Application/Request,HNH-M790-67ZPK,Schedule - Biosolids Annual Report
"https://mienviro.michigan.gov/ncore/downloadpdf/6582700003823858583",EM-FY18 Biosolids DT numbers - plus info.msg,DEQ responds,NPDES Submittal Docs,"12/10/2018 12:00:00 AM",6582700003823858583,WRD - NPDES,Application/Request,HNH-M790-67ZPK,Schedule - Biosolids Annual Report
"https://mienviro.michigan.gov/ncore/downloadpdf/-5194609860685770564",EM Tr-FY18 Applier Certification-revised 2-signed.msg,DEQ responds,NPDES Submittal Docs,"12/18/2018 12:00:00 AM",-5194609860685770564,WRD - NPDES,Application/Request,HNH-M790-67ZPK,Schedule - Biosolids Annual Report
"https://mienviro.michigan.gov/ncore/downloadpdf/-3951802162146228519",EM-FY18 Applier Certification-revised 2-signed.msg,from facility,NPDES Submittal Docs,"12/18/2018 12:00:00 AM",-3951802162146228519,WRD - NPDES,Application/Request,HNH-M790-67ZPK,Schedule - Biosolids Annual Report
"https://mienviro.michigan.gov/ncore/downloadpdf/9075597598235972281",FY18 Applier Certification-Revised 2-signed.pdf,came w/ facility email,NPDES Submittal Docs,"12/18/2018 12:00:00 AM",9075597598235972281,WRD - NPDES,Application/Request,HNH-M790-67ZPK,Schedule - Biosolids Annual Report
"https://mienviro.michigan.gov/ncore/downloadpdf/8332496224645746748",EM-Reviewing biosolids annual report and documents.msg,EGLE to WWTP Oper.,NPDES Submittal Docs,"11/7/2019 12:00:00 AM",8332496224645746748,WRD - NPDES,Application/Request,HNT-5SPH-XVKKZ,Schedule - Biosolids Annual Report
"https://mienviro.michigan.gov/ncore/downloadpdf/-9149089842875174068",FY19 Biosolids Lab data Sheet-June.pdf,came w/ em from WWTP,NPDES Submittal Docs,"3/30/2020 12:00:00 AM",-9149089842875174068,WRD - NPDES,Application/Request,HNX-E8Q7-TQ4BF,Schedule - Biosolids Residuals Management Program (RMP) Submittal or Modification
"https://mienviro.michigan.gov/ncore/downloadpdf/-8976390437726751257",3-19 Sludge Data.pdf,came w/ em from WWTP,NPDES Submittal Docs,"3/30/2020 12:00:00 AM",-8976390437726751257,WRD - NPDES,Application/Request,HNX-E8Q7-TQ4BF,Schedule - Biosolids Residuals Management Program (RMP) Submittal or Modification
"https://mienviro.michigan.gov/ncore/downloadpdf/-2865070882730237278",4-19 Sludge Data.pdf,came w/ em from WWTP,NPDES Submittal Docs,"3/30/2020 12:00:00 AM",-2865070882730237278,WRD - NPDES,Application/Request,HNX-E8Q7-TQ4BF,Schedule - Biosolids Residuals Management Program (RMP) Submittal or Modification
"https://mienviro.michigan.gov/ncore/downloadpdf/-2375101511519353358",TVS Sludge data with June 2019.xlsx,came w/ em from WWTP,NPDES Submittal Docs,"3/30/2020 12:00:00 AM",-2375101511519353358,WRD - NPDES,Application/Request,HNX-E8Q7-TQ4BF,Schedule - Biosolids Residuals Management Program (RMP) Submittal or Modification
"https://mienviro.michigan.gov/ncore/downloadpdf/-640586683954684380",EM-RMP Sludge Data - 38 percent vol sol reduc info.msg,from WWTP,NPDES Submittal Docs,"3/30/2020 12:00:00 AM",-640586683954684380,WRD - NPDES,Application/Request,HNX-E8Q7-TQ4BF,Schedule - Biosolids Residuals Management Program (RMP) Submittal or Modification
"https://mienviro.michigan.gov/ncore/downloadpdf/-8226255631460587730",TVS Sludge-Temp data for 2018 and 2019.xlsx,came w/ em from WWTP,NPDES Submittal Docs,"4/3/2020 12:00:00 AM",-8226255631460587730,WRD - NPDES,Application/Request,HNX-E8Q7-TQ4BF,Schedule - Biosolids Residuals Management Program (RMP) Submittal or Modification
