DocMgmtDocurl,DocMgmtDocName,DocMgmtDocDescr,DocMgmtCategory,DocMgmtDocRvcdCreatedDate,DocMgmtDocMgmtId,DocMgmtSourceprogramarea,DocMgmtSourcefunctionalarea,DocMgmtSourcenumber,DocMgmtSourcetype
"https://mienviro.michigan.gov/ncore/downloadpdf/-1598855405513453416",EM-RMP Question and Answer.msg,EGLE responds,Misc. Submittal Docs,"10/14/2019 12:00:00 AM",-1598855405513453416,WRD - NPDES,Application/Request,HNX-E8Q7-TQ4BF,Schedule - Biosolids Residuals Management Program (RMP) Submittal or Modification
"https://mienviro.michigan.gov/ncore/downloadpdf/160565945375433856",EM-RMP Question.msg,WWTP to EGLE,Misc. Submittal Docs,"10/14/2019 12:00:00 AM",160565945375433856,WRD - NPDES,Application/Request,HNX-E8Q7-TQ4BF,Schedule - Biosolids Residuals Management Program (RMP) Submittal or Modification
"https://mienviro.michigan.gov/ncore/downloadpdf/7284317847182220886",Phone Log 10-24-2019.pdf,EGLE & WWTP discussion,Misc. Submittal Docs,"10/24/2019 12:00:00 AM",7284317847182220886,WRD - NPDES,Application/Request,HNX-E8Q7-TQ4BF,Schedule - Biosolids Residuals Management Program (RMP) Submittal or Modification
"https://mienviro.michigan.gov/ncore/downloadpdf/-9022831803921967807",EM-RMP modifications - Scheduled Report now in Miwaters.msg,EGLE to WWTP,Misc. Submittal Docs,"11/19/2019 12:00:00 AM",-9022831803921967807,WRD - NPDES,Application/Request,HNX-E8Q7-TQ4BF,Schedule - Biosolids Residuals Management Program (RMP) Submittal or Modification
"https://mienviro.michigan.gov/ncore/downloadpdf/-1004089419836381226",EM-RMP Modification Applic submitted to Donal Brady.msg,EGLE to EGLE,Misc. Submittal Docs,"2/11/2020 12:00:00 AM",-1004089419836381226,WRD - NPDES,Application/Request,HNX-E8Q7-TQ4BF,Schedule - Biosolids Residuals Management Program (RMP) Submittal or Modification
"https://mienviro.michigan.gov/ncore/downloadpdf/6260115591376493978",EM-RMP Mod Applic submitted.msg,WWTP to EGLE,Misc. Submittal Docs,"2/11/2020 12:00:00 AM",6260115591376493978,WRD - NPDES,Application/Request,HNX-E8Q7-TQ4BF,Schedule - Biosolids Residuals Management Program (RMP) Submittal or Modification
"https://mienviro.michigan.gov/ncore/downloadpdf/531947349630284964",EM-raw sludge data - excel spreadsheet - do you have.......msg,EGLE to WWTP,Misc. Submittal Docs,"4/1/2020 12:00:00 AM",531947349630284964,WRD - NPDES,Application/Request,HNX-E8Q7-TQ4BF,Schedule - Biosolids Residuals Management Program (RMP) Submittal or Modification
"https://mienviro.michigan.gov/ncore/downloadpdf/-2960176964360922578",EM-raw sludge data - excel spreadsheet - June 2019 attached.msg,from WWTP,Misc. Submittal Docs,"4/2/2020 12:00:00 AM",-2960176964360922578,WRD - NPDES,Application/Request,HNX-E8Q7-TQ4BF,Schedule - Biosolids Residuals Management Program (RMP) Submittal or Modification
"https://mienviro.michigan.gov/ncore/downloadpdf/-2306083742306536230",Map of WWTP-plus....pdf,EGLE info to help w/ RMP Mod review,Misc. Submittal Docs,"4/2/2020 12:00:00 AM",-2306083742306536230,WRD - NPDES,Application/Request,HNX-E8Q7-TQ4BF,Schedule - Biosolids Residuals Management Program (RMP) Submittal or Modification
"https://mienviro.michigan.gov/ncore/downloadpdf/6333816970892467646",TVS Sludge-Temp data Mar-Apr-June 2019.xlsx,came w/ em from WWTP,Misc. Submittal Docs,"4/2/2020 12:00:00 AM",6333816970892467646,WRD - NPDES,Application/Request,HNX-E8Q7-TQ4BF,Schedule - Biosolids Residuals Management Program (RMP) Submittal or Modification
