DocMgmtDocurl,DocMgmtDocName,DocMgmtDocDescr,DocMgmtCategory,DocMgmtDocRvcdCreatedDate,DocMgmtDocMgmtId,DocMgmtSourceprogramarea,DocMgmtSourcefunctionalarea,DocMgmtSourcenumber,DocMgmtSourcetype
"https://mienviro.michigan.gov/ncore/downloadpdf/-4952532529280965728",RMP-Class A EQ-DEQ letter.pdf,Class A EQ letter.pdf; nForm Document; letter from Jim Johnson (DEQ) 2004;,Form Submission Attachments,"2/11/2020 12:00:00 AM",-4952532529280965728,WRD - NPDES,Application/Request,HNX-E8Q7-TQ4BF,Schedule - Biosolids Residuals Management Program (RMP) Submittal or Modification
"https://mienviro.michigan.gov/ncore/downloadpdf/-1059360609849530823",RMP Modification Request-July 2014.doc,Amend RMP.doc; nForm Document,Form Submission Attachments,"2/11/2020 12:00:00 AM",-1059360609849530823,WRD - NPDES,Application/Request,HNX-E8Q7-TQ4BF,Schedule - Biosolids Residuals Management Program (RMP) Submittal or Modification
"https://mienviro.michigan.gov/ncore/downloadpdf/8000300937872960374",FY20 RMP Mod Request Letter.doc,2020 RMP Amend.doc; nForm Document;,Form Submission Attachments,"2/11/2020 12:00:00 AM",8000300937872960374,WRD - NPDES,Application/Request,HNX-E8Q7-TQ4BF,Schedule - Biosolids Residuals Management Program (RMP) Submittal or Modification
"https://mienviro.michigan.gov/ncore/downloadpdf/-4707268831554083833","[Untitled].pdf",nForm Document,Form Submission Attachments,"3/24/2020 12:00:00 AM",-4707268831554083833,WRD - NPDES,Application/Request,HNY-0A3C-HVRY7,Schedule - Michigan Industrial Pretreatment Program (IPP) Annual Report
"https://mienviro.michigan.gov/ncore/downloadpdf/1611229033523596445",POTW_Monitoring_Data_Summary 2019.xlsx,nForm Document,Form Submission Attachments,"3/24/2020 12:00:00 AM",1611229033523596445,WRD - NPDES,Application/Request,HNY-0A3C-HVRY7,Schedule - Michigan Industrial Pretreatment Program (IPP) Annual Report
"https://mienviro.michigan.gov/ncore/downloadpdf/4473589058410684374",POTW_Oversight_Table 2019.xlsx,nForm Document,Form Submission Attachments,"3/24/2020 12:00:00 AM",4473589058410684374,WRD - NPDES,Application/Request,HNY-0A3C-HVRY7,Schedule - Michigan Industrial Pretreatment Program (IPP) Annual Report
"https://mienviro.michigan.gov/ncore/downloadpdf/7404543692145492921",SIU-CIU_List.xlsx,nForm Document,Form Submission Attachments,"3/24/2020 12:00:00 AM",7404543692145492921,WRD - NPDES,Application/Request,HNY-0A3C-HVRY7,Schedule - Michigan Industrial Pretreatment Program (IPP) Annual Report
"https://mienviro.michigan.gov/ncore/downloadpdf/-621303826784066175",UPDATED Cadillac Waste Water AMP - NPDES permit report document 2020.docx,Submital Attachments,Form Submission Attachments,"7/31/2020 12:00:00 AM",-621303826784066175,WRD - NPDES,Application/Request,HP1-NF8B-MDEG6,Schedule - Asset Management Annual Report
"https://mienviro.michigan.gov/ncore/downloadpdf/-7995792267920570600",FY20 Digestor Sludge Temps-Fall 2019.pdf,Vector attraction reduction documentation; Fall 19 Sludge Temps.pdf; Sept. thru Nov. 2019-Digestor sludge temps;,Form Submission Attachments,"10/30/2020 12:00:00 AM",-7995792267920570600,WRD - NPDES,Application/Request,HP3-HWDR-V8Y73,Schedule - Biosolids Annual Report
"https://mienviro.michigan.gov/ncore/downloadpdf/-7181669812693631837",FY20 Land Appl Site Listing-Dry Tonnage Info.pdf,Raw Data Worksheet.pdf; 8 sites used; DT Info and LA dates;,Form Submission Attachments,"10/30/2020 12:00:00 AM",-7181669812693631837,WRD - NPDES,Application/Request,HP3-HWDR-V8Y73,Schedule - Biosolids Annual Report
"https://mienviro.michigan.gov/ncore/downloadpdf/-6228740327260048235",FY20 Applier Certification- VAR.pdf,Vector attraction reduction documentation; Vector Attraction Reduction.pdf;,Form Submission Attachments,"10/30/2020 12:00:00 AM",-6228740327260048235,WRD - NPDES,Application/Request,HP3-HWDR-V8Y73,Schedule - Biosolids Annual Report
"https://mienviro.michigan.gov/ncore/downloadpdf/-3595321980453110117",FY20 Applier Certification-Management Practices.pdf,Management Practice Certification; Management Practices.pdf;,Form Submission Attachments,"10/30/2020 12:00:00 AM",-3595321980453110117,WRD - NPDES,Application/Request,HP3-HWDR-V8Y73,Schedule - Biosolids Annual Report
"https://mienviro.michigan.gov/ncore/downloadpdf/-3061208309596263741",FY20 Digestor Sludge Temps-Spring 2020.pdf,"Spring 20 Sludge Temps.pdf; Spring Sludge temps, includes:  Mar. - May 2020;",Form Submission Attachments,"10/30/2020 12:00:00 AM",-3061208309596263741,WRD - NPDES,Application/Request,HP3-HWDR-V8Y73,Schedule - Biosolids Annual Report
"https://mienviro.michigan.gov/ncore/downloadpdf/-2356150972183489066",FY20 Pathogen Results-Mar 2020.pdf,Upload Actual Analytical Laboratory Data; HML Results.pdf; collected March 2020;,Form Submission Attachments,"10/30/2020 12:00:00 AM",-2356150972183489066,WRD - NPDES,Application/Request,HP3-HWDR-V8Y73,Schedule - Biosolids Annual Report
"https://mienviro.michigan.gov/ncore/downloadpdf/-1878291943815829193",FY20 Metals-Nutrient-VOC Results-March 2020.pdf,"Spring 2020 Pace.pdf; collected Mar. 30, 2020;",Form Submission Attachments,"10/30/2020 12:00:00 AM",-1878291943815829193,WRD - NPDES,Application/Request,HP3-HWDR-V8Y73,Schedule - Biosolids Annual Report
"https://mienviro.michigan.gov/ncore/downloadpdf/-1820768598297398743",FY20 Metals-Nutrient Results-Sept 2019.pdf,Upload Actual Analytical Laboratory Data; Pace Lab Fall Biosolids 2019.pdf;,Form Submission Attachments,"10/30/2020 12:00:00 AM",-1820768598297398743,WRD - NPDES,Application/Request,HP3-HWDR-V8Y73,Schedule - Biosolids Annual Report
"https://mienviro.michigan.gov/ncore/downloadpdf/-1465774990016543863",FY20 Land Appl Sites Listed-Info.pdf,"Site ID Info.pdf; 7 sites total, DTs, acreage used, applic. rates, total DTs",Form Submission Attachments,"10/30/2020 12:00:00 AM",-1465774990016543863,WRD - NPDES,Application/Request,HP3-HWDR-V8Y73,Schedule - Biosolids Annual Report
"https://mienviro.michigan.gov/ncore/downloadpdf/-1421922713361138980",FY20 Lab Log-Solids and DTs-Spring 2020.pdf,Upload Actual Analytical Laboratory Data; Spring 20 Lab Data.pdf; Solids/TVS/DTs;,Form Submission Attachments,"10/30/2020 12:00:00 AM",-1421922713361138980,WRD - NPDES,Application/Request,HP3-HWDR-V8Y73,Schedule - Biosolids Annual Report
