DocMgmtDocurl,DocMgmtDocName,DocMgmtDocDescr,DocMgmtCategory,DocMgmtDocRvcdCreatedDate,DocMgmtDocMgmtId,DocMgmtSourceprogramarea,DocMgmtSourcefunctionalarea,DocMgmtSourcenumber,DocMgmtSourcetype
"https://mienviro.michigan.gov/ncore/downloadpdf/-3489435999352372800",2021-09-30 VN-012230 Cadillac WWTP.pdf,,"Water Quality VNs, SVNs, ENs","9/30/2021 12:00:00 AM",-3489435999352372800,WRD - NPDES,Compliance Action,VN-012230,Violation Notice
"https://mienviro.michigan.gov/ncore/downloadpdf/-6888435979687265980",2021-11-04 Follow-up to VN-012230 Extension Request - City of Cadillac.pdf,,"Water Quality VNs, SVNs, ENs","11/4/2021 12:00:00 AM",-6888435979687265980,WRD - NPDES,Compliance Action,VN-012230,Violation Notice
"https://mienviro.michigan.gov/ncore/downloadpdf/7533708642884943679",Read Receipt for VN-012230.pdf,,"Water Quality VNs, SVNs, ENs","11/4/2021 12:00:00 AM",7533708642884943679,WRD - NPDES,Compliance Action,VN-012230,Violation Notice
"https://mienviro.michigan.gov/ncore/downloadpdf/-2349539817018783904",2023-04-27 SVN-01351 Cadillac WWTP.pdf,,"Water Quality VNs, SVNs, ENs","4/27/2023 12:00:00 AM",-2349539817018783904,WRD - NPDES,Compliance Action,SVN-01351,Second Violation Notice
"https://mienviro.michigan.gov/ncore/downloadpdf/3372222984602268546",2023-6-12 RE_ Cadillac IPP follow up.msg,Email to City of Cadillac and consultant regarding failure to submit expected response/,"Water Quality VNs, SVNs, ENs","6/12/2023 12:00:00 AM",3372222984602268546,WRD - NPDES,Compliance Action,VN-012230,Violation Notice
"https://mienviro.michigan.gov/ncore/downloadpdf/2890800664751381439",2024-01-22 Follow-up to VN-012230 IPP Procedures Manual Mod - City of Cadillac.pdf,,"Water Quality VNs, SVNs, ENs","1/22/2024 12:00:00 AM",2890800664751381439,WRD - NPDES,Compliance Action,VN-012230,Violation Notice
"https://mienviro.michigan.gov/ncore/downloadpdf/-1102905466883927159",2025-10-13 Follow-up to VN-012230.pdf,,"Water Quality VNs, SVNs, ENs","10/13/2025 12:00:00 AM",-1102905466883927159,WRD - NPDES,Compliance Action,VN-012230,Violation Notice
"https://mienviro.michigan.gov/ncore/downloadpdf/-1834643150412972249",EGLE WRD Correspondence_  SVN-01952_Cadillac WWTP_COPY.msg,Email transmission of SVN-01952,"Water Quality VNs, SVNs, ENs","5/22/2026 12:00:00 AM",-1834643150412972249,WRD - NPDES,Compliance Action,SVN-01952,Second Violation Notice
"https://mienviro.michigan.gov/ncore/downloadpdf/-4934400107452369809",Violation Notice (VN 019184) Cadillac WWTP.docx,,"Water Quality VNs, SVNs, ENs","5/27/2026 12:00:00 AM",-4934400107452369809,WRD - NPDES,Compliance Action,VN-019184,Violation Notice
"https://mienviro.michigan.gov/ncore/downloadpdf/-1595657276095531899",EGLE FILE Violation Notice - VN No_ VN-019184.msg,,"Water Quality VNs, SVNs, ENs","6/10/2026 12:00:00 AM",-1595657276095531899,WRD - NPDES,Compliance Action,VN-019184,Violation Notice
