Document Date,Year,Document Name,Description,Document Class,Priority,Legacy / Hidden Retrieval Flags,MiEnviro Category,Program Area,Functional Area,Source Number,Source Type,Document Mgmt ID,MiEnviro Deep Link,Review / Recovery Status
2010-07-28,2010,2010_0728_Cadillac WWTP_DMR QA-30.pdf,District Scanned,Site / Miscellaneous,Routine,Site 15637 / Site record; District scanned composite,NPDES Misc. Site Docs,,Site,15637,Site,-6937581027589815058,https://mienviro.michigan.gov/ncore/downloadpdf/-6937581027589815058,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2010-09-30,2010,Sampling Field Sheet.doc,Sampling Field Sheet,Inspection / Evaluation,High,Conversion - Eval; Evaluation E-3F12-26-C65D,Conversion - Eval,WRD - NPDES,Evaluation,E-3F12-26-C65D,CSI-Conventionals Only (02/03/2011),-2564720546653195197,https://mienviro.michigan.gov/ncore/downloadpdf/-2564720546653195197,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2011-02-04,2011,Cadillac WWTP BOD (1).xls,,Inspection / Evaluation,High,Conversion - Application / Request; Evaluation E-3F12-26-C65D,Conversion - Application / Request,WRD - NPDES,Evaluation,E-3F12-26-C65D,CSI-Conventionals Only (02/03/2011),5999969830429433107,https://mienviro.michigan.gov/ncore/downloadpdf/5999969830429433107,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2011-02-04,2011,Cadillac WWTP BOD (2).pdf,,Inspection / Evaluation,High,Conversion - Application / Request; Evaluation E-3F12-26-C65D,Conversion - Application / Request,WRD - NPDES,Evaluation,E-3F12-26-C65D,CSI-Conventionals Only (02/03/2011),6336071071605205117,https://mienviro.michigan.gov/ncore/downloadpdf/6336071071605205117,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2011-02-04,2011,Cadillac WWTP BOD.pdf,,Inspection / Evaluation,High,Conversion - Application / Request; Evaluation E-3F12-26-C65D,Conversion - Application / Request,WRD - NPDES,Evaluation,E-3F12-26-C65D,CSI-Conventionals Only (02/03/2011),4014902657079641517,https://mienviro.michigan.gov/ncore/downloadpdf/4014902657079641517,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2011-02-15,2011,CadillacWWTP lab.PDF,,Inspection / Evaluation,High,Conversion - Application / Request; Evaluation E-3F12-26-C65D,Conversion - Application / Request,WRD - NPDES,Evaluation,E-3F12-26-C65D,CSI-Conventionals Only (02/03/2011),-438405291240013169,https://mienviro.michigan.gov/ncore/downloadpdf/-438405291240013169,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2011-02-15,2011,DEQ-Laboratory Report-CDWWTP.txt,,Inspection / Evaluation,High,Conversion - Application / Request; Evaluation E-3F12-26-C65D,Conversion - Application / Request,WRD - NPDES,Evaluation,E-3F12-26-C65D,CSI-Conventionals Only (02/03/2011),-6709596324584446127,https://mienviro.michigan.gov/ncore/downloadpdf/-6709596324584446127,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2011-03-09,2011,Cadillac WWTP 0111.xls,,Inspection / Evaluation,High,Conversion - Application / Request; Evaluation E-3F12-26-C65D,Conversion - Application / Request,WRD - NPDES,Evaluation,E-3F12-26-C65D,CSI-Conventionals Only (02/03/2011),8226216266026071417,https://mienviro.michigan.gov/ncore/downloadpdf/8226216266026071417,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2011-03-09,2011,Follow-up Letter.doc,Follow-up Letter,Inspection / Evaluation,High,Conversion - Eval; Evaluation E-3F12-26-C65D,Conversion - Eval,WRD - NPDES,Evaluation,E-3F12-26-C65D,CSI-Conventionals Only (02/03/2011),1255616733456315107,https://mienviro.michigan.gov/ncore/downloadpdf/1255616733456315107,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2011-04-29,2011,CA Cadillac WWTP IPP Annual Report 2010.pdf,,Industrial Pretreatment / IPP,High,Conversion - Permit,Conversion - Permit,WRD - NPDES,Application/Request,ce_soc_detail-25457,Schedule - Michigan Industrial Pretreatment Program Annual Report,6066649281144654349,https://mienviro.michigan.gov/ncore/downloadpdf/6066649281144654349,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2011-08-05,2011,2011_0805_Cadillac WWTP_DMR QA-31.pdf,District Scanned,Site / Miscellaneous,Routine,Site 15637 / Site record; District scanned composite,NPDES Misc. Site Docs,,Site,15637,Site,9070706673294423682,https://mienviro.michigan.gov/ncore/downloadpdf/9070706673294423682,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2012-01-18,2012,Cadillac WWTP Must Apply Letter.pdf,,Site / Miscellaneous,Routine,Conversion - SITE; Site 15637 / Site record,Conversion - SITE,,Site,15637,Site,-8849600511584876014,https://mienviro.michigan.gov/ncore/downloadpdf/-8849600511584876014,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2012-03-26,2012,Cadillac WWTP Application.pdf,,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-7021570928602701902,https://mienviro.michigan.gov/ncore/downloadpdf/-7021570928602701902,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2012-03-26,2012,Cadillac WWTP Fish Toxicity Tests.pdf,,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-6207937354821693834,https://mienviro.michigan.gov/ncore/downloadpdf/-6207937354821693834,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2012-03-26,2012,Cadillac WWTP Maps and Flow.pdf,,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-2618602197135988934,https://mienviro.michigan.gov/ncore/downloadpdf/-2618602197135988934,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2012-03-26,2012,Cadillac WWTP Mercury Tests.pdf,,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-4772999631657362957,https://mienviro.michigan.gov/ncore/downloadpdf/-4772999631657362957,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2012-03-26,2012,Cadillac WWTP SIU Information.pdf,,Industrial Pretreatment / IPP,Critical,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,2606761043345214758,https://mienviro.michigan.gov/ncore/downloadpdf/2606761043345214758,2012 Cadillac WWTP SIU Information previously verified top-to-bottom; deep link indexed
2012-03-26,2012,Cadillac WWTP Septage Information.pdf,,Compliance / Enforcement,Critical,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-605910068122278034,https://mienviro.michigan.gov/ncore/downloadpdf/-605910068122278034,2012 Cadillac WWTP Septage Information previously visually verified; deep link indexed
2012-03-26,2012,Cadillac WWTP Test Results.pdf,,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,4716295422139915510,https://mienviro.michigan.gov/ncore/downloadpdf/4716295422139915510,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2012-04-11,2012,Cadillac WWTP NEC.pdf,,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,2907549657209812738,https://mienviro.michigan.gov/ncore/downloadpdf/2907549657209812738,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2012-08-17,2012,2012_0817_Cadillac WWTP_DMR QA-32.pdf,District Scanned,Site / Miscellaneous,Routine,Site 15637 / Site record; District scanned composite,NPDES Misc. Site Docs,,Site,15637,Site,-2140745704635662606,https://mienviro.michigan.gov/ncore/downloadpdf/-2140745704635662606,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2012-11-09,2012,WQBEL Memo - Conventionals.doc,WQBEL Memo - Conventionals,Permit / Application,Medium,Conversion - Permit; Legacy permit version MI0020257 v5.0,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-2587941060086653778,https://mienviro.michigan.gov/ncore/downloadpdf/-2587941060086653778,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-03-09,2013,Application Complete Checklist.doc,Application Complete Checklist,Permit / Application,Medium,Conversion - Permit; Legacy permit version MI0020257 v5.0,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-750857842152552655,https://mienviro.michigan.gov/ncore/downloadpdf/-750857842152552655,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-04-18,2013,WQBEL Memo - Toxics.doc,WQBEL Memo - Toxics,Permit / Application,Medium,Conversion - Permit; Legacy permit version MI0020257 v5.0,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-8853155827505618463,https://mienviro.michigan.gov/ncore/downloadpdf/-8853155827505618463,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-05-02,2013,CadillacWWTP_FS.pdf,WQBEL Toxics Recommendations Fact Sheet,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,8407029926974047625,https://mienviro.michigan.gov/ncore/downloadpdf/8407029926974047625,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-05-17,2013,Application Compliance Comments.doc,Application Compliance Comments,Compliance / Enforcement,High,Conversion - Permit; Legacy permit version MI0020257 v5.0,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-4758370497540417923,https://mienviro.michigan.gov/ncore/downloadpdf/-4758370497540417923,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-05-20,2013,Permit Template - Municipal.doc,Permit Template - Municipal,Permit / Application,Medium,Conversion - Permit; Legacy permit version MI0020257 v5.0,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,8273775742265584790,https://mienviro.michigan.gov/ncore/downloadpdf/8273775742265584790,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-05-21,2013,Fact Sheet.doc,Fact Sheet,Permit / Application,Medium,Conversion - Permit; Legacy permit version MI0020257 v5.0,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,103605179192073784,https://mienviro.michigan.gov/ncore/downloadpdf/103605179192073784,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-05-22,2013,Basis for Decision Memo.doc,Basis for Decision Memo,Permit / Application,Medium,Conversion - Permit; Legacy permit version MI0020257 v5.0,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,6383819432886238526,https://mienviro.michigan.gov/ncore/downloadpdf/6383819432886238526,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-05-23,2013,Issued Letter - Individual Permit.doc,Issued Letter - Individual Permit,Permit / Application,Medium,Conversion - Permit; Legacy permit version MI0020257 v5.0,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,4068333476844843234,https://mienviro.michigan.gov/ncore/downloadpdf/4068333476844843234,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-05-23,2013,Pre-Public Notice Letter.doc,Pre-Public Notice Letter,Compliance / Enforcement,High,Conversion - Permit; Legacy permit version MI0020257 v5.0,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-3570540961383078534,https://mienviro.michigan.gov/ncore/downloadpdf/-3570540961383078534,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-05-23,2013,Public Notice Document.doc,Public Notice Document,Permit / Application,Medium,Conversion - Permit; Legacy permit version MI0020257 v5.0,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,2042187794808505003,https://mienviro.michigan.gov/ncore/downloadpdf/2042187794808505003,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-06-07,2013,Cadillac WWTP IPP 2011.pdf,,Industrial Pretreatment / IPP,High,Conversion - Permit,Conversion - Permit,WRD - NPDES,Application/Request,ce_soc_detail-25458,Schedule - Michigan Industrial Pretreatment Program Annual Report,7597357992452969174,https://mienviro.michigan.gov/ncore/downloadpdf/7597357992452969174,Cadillac WWTP IPP 2011 (50 pp) previously reviewed; deep link indexed
2013-07-17,2013,Cadillac PPN Email.pdf,,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,691496640525586540,https://mienviro.michigan.gov/ncore/downloadpdf/691496640525586540,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-07-17,2013,Cadillac WWTP Draft Permit.pdf,PPN Permit,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,6433966495781532147,https://mienviro.michigan.gov/ncore/downloadpdf/6433966495781532147,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-08-08,2013,CadillacWWTP_ToxicsFactSheet.pdf,Updated WQBEL Toxics Recommendations Fact Sheet,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-7691202997137362379,https://mienviro.michigan.gov/ncore/downloadpdf/-7691202997137362379,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-08-08,2013,General Purpose Memo.doc,General Purpose Memo,Permit / Application,Medium,Conversion - Permit; Legacy permit version MI0020257 v5.0,Conversion - Permit,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-5476792548719461782,https://mienviro.michigan.gov/ncore/downloadpdf/-5476792548719461782,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-08-14,2013,2013_0814_Cadillac WWTP_DMR QA-33.pdf,District Scanned,Site / Miscellaneous,Routine,Site 15637 / Site record; District scanned composite,NPDES Misc. Site Docs,,Site,15637,Site,4611196213415728235,https://mienviro.michigan.gov/ncore/downloadpdf/4611196213415728235,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-08-16,2013,Cadillac WWTP Basis for Decision Memo.pdf,Version as public noticed,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-7391325481454595778,https://mienviro.michigan.gov/ncore/downloadpdf/-7391325481454595778,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-08-16,2013,Cadillac WWTP PPN Comments.pdf,,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,4017018463330352813,https://mienviro.michigan.gov/ncore/downloadpdf/4017018463330352813,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-08-16,2013,Cadillac WWTP PPN Email Exchange 2.pdf,,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-8309188111481449431,https://mienviro.michigan.gov/ncore/downloadpdf/-8309188111481449431,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-08-16,2013,Cadillac WWTP PPN Email Exchange.pdf,,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-2888412398541189349,https://mienviro.michigan.gov/ncore/downloadpdf/-2888412398541189349,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-08-16,2013,Cadillac WWTP Public Notice Draft Permit.pdf,,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-3380254261609336174,https://mienviro.michigan.gov/ncore/downloadpdf/-3380254261609336174,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-08-16,2013,Cadillac WWTP Public Notice Email.pdf,,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,7362722464259672092,https://mienviro.michigan.gov/ncore/downloadpdf/7362722464259672092,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
