file,page,category,context
2011-02-15__-438405291240013169__CadillacWWTP lab.PDF.pdf,3,effluent_exceedance,lt and RL are estimated due to initial calibration standard criteria failure. H Recommended laboratory holding time was exceeded. I Dilution required due to matrix interference; reporting limit (RL) raised. J Analyte was positively identified. Value is an estimate. JA Result is estimated due to multiple Aroclors present. JC Result is estimated since confirmation an
2011-03-09__8226216266026071417__Cadillac WWTP 0111.xls.pdf,1,pfas,"VISION POINT SOURCE MONITORING Report of a Municipal Wastewater Survey Conducted at Cadillac WWTP NPDES No. MI0020257 Wexford County Cadillac, MI January 24, 2011 SURVEY SUMMARY The results of the physical, chemical and bacteriological analyses are presented in Tables 1 & 2. There is no Table 3 in this report. Wastewater monitoring was performed during one twen"
2011-03-09__8226216266026071417__Cadillac WWTP 0111.xls.pdf,9,effluent_exceedance,"- Analyte value quantified from a dilution(s); reporting limit (RL) raised. H - Recommended laboratory holding time was exceeded. J - Result was detected between MDL and RL and is considered estimated. ND - Not detected. Survey by: Chris C. Little, Water Quality Technician Contact with Management: Amy Vail Laboratory Analyses by: Michigan Dep"
2011-04-29__6066649281144654349__CA Cadillac WWTP IPP Annual Report 2010.pdf.pdf,21,pfas,"NDRY PERCHLOR.SOAP'S 1] INSPECT 182 LAKE CITY REDIMIX 510 FIFTH ST. CONCRETE PRODUCTS DEGREASERS,SOLVEN [1] INSPECT 183 WEXFORD DPW - LANDFILL 3161 S.LK. MITCHELL JOHN DEVISSO LANDFILL LEACHATE BOD, SS, AMMONIA 1IIl_590-13 31-Dec-10 INSPECT YES 184 WEX.COUNTY SHERIFF 820 CARMEL ST. RICHARD DEVIEW JAIL | 186 FIRST GLASS LLC 500 N. MITCHELL, GLASS SHOP I | ee —— i"
2011-04-29__6066649281144654349__CA Cadillac WWTP IPP Annual Report 2010.pdf.pdf,42,pretreatment,| I | EN — Cr J —] — <ii <a <od <u] soos <04 Bled stb ss E— <5. EN SS A ha 1 J J S— En 1 eB Ff EE 2 ar —— — BET J PNET SNC EFC. ; — FR rr | | I I <0 <a <8 <7 08. Fi EE — — Fp ee St me ttt mn mn — = rr ——— — | | i 3 i 1 —] EE — IN EN A A 1 I ——+ EE
2011-08-05__9070706673294423682__2011_0805_Cadillac WWTP_DMR QA-31.pdf.pdf,1,enforcement,"antat Protection Washington, DC 20460 Laboratory DMR-QA Evaluation Study 31 Laboratory Performance Evaluation Office of Enforcement and Compliance Assurance (These data are collected under the authority of the Federal Water Pollution Control Act) — State NPDES Permit No. Permit Extension adllac (Tl [pz loopoas zl [| Identification of all CHEM, MICRO and WET laboratorie"
2011-08-05__9070706673294423682__2011_0805_Cadillac WWTP_DMR QA-31.pdf.pdf,2,enforcement,"qome! Protection Washington, DC 20460 Laboratory DMR-QA Evaluation Study 31 Laboratory Performance Evaluation Office of Enforcement and Compliance Assurance {These data are collected under the authority of the Federal Water Pollution Control Act.) NPDES Permittee Data Report Form Due Aug ust Attention: Follow the instructions on the previous State NPDES Permit Permit E"
2012-03-26__-4772999631657362957__Cadillac WWTP Mercury Tests.pdf.pdf,1,effluent_exceedance,"tated ""under the ""Comments"" heading, all tests were performed within the maximum - allowable holding times, have met or exceeded QC requirements and the result © represents the sample as it was received. If a sample was identified as drinking . water under the Safe Drinking Water Act, the ""Comments"" column may also - contain federal drinking water information includ"
2012-03-26__-4772999631657362957__Cadillac WWTP Mercury Tests.pdf.pdf,3,effluent_exceedance,"tated ""under the ""Comments"" heading, all tests were performed within the maximum . allowable holding times, have met or exceeded QC requirements and the result © represents the sample as it was received. If a sample was identified as drinking . water under the Safe Drinking Water Act, the ""Comments"" column may also . contain federal drinking water information includ"
2012-03-26__-4772999631657362957__Cadillac WWTP Mercury Tests.pdf.pdf,5,effluent_exceedance,"ated _ under the ""Comments"" heading, all tests were performed within the maximum - allowable holding times, have met or exceeded QC requirements and the result © represents the sample as it was received. If a sample was identified as drinking . water under the Safe Drinking Water Act, the ""Comments"" column may also - contain federal drinking water information includ"
