Entity or alternate name,Exact legal name,Entity type,DBA or assumed name,Former name,"Parent, subsidiary, or affiliate",Relationship to the landfill,"Owner, member, manager, officer, or registered agent",Associated address,Associated parcel,Facility or site ID,Permit or license number,First date found,Last date found,Supporting document,Supporting page number,Official source URL,Evidence supporting the relationship,Confidence level,Notes
"Wexford County Landfill, LLC","Wexford County Landfill, LLC",Michigan limited liability company,,,Subsidiary within American Waste/GFL group,Current legal site name; private owner/operator; permittee; facility and property owner,Edward (Eddie) Ascione - member (2012) and president/responsible official (2017); Steve Kniss - general manager/operator contact; Vicki Garon - engineer/financial and facility contact,"990 N US Highway 131 / 990 Mackinaw Trail, Manton, MI 49663; mailing: 3947 N US 131, P.O. Box 1030, Kalkaska, MI 49646","194.98-acre restrictive covenant, Liber 640 pp. 659-664; permit describes 196.40 acres in W 1/2 Sec. 34 and E 1/2 Sec. 33, T23N R9W",WDS 470336; Site ID MIK363495375; Air SRN N3862,Construction Permit 4127; Operating License 9758; MI-ROP-N3862-2022,2011-09-30,2026-04-28,EGLE facility profile; 2012 construction permit; 2024 operating license; WDS site/contact pages,Profile; permit PDF p.1; license PDF pp.3-4; WDS web records,https://www.michigan.gov/egle/about/organization/materials-management/solid-waste/solid-waste-disposal-areas/landfill/470336,"EGLE lists this as the legal and specific site name. Permit 4127 identifies it as permittee, facility owner, property owner, and responsible operator. WDS shows private owner/operator active 2011-09-30.",High,"The 2024 license contains a conflicting shortened name, separately recorded below as an apparent document error."
"WEXFORD COUNTY LANDFILL, LLC","Wexford County Landfill, LLC",Capitalization variant,,,Same entity,EGLE/WDS capitalization variant,See legal-name row,"990 Mackinaw Trail, Manton, MI 49663",Same as legal-name row,WDS 470336; MIK363495375,9758; 4127,2011-09-30,2026-04-28,EGLE facility profile and WDS site page,Web pages,https://www.deq.state.mi.us/wdspi/Site/Site.aspx?w=470336,WDS uses the all-capital spelling as the current legal and specific site name.,High,Exact capitalization variant; not a separate entity.
"Wexford County, LLC","Unverified - likely Wexford County Landfill, LLC",Apparent permit-name error,,,No distinct relationship established,Printed as licensee and facility name on 2024 operating license,,"990 Mackinaw Trail, Manton, MI 49663",Same facility,WDS 470336; MIK363495375,Operating License 9758,2024-11-19,2024-11-19,2024 EGLE operating license,PDF pp.3-4 (form pp.3-4 of 7),https://www.michigan.gov/-/media/Project/Websites/egle/Documents/Programs/MMD/Licenses/MMD/Solid-Waste/Wexford-County-Landfill.PDF?rev=ce152ff9f27745d8992546409f3343c4,"License header says 'Wexford County, LLC,' but item 7 says the application was submitted by and for Wexford County Landfill, LLC; EGLE profile also uses the longer legal name.",High (as discrepancy); Low (as separate entity),Manual review: ask EGLE whether the shortened name is a clerical error and whether a corrected license exists.
"Wexford County Landfill, LCC","Wexford County Landfill, LLC",WDS typographical variant,,,Same entity,WDS owner/operator record,,"990 Mackinaw Trail, Manton, MI 49663",Same facility,WDS 470336; MIK363495375,,2011-09-30,Current WDS page,WDS site/owner-operator page,Web record,https://www.deq.state.mi.us/wdspi/Site/Site.aspx?w=470336,"WDS owner/operator table spells the private entity 'LCC' and gives the same site, active date, owner status, and operator status.",High (as typo),Manual review: correct the WDS owner/operator spelling.
Wexford County Landfill,"County of Wexford / later Wexford County Landfill, LLC",Historic facility-specific name,,WEXFORD COUNTY LANDFILL,Historic facility name,Historic name for the landfill; also used in air records and reports,,"990 US 131 North / Mackinaw Trail, Manton, MI",Same facility,WDS 470336; Air SRN N3862,,Before 2002,2024-06-04,WDS specific-site-name history; EGLE air inspection,WDS web record; inspection PDF p.1,https://www.deq.state.mi.us/wdspi/Site/Site.aspx?w=470336,"WDS records WEXFORD COUNTY LANDFILL as a prior specific site name, inactive 2002-09-05; later reports continue the informal facility name.",High,"Name is a facility designation, not necessarily a separate legal entity."
WEXFORD COUNTY DPW,County of Wexford,Historic facility-specific name / county department,,WEXFORD COUNTY DPW,County of Wexford,Historic owner/operator and prior facility name,,"Historic addresses include 3061 S Lake Mitchell and 3161 S Lake Mitchell Drive, Cadillac, MI 49601",Same facility,WDS 470336,Construction Permit 4100,1970-01-01,2015-12-31,WDS site history; 2024 operating license; County DPW page,WDS web record; license PDF p.4,https://www.deq.state.mi.us/wdspi/Site/Site.aspx?w=470336,WDS lists COUNTY OF WEXFORD DPW as county owner/operator active from 1970 and WEXFORD COUNTY DPW as a prior specific site name. License 9758 says Permit 4100 was issued to Wexford County DPW in 2008.,High,County DPW officially closed 2015-12-31; WDS does not display an inactive date for its owner/operator row.
COUNTY OF WEXFORD DPW,County of Wexford,WDS owner/operator name variant,,,County of Wexford,Historic county owner/operator,,"437 E Division St, Cadillac, MI 49601 (current county address)",Same facility,WDS 470336,Construction Permit 4100,1970-01-01,2011-09-30,WDS site page; County audited financial statements,WDS web record; audit PDF p.63,https://www.deq.state.mi.us/wdspi/Site/Site.aspx?w=470336,WDS owner/operator table identifies this county organization as both owner and operator; County audit says the landfill was sold to a private entity on 2011-09-30.,High,"The sale date is used as the practical end of county operation, although WDS leaves the inactive field blank."
Wexford County Department of Public Works,County of Wexford,County department,,,County of Wexford,Historic landfill owner/operator; named defendant in older litigation,,"437 E Division St, Cadillac, MI 49601",Same facility,WDS 470336,Construction Permit 4100,1970-01-01,2015-12-31,County DPW page; Michigan court order,Web page; court PDF p.1,https://wexfordcounty.org/?page_id=466,County states its DPW closed on 2015-12-31. Court and permit records connect the department to the landfill.,High,Formal expanded name corresponding to WEXFORD COUNTY DPW / COUNTY OF WEXFORD DPW.
Wexford County,"County of Wexford, Michigan",Michigan county government,,County of Wexford,,Former landfill owner/operator; current party to 2007 remedial agreement and groundwater cleanup liability,County Board of Commissioners; County Treasurer administers landfill fund/financial matters,"437 E Division St, Cadillac, MI 49601",Historic landfill property and off-site remedial interests,WDS 470336,RAP-LANDUSE-WHMD-2007-A; Construction Permit 4100,1970-01-01,2026-01-29,2024 County audited financial statements; 2024 operating license; WDS QMR page,Audit PDF pp.63 and 69; license PDF pp.4 and 7,https://wexfordcounty.org/wp-content/uploads/2025/08/Wexford-County-12-31-24-AUD-FS-FINAL.pdf,County audit says the landfill was sold 2011-09-30 but groundwater-remediation obligations were not assumed by the purchaser and remain with the County. EGLE notes the RAP is monitored by Wexford County.,High,Current cleanup responsibility is distinct from current facility ownership/operation.
"County of Wexford, Michigan","County of Wexford, Michigan",Government-name variant,,Wexford County,,Same county government; audit/reporting name,,"437 E Division St, Cadillac, MI 49601",,,,2011-09-30,2024-12-31,County audited financial statements,"Audit cover and pp.63, 69",https://wexfordcounty.org/wp-content/uploads/2025/08/Wexford-County-12-31-24-AUD-FS-FINAL.pdf,Formal name used in audited financial statements documenting the 2011 sale and continuing remediation liability.,High,Not a separate entity from Wexford County.
