EvalRefProgramAreaDescr,EvalRefEvalTypeDescr,EvalEvalNum,EvalPrmtNum,EvalRefEvalCatgDescr,EvalStartDate,EvalSmplTransmtDate,SiteName
WRD - NPDES,Sampling Only (Toxics),E-PP960227970222,MI0020257,On-Site Inspection,"10/22/2025 12:00:00 AM","11/26/2025 12:00:00 AM",Cadillac WWTP
WRD - NPDES,NPDES Compliance Evaluation Inspection (CEI),E-PP139012015623,MI0020257,On-Site Inspection,"6/10/2025 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,Biosolids Audit,E-PP027995818650,MI0020257,On-Site Inspection,"4/29/2025 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,Biosolids Site Inspection,E-PN533182730332,MI0020257,On-Site Inspection,"4/29/2025 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,NPDES Recon,E-PN651347951074,MI0020257,On-Site Inspection,"4/10/2024 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,NPDES CSI-Conventionals Only,E-11682,MI0020257,On-Site Inspection,"7/10/2023 12:00:00 AM","9/29/2023 12:00:00 AM",Cadillac WWTP
WRD - NPDES,NPDES Compliance Evaluation Inspection (CEI),E-NCAY-4M8R-FG93,MI0020257,On-Site Inspection,"9/27/2022 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,Pretreatment Compliance Inspection,E-3H7H-JCYN-ZXB,MI0020257,On-Site Inspection,"8/18/2021 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,Industrial Pretreatment Prog Recon,E-W85T-N3NP-9HHF,MI0020257,On-Site Inspection,"9/25/2020 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,Industrial Pretreatment Prog Recon,E-WFGS-RWY-NG4,,On-Site Inspection,"9/24/2019 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,NPDES CSI-Conventionals Only,E-R7AN-XJE-F29,MI0020257,On-Site Inspection,"5/17/2018 12:00:00 AM","2/5/2019 12:00:00 AM",Cadillac WWTP
WRD - NPDES,Biosolids Audit,E-DHWW-FYB-ZBN,MI0020257,On-Site Inspection,"5/11/2018 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,NPDES Recon,E-9A27-E5-B564,MI0020257,On-Site Inspection,"7/13/2017 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,NPDES Recon,E-D322-3E-23B8,MI0020257,On-Site Inspection,"9/16/2016 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,NPDES Recon,E-DC36-B1-3957,,On-Site Inspection,"9/16/2016 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,Pretreatment Compliance Inspection,E-91D5-97-E7D2,MI0020257,On-Site Inspection,"5/14/2015 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,Biosolids Site Recon,E-DA73-5F-3482,MI0020257,On-Site Inspection,"5/7/2015 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,Biosolids Site Inspection,E-EBBF-48-4145,MI0020257,On-Site Inspection,"5/7/2015 12:00:00 AM",,Cadillac WWTP
WRD - NPDES,Biosolids Site Inspection,E-E1AC-67-52DA,MI0020257,On-Site Inspection,"12/18/2014 12:00:00 AM",,Cadillac WWTP
