"Created","Name","Description","Category","SystemId","Program","FunctionalArea","SourceNumber","SourceType","Url","LocalPath","DownloadStatus","Error"
"2021-01-25","Example-CPLR Site Notification Ltr - RH01.pdf","went along with EGLE email to WWTP Oper.","Misc Site Docs","-9182293101992928732","n/a","Site","15637","Site","https://mienviro.michigan.gov/ncore/downloadpdf/-9182293101992928732","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2021-01-25__-9182293101992928732__Example-CPLR Site Notification Ltr - RH01.pdf.pdf","Already downloaded",""
"2020-03-30","FY19 Biosolids Lab data Sheet-June.pdf","came w/ em from WWTP","NPDES Submittal Docs","-9149089842875174068","WRD - NPDES","Application/Request","HNX-E8Q7-TQ4BF","Schedule - Biosolids Residuals Management Program (RMP) Submittal or Modification","https://mienviro.michigan.gov/ncore/downloadpdf/-9149089842875174068","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2020-03-30__-9149089842875174068__FY19 Biosolids Lab data Sheet-June.pdf.pdf","Already downloaded",""
"2017-04-03","0P1-02 Process Flow.pdf v1","0P1-02 Process Flow.pdf","Applicant Attachments","-9090737734205945229","WRD - NPDES","Application/Request","2Q7-HQ21-P66B","Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance)","https://mienviro.michigan.gov/ncore/downloadpdf/-9090737734205945229","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2017-04-03__-9090737734205945229__0P1-02 Process Flow.pdf v1.pdf","Already downloaded",""
"2022-10-28","Cadillac 2022 Land Ap Certification.pdf","nForm Document","Form Submission Attachments","-9167866091439106840","WRD - NPDES","Application/Request","HPN-5DCS-H4WTR","Schedule - Biosolids Annual Report","https://mienviro.michigan.gov/ncore/downloadpdf/-9167866091439106840","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2022-10-28__-9167866091439106840__Cadillac 2022 Land Ap Certification.pdf.pdf","Already downloaded",""
"2026-03-25","25.05.22.AMR.Trace.rev.pdf","nForm Document","Form Submission Attachments","-9162074554534653440","WRD - NPDES","Application/Request","HQD-8ZEE-2KJD5","Schedule - Certification of Completion of Additional Monitoring Requirements","https://mienviro.michigan.gov/ncore/downloadpdf/-9162074554534653440","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2026-03-25__-9162074554534653440__25.05.22.AMR.Trace.rev.pdf.pdf","Already downloaded",""
"2017-04-03","AVON.docx v1","AVON.docx","Applicant Attachments","-9118125169549468879","WRD - NPDES","Application/Request","2Q7-HQ21-P66B","Permit Change - National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance)","https://mienviro.michigan.gov/ncore/downloadpdf/-9118125169549468879","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2017-04-03__-9118125169549468879__AVON.docx v1.pdf","Already downloaded",""
"2023-05-31","HPV-1RCJ-X06GE v1.pdf","Submission PDF","Form Submission Attachments","-9073857214908716294","WRD - NPDES","Application/Request","HPV-1RCJ-X06GE","Schedule - PFAS POTW Effluent Monitoring Report","https://mienviro.michigan.gov/ncore/downloadpdf/-9073857214908716294","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2023-05-31__-9073857214908716294__HPV-1RCJ-X06GE v1.pdf.pdf","Already downloaded",""
"2019-03-20","POTW_Monitoring_Data_Summary 2018.xlsx v1","1. Upload a copy of the annual pollutant monitoring summary.","Applicant Attachments","-9071229891747866357","WRD - NPDES","Application/Request","HNN-0QFE-AG22Q","Schedule - Michigan Industrial Pretreatment Program (IPP) Annual Report","https://mienviro.michigan.gov/ncore/downloadpdf/-9071229891747866357","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2019-03-20__-9071229891747866357__POTW_Monitoring_Data_Summary 2018.xlsx v1.pdf","Already downloaded",""
"2021-10-14","MI0020257_2021-09-01_to_2021-09-30_DMR.pdf","","Schedule - DMR Documents","-9041157712118940874","WRD - NPDES","Permit","MI0020257 v6.0","Schedule - DMR","https://mienviro.michigan.gov/ncore/downloadpdf/-9041157712118940874","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2021-10-14__-9041157712118940874__MI0020257_2021-09-01_to_2021-09-30_DMR.pdf.pdf","Already downloaded",""
"2018-10-29","FY18 Applier-VAR Certification-Spring 2018.pdf v1","Land App-Vector Attraction Reduction.pdf","Applicant Attachments","-9056692038543053966","WRD - NPDES","Application/Request","HNH-M790-67ZPK","Schedule - Biosolids Annual Report","https://mienviro.michigan.gov/ncore/downloadpdf/-9056692038543053966","F:\WWTP DOCUMENT DIVE\Cadillac_MiEnviro_2011-2026\documents\2018-10-29__-9056692038543053966__FY18 Applier-VAR Certification-Spring 2018.pdf v1.pdf","Already downloaded",""
