,T1_Cyc_0319,T2_EGLE_0624,T3_In_EGLE,T3_In_EGLEdup,T3_In_Merit,T3_In_Cyc,T3_Fl_EGLE,T3_Fl_Merit,T3_Fl_Cyc,T3_Out_EGLE,T3_Out_Merit,T3_Out_Cyc
PFPrS,1.2,,,,,,,,,,,
PFBA,1.8,5.0,5.0,5.0,4.0,1.6,5.0,4.0,1.7,5.0,4.0,1.2
PFBS,22.9,28.0,28.0,29.0,24.0,22.5,29.0,27.0,24.6,28.0,26.0,24.2
PFPeA,2.3,4.0,4.0,4.0,3.0,1.5,4.0,3.0,1.7,4.0,3.0,1.6
PFPeS,1.3,,2.0,2.0,,1.8,3.0,,1.8,2.0,,1.7
PFHxA,4.5,6.0,5.0,5.0,5.0,4.5,5.0,6.0,3.9,5.0,5.0,3.4
PFHxS,24.3,35.0,36.0,39.0,29.0,31.7,35.0,29.0,32.6,37.0,28.0,31.0
PFHpA,3.1,4.0,4.0,4.0,3.0,3.6,4.0,4.0,3.7,4.0,4.0,3.4
PFHpS,1.3,,,,,1.9,,,1.6,,,1.9
PFOA,19.3,34.0,34.0,35.0,22.0,21.4,35.0,30.0,21.4,35.0,24.0,20.3
PFOS,9.3,15.0,19.0,18.0,14.0,12.9,18.0,15.0,12.4,18.0,14.0,12.1
