file,submission,sample_date,pfos_ug_kg,pfoa_ug_kg
2021-10-14__3492103724352203543__HPC-F6W0-X1G7P V1.pdf v1.pdf,HPC-F6W0-X1G7P,07/21/2021,<5.5,<5.5
2021-10-14__3492103724352203543__HPC-F6W0-X1G7P V1.pdf v1.pdf,HPC-F6W0-X1G7P,07/21/2021,<5.5,<5.5
2022-03-23__-1256077365103863283__HPG-CXVZ-DDE1A V1.pdf v1.pdf,HPG-CXVZ-DDE1A,03/08/2022,<6.3,<6.3
2025-01-14__-4169784832648480403__HQ9-MNFB-AE3ND_v1.pdf.pdf,HQ9-MNFB-AE3ND,02/27/2024,<1.7,<1.7
2025-01-14__-4169784832648480403__HQ9-MNFB-AE3ND_v1.pdf.pdf,HQ9-MNFB-AE3ND,04/01/2024,<1.5,2.3
2025-01-14__-4169784832648480403__HQ9-MNFB-AE3ND_v1.pdf.pdf,HQ9-MNFB-AE3ND,07/16/2024,2.8,<1.4
2025-01-14__-4169784832648480403__HQ9-MNFB-AE3ND_v1.pdf.pdf,HQ9-MNFB-AE3ND,10/08/2024,5.1,<1.8
2025-03-19__4282924020073135452__HQB-6T2F-9M76H_v1.pdf.pdf,HQB-6T2F-9M76H,02/27/2025,<3.5,<3.5
2025-03-19__8469828454197728223__HQB-6T2F-9M76H_v1.pdf.pdf,HQB-6T2F-9M76H,02/27/2025,<3.5,<3.5
2025-08-01__-2789065301880376783__HQE-GX1V-TH10E_v1.pdf.pdf,HQE-GX1V-TH10E,07/16/2025,3.7,<2
2025-10-21__1055859154349255360__HQG-GN3K-JNK5K_v1.pdf.pdf,HQG-GN3K-JNK5K,10/01/2025,2.6,<1
2025-10-21__5282319378754063253__HQG-GN3K-JNK5K_v2.pdf.pdf,HQG-GN3K-JNK5K,10/01/2025,2.6,<1
2025-10-21__5282319378754063253__HQG-GN3K-JNK5K_v2.pdf.pdf,HQG-GN3K-JNK5K,04/28/2025,3.9,<1.9
2026-03-13__2211822359886279510__HQM-0Z2W-CZ7GW_v1.pdf.pdf,HQM-0Z2W-CZ7GW,02/25/2026,<1.7,<1.7
2026-08-05__1188533409975558428__HQQ-JWPA-R1S8B_v1.pdf.pdf,HQQ-JWPA-R1S8B,07/22/2026,9.4,<1.7
