,mean_ppt,median_ppt,min_ppt,max_ppt,n_detect,mean_log10ppt,chain,group,z_logconc,z_chain,z_group,cluster,dist_centroid
PFPrS,1.2,1.2,1.2,1.2,1,0.0792,3,PFSA,-1.3422,-1.7039,0.9129,3,1.2697
PFBA,3.6083,4.0,1.2,5.0,12,0.5058,4,PFCA,-0.494,-1.0791,-1.0954,2,0.9416
PFBS,26.1,26.5,22.5,29.0,12,1.415,4,PFSA,1.3133,-1.0791,0.9129,1,1.6423
PFPeA,3.0083,3.0,1.5,4.0,12,0.4512,5,PFCA,-0.6027,-0.4544,-1.0954,2,0.3713
PFPeS,1.95,1.9,1.3,3.0,8,0.2794,5,PFSA,-0.9442,-0.4544,0.9129,3,0.1728
PFHxA,4.8583,5.0,3.4,6.0,12,0.6816,6,PFCA,-0.1446,0.1704,-1.0954,2,0.4047
PFHxS,32.3,32.15,24.3,39.0,12,1.5056,6,PFSA,1.4935,0.1704,0.9129,1,0.6435
PFHpA,3.7333,4.0,3.0,4.0,12,0.5699,7,PFCA,-0.3666,0.7951,-1.0954,2,0.9378
PFHpS,1.675,1.75,1.3,1.9,4,0.2189,7,PFSA,-1.0644,0.7951,0.9129,3,1.2506
PFOA,27.6167,27.0,19.3,35.0,12,1.4291,8,PFCA,1.3414,1.4199,-1.0954,1,1.7769
PFOS,14.8083,14.5,9.3,19.0,12,1.162,8,PFSA,0.8105,1.4199,0.9129,1,1.1465
