file,submission,sample_date,monitoring_point,flow_mgd,pfos_ng_l,pfoa_ng_l,source_format
2019-03-04__-1522814933655192300__Cadillac WWTP PFAS Letter.msg.pdf,,,Outfall,,,,IPP status report
2019-03-04__-5070374537407687310__Cadillac WWTP PFAS Letter.msg.pdf,,,Outfall,,,,IPP status report
2019-03-04__2197571042959551007__Cadillac WWTP PFAS Letter.pdf.pdf,,,Outfall,,,,IPP status report
2019-03-04__403570696290303528__Cadillac WWTP PFAS Interim and Summary Rpt Approval Letter.pdf.pdf,,,Outfall,,,,IPP status report
2019-03-04__6876433978433285649__Cadillac WWTP PFAS Letter.msg.pdf,,,Outfall,,,,IPP status report
2019-03-04__8004028571974457714__Cadillac WWTP PFAS Interim and Summary Rpt Approval Letter.pdf.pdf,,,Outfall,,,,IPP status report
2019-03-05__5112104207502533600__Cadillac WWTP PFAS Letter.msg.pdf,,,Outfall,,,,IPP status report
2019-06-28__2793559677356639638__HNQ-VZP8-TWNRX V1.pdf v1.pdf,HNQ-VZP8-TWNRX,06/04/2019,Outfall,,7.1,15,IPP status report
2019-12-18__-30690039028977475__HNV-XK97-EV0GR V1.pdf v1.pdf,HNV-XK97-EV0GR,10/22/2019,Outfall,,2.4,3.4,IPP status report
2021-12-01__6140963438152350458__HPD-MWSX-Y48BC V1.pdf v1.pdf,HPD-MWSX-Y48BC,04/13/2021,001,1.6,<1.6,1.9,PFAS effluent form
2021-12-01__6140963438152350458__HPD-MWSX-Y48BC V1.pdf v1.pdf,HPD-MWSX-Y48BC,10/13/2021,001,1.76,2.0,2.3,PFAS effluent form
2021-12-02__7929871620943933588__HPD-MWSX-Y48BC V2.pdf v2.pdf,HPD-MWSX-Y48BC,04/13/2021,001,1.6,<1.6,1.9,PFAS effluent form
2021-12-02__7929871620943933588__HPD-MWSX-Y48BC V2.pdf v2.pdf,HPD-MWSX-Y48BC,10/13/2021,001,1.76,<1.9,2.0,PFAS effluent form
2022-06-23__-872813351944594838__HPJ-N5BJ-2CYH5 V1.pdf v1.pdf,HPJ-N5BJ-2CYH5,10/22/2019,001,1.821,2.0,3.4,PFAS effluent form
