SubmRefProgramAreaDescr,SubmRefFormTypeDescr,SubmFormName,SubmSubmRefNum,SubmStatus,SubmRcvdDate,SubmDescr
WRD - NPDES,Application,IPP Local Limits WQBEL Request Form,HQF-TQCJ-GZWEB,In Process,"9/23/2025 2:01:43 PM",
WRD - NPDES,Permit Change,No Exposure Certification (NEC) Renewal for Exclusion of Coverage under the NPDES Stormwater Discharges Associated with Industrial Activity,HPS-NR5G-MY95T,Completed,"4/10/2023 12:00:00 AM",
WRD - NPDES,Application,IPP Local Limits WQBEL Request Form,HPG-XCC7-NCG09,Completed,"4/13/2022 11:48:46 AM",
WRD - NPDES,Permit Change,National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),HPG-1ZSF-KC99G,Completed,"3/25/2022 2:57:09 PM",
WRD - NPDES,Application,No Exposure Certification (NEC) for Exclusion of Coverage under the NPDES Stormwater Discharges Associated with Industrial Activity,HNH-YEAD-XJ37F,Withdrawn,"11/29/2018 12:00:00 AM",
WRD - NPDES,Application,No Exposure Certification (NEC) for Exclusion of Coverage under the NPDES Stormwater Discharges Associated with Industrial Activity,HNH-YJTD-MY6A8,Completed,"10/30/2018 12:00:00 AM",
WRD - NPDES,Permit Change,National Pollutant Discharge Elimination System (NPDES) Municipal Application Form (Reissuance),2Q7-HQ21-P66B,Completed,"4/3/2017 12:00:00 AM",
WRD - NPDES,Application,Conversion NPDES Application,su_supplication-203062,Completed,"5/29/2015 12:00:00 AM",
WRD - NPDES,Application,Conversion NPDES Application,su_supplication-186305,Completed,"3/22/2012 12:00:00 AM",
WRD - Part 41,Application,Conversion Part 41 Application,tblPermitTracking-1004247,Completed,"5/15/2007 12:00:00 AM",
WRD - NPDES,Application,Conversion NPDES Application,su_supplication-158279,Completed,"3/28/2007 12:00:00 AM",
WRD - NPDES,Application,Conversion NPDES Application,su_supplication-15983,Completed,"3/26/2002 12:00:00 AM",
WRD - NPDES,Application,Conversion NPDES Application,su_supplication-88596,Completed,"3/26/2002 12:00:00 AM",
WRD - NPDES,Application,Conversion NPDES Application,su_supplication-12245,Completed,"7/31/1999 12:00:00 AM",
WRD - NPDES,Application,Conversion NPDES Application,su_supplication-251,Completed,"3/25/1997 12:00:00 AM",
