ViolRefViolCatgDescr,ViolRefViolTypeDescr,ViolRefViolStatDescr,ViolNonCmplStartDate,ViolViolNotifCmnts,ViolDescr,EvalEvalNum,EvalRefEvalTypeDescr
DMR Report,DMR value exceeds Limit value (Permit),Active – Not Reviewed,"9/19/2025 12:00:00 AM",,,E-PP686205665124,DMR System-generated Evaluation
DMR Report,DMR value exceeds Limit value (Permit),Active – Not Reviewed,"9/18/2025 12:00:00 AM",,,E-PP686205665124,DMR System-generated Evaluation
DMR Report,DMR value exceeds Limit value (Permit),Active – Not Reviewed,"9/17/2025 12:00:00 AM",,,E-PP686205665124,DMR System-generated Evaluation
DMR Report,DMR value exceeds Limit value (Permit),Active – Not Reviewed,"9/17/2025 12:00:00 AM",,,E-PP686205665124,DMR System-generated Evaluation
DMR Report,DMR value exceeds Limit value (Permit),Active – Not Reviewed,"9/16/2025 12:00:00 AM",,,E-PP686205665124,DMR System-generated Evaluation
DMR Report,DMR value exceeds Limit value (Permit),Active – Not Reviewed,"9/16/2025 12:00:00 AM",,,E-PP686205665124,DMR System-generated Evaluation
DMR Report,DMR value exceeds Limit value (Permit),Active – Not Reviewed,"7/24/2025 12:00:00 AM",,,E-PP200402391499,DMR System-generated Evaluation
DMR Report,DMR value exceeds Limit value (Permit),Active – Not Reviewed,"7/11/2025 12:00:00 AM",,,E-PP200402391499,DMR System-generated Evaluation
Inspection - NPDES,Improper/Inadequate Sample Preservation (Permit Language),Active - Addressed not Resolved,"6/10/2025 12:00:00 AM",,WRD - NPDES,E-PP139012015623,NPDES Compliance Evaluation Inspection (CEI)
DMR Report,DMR value exceeds Limit value (Permit),Active - Addressed not Resolved,"6/6/2025 12:00:00 AM",,,E-17782,DMR System-generated Evaluation
DMR Report,DMR value exceeds Limit value (Permit),Active - Addressed not Resolved,"6/5/2025 12:00:00 AM",,,E-17782,DMR System-generated Evaluation
DMR Report,DMR value exceeds Limit value (Permit),Active - Addressed not Resolved,"6/4/2025 12:00:00 AM",,,E-17782,DMR System-generated Evaluation
DMR Report,DMR value exceeds Limit value (Permit),Active - Addressed not Resolved,"6/2/2025 12:00:00 AM",,,E-17782,DMR System-generated Evaluation
Permit Language,Additional Monitoring by Permittee (Permit Language),Active - Addressed not Resolved,"4/17/2025 12:00:00 AM",,WRD - NPDES,E-PP139012015623,NPDES Compliance Evaluation Inspection (CEI)
DMR Report,DMR value exceeds Limit value (Permit),Active - Addressed not Resolved,"11/26/2024 12:00:00 AM",,,E-71255,DMR System-generated Evaluation
DMR Report,DMR value exceeds Limit value (Permit),Active - Addressed not Resolved,"11/25/2024 12:00:00 AM",,,E-71255,DMR System-generated Evaluation
DMR Report,DMR value exceeds Limit value (Permit),Active - Addressed not Resolved,"11/21/2024 12:00:00 AM",,,E-71255,DMR System-generated Evaluation
DMR Report,DMR value does not achieve Limit value (Permit),Active - Addressed not Resolved,"11/21/2024 12:00:00 AM",,,E-71255,DMR System-generated Evaluation
DMR Report,DMR value exceeds Limit value (Permit),Active - Addressed not Resolved,"11/20/2024 12:00:00 AM",,,E-71255,DMR System-generated Evaluation
DMR Report,DMR value exceeds Limit value (Permit),Active - Addressed not Resolved,"8/30/2024 12:00:00 AM",,,E-PP229125265373,DMR System-generated Evaluation
DMR Report,DMR value exceeds Limit value (Permit),Active - Addressed not Resolved,"8/1/2024 12:00:00 AM",,,E-PP229125265373,DMR System-generated Evaluation
DMR Report,DMR not submitted by due date (Permit),Active - Addressed not Resolved,"2/21/2024 12:00:00 AM",,,E-PP702996512838,DMR System-generated Evaluation
Schedule of Compliance,Compliance Schedule Not Received by Due Date (Permit),Active - Addressed not Resolved,"1/26/2024 12:00:00 AM",,,E-3H7H-JCYN-ZXB,Pretreatment Compliance Inspection
Schedule of Compliance,Compliance Schedule Not Received by Due Date (Permit),Active - Addressed not Resolved,"1/26/2024 12:00:00 AM",,,E-3H7H-JCYN-ZXB,Pretreatment Compliance Inspection
