"title","date","entity","record_type","source_system","record_object_id","original_filename","parent_record","direct_public_location","file_type","size_bytes","retrieval_date","sha256","package_path"
"September 8, 2009 Special Meeting Minutes","2009-09-08","City of Cadillac","Council minutes / agreement approval","City of Cadillac Archive Center (CivicPlus)","Archive item 149; motion 2009.216; Miscellaneous File 842","September 8 2009 Special Meeting Minutes.pdf","City Council Special Meeting","https://www.cadillac-mi.net/Archive/ViewFile/Item/149","PDF","21817","2026-09-01","5b67e1ed1d5cef4fb50cca40560307f5befeff4e602f5229b0bf1422d803a9dd","01_City_of_Cadillac\Council_and_Contract_Records\September 8 2009 Special Meeting Minutes.pdf"
"Proposed Resolution Opposing Wexford Water Technologies Injection Well","2017-11-20","City of Cadillac","Council resolution draft","City of Cadillac Agenda Center (CivicPlus)","Agenda attachment item 2798 / fileID 2118","November 20 2017 Proposed Injection Well Resolution.pdf","November 20, 2017 City Council packet","https://www.cadillac-mi.net/AgendaCenter/ViewFile/Item/2798?fileID=2118","PDF","344611","2026-09-01","850f00b27330ad4fac7e1abdbbdd2716cfcfb18bdc2b38671919c3fe52ba0406","01_City_of_Cadillac\Council_and_Contract_Records\November 20 2017 Proposed Injection Well Resolution.pdf"
"March 18, 2019 Work Session Minutes","2019-03-18","City of Cadillac","Council work-session minutes","City of Cadillac Archive Center (CivicPlus)","Archive item 1124","March 18 2019 Work Session Minutes.pdf","City Council Work Session","https://www.cadillac-mi.net/ArchiveCenter/ViewFile/Item/1124","PDF","197413","2026-09-01","4335077ddaf4c19d138cd8e6648d1f0253b052ab69e7e672aa9685d879917133","01_City_of_Cadillac\Council_and_Contract_Records\March 18 2019 Work Session Minutes.pdf"
"City of Cadillac Comprehensive Annual Financial Report, FY ended June 30, 2017","2017-06-30","City of Cadillac","Audited financial statements","City of Cadillac Archive Center (CivicPlus)","Archive item 1043","FY2017 City of Cadillac CAFR.pdf","Financial Reports","https://www.cadillac-mi.net/ArchiveCenter/ViewFile/Item/1043","PDF","3929791","2026-09-01","6b4e98f4c77917c16dff2544e9be1d2ff1c3165bf51df15ee2e4bd8875e7b214","01_City_of_Cadillac\Financial_Records\FY2017 City of Cadillac CAFR.pdf"
"May 21, 2018 City Council Packet","2018-05-21","City of Cadillac","Council packet / budget amendment","City of Cadillac Archive Center (CivicPlus)","Archive item 1047","May 21 2018 City Council Packet.pdf","City Council packet","https://www.cadillac-mi.net/ArchiveCenter/ViewFile/Item/1047","PDF","7201375","2026-09-01","25d3c10b9ea8697bb69779ea5341633f7c3326eca5f8130278188bd1cb388d88","01_City_of_Cadillac\Financial_Records\May 21 2018 City Council Packet.pdf"
"June 3, 2019 City Council Packet","2019-06-03","City of Cadillac","Council packet / budget amendment","City of Cadillac Archive Center (CivicPlus)","Archive item 1142","June 3 2019 City Council Packet.pdf","City Council packet","https://www.cadillac-mi.net/ArchiveCenter/ViewFile/Item/1142","PDF","2821876","2026-09-01","0fcfc8c9921f0ae0ae2957d5a2df3b2064a8a407c7ed5b8bea541f3fed215385","01_City_of_Cadillac\Financial_Records\June 3 2019 City Council Packet.pdf"
"Wexford County Board of Commissioners Minutes","2017-04-19","Wexford County","Board minutes","Wexford County website / WordPress media","April-19-2017-Min.pdf","April-19-2017-Min.pdf","Board of Commissioners minutes archive","https://wexfordcounty.org/wp-content/uploads/2018/04/April-19-2017-Min.pdf","PDF","151158","2026-09-01","b3da3c98dd4f053c4a3007e9f518225cd465c9decf5dfc65eaf03c303d49fd61","02_Wexford_County\Board_Minutes\April-19-2017-Min.pdf"
"Wexford County Board of Commissioners Minutes","2017-08-16","Wexford County","Board minutes","Wexford County website / WordPress media","August-16-2017.pdf","August-16-2017.pdf","Board of Commissioners minutes archive","https://wexfordcounty.org/wp-content/uploads/2018/04/August-16-2017.pdf","PDF","171652","2026-09-01","c3e654984910616cc2bf56710512a745d4e31143f314b72c5eda79c7aca920d0","02_Wexford_County\Board_Minutes\August-16-2017.pdf"
"Wexford County Board of Commissioners Minutes","2017-09-06","Wexford County","Board minutes","Wexford County website / WordPress media","September-6-2017.pdf","September-6-2017.pdf","Board of Commissioners minutes archive","https://wexfordcounty.org/wp-content/uploads/2018/04/September-6-2017.pdf","PDF","134252","2026-09-01","42cf775b5b3ac2a07c5815c1b0a205b56f503f64022c214b7317807a50c48403","02_Wexford_County\Board_Minutes\September-6-2017.pdf"
"Wexford County Board of Commissioners Minutes","2017-09-20","Wexford County","Board minutes","Wexford County website / WordPress media","September-20-2017.pdf","September-20-2017.pdf","Board of Commissioners minutes archive","https://wexfordcounty.org/wp-content/uploads/2018/04/September-20-2017.pdf","PDF","218738","2026-09-01","4686cde76b57bc95a13ee18d2c3f774576f798b2c2b98619437af0aa5052dad5","02_Wexford_County\Board_Minutes\September-20-2017.pdf"
"Wexford County Board of Commissioners Minutes","2017-11-01","Wexford County","Board minutes","Wexford County website / WordPress media","November-1-2017.pdf","November-1-2017.pdf","Board of Commissioners minutes archive","https://wexfordcounty.org/wp-content/uploads/2018/04/November-1-2017.pdf","PDF","288002","2026-09-01","7c628f229e98599ab13a0152d8a06d797175a026199dece5bc1d34fc2115df96","02_Wexford_County\Board_Minutes\November-1-2017.pdf"
"Wexford County Board of Commissioners Minutes","2017-11-15","Wexford County","Board minutes / Resolution 17-31","Wexford County website / WordPress media","November-15-2017.pdf; Resolution 17-31","November-15-2017.pdf","Board of Commissioners minutes archive","https://wexfordcounty.org/wp-content/uploads/2018/04/November-15-2017.pdf","PDF","155362","2026-09-01","4127cba91f8b9a77c3ddace776f719f28a415f847c7c9aae921ab3dd25137edd","02_Wexford_County\Board_Minutes\November-15-2017.pdf"
"Wexford County Board of Commissioners Minutes","2018-01-17","Wexford County","Board minutes / landfill RAP update","Wexford County website / WordPress media","January-17-2018.pdf","January-17-2018.pdf","Board of Commissioners minutes archive","https://wexfordcounty.org/wp-content/uploads/2018/04/January-17-2018.pdf","PDF","141005","2026-09-01","83afea4088866121927aa3b077d868812f9c1ab72eebabd9f9e81b16bdfdf972","02_Wexford_County\Board_Minutes\January-17-2018.pdf"
"Wexford County Board of Commissioners Minutes","2018-02-07","Wexford County","Board minutes / injection-well discussion","Wexford County website / WordPress media","February-7-2018.pdf","February-7-2018.pdf","Board of Commissioners minutes archive","https://wexfordcounty.org/wp-content/uploads/2018/04/February-7-2018.pdf","PDF","116957","2026-09-01","0d84b0d63d506cf288333c679de272ea1b71be426870d84bdd7173596ed9f35e","02_Wexford_County\Board_Minutes\February-7-2018.pdf"
