relative_path,document_title,document_date,received_date,author,reviewer,mienviro_document_id,site_profile_id,wds_number,direct_download_url,parent_event,related_citation_or_inspection,bytes,sha256,notes
"originals/2015-2016_Wexford County Landfill_District Compliance File.pdf","2015-2016_Wexford County Landfill_District Compliance File.pdf","2016-01-25","","Jamie Wade / Brian W. Jankowski","","-1435941263699884850","7701297007408187192","470336","https://mienviro.michigan.gov/ncore/DownloadPdf/-1435941263699884850","MiEnviro Site 113773; Industrial Storm Water Site Docs","NPDES MIS111718 termination and 2015 inspection file","153987","7C991BAAF1E9D5AF5A7177123957D8F933FD759F4022CEAB2878626430A37943","Eight-page paper scan; not the Part 115 Citation 432 record."
"originals/2015-2016_Wexford County Landfill_Leachate Request.pdf","2015-2016_Wexford County Landfill_Leachate Request.pdf","2016-03-09","","Golder Associates; Anthony Testa; Vicki R. Garon, PE","Janice Heuer; copied to John Ozoga","-1083339404412472014","7701297007408187192","470336","https://mienviro.michigan.gov/ncore/DownloadPdf/-1083339404412472014","MiEnviro Site 113773; Groundwater Site Docs","Date-adjacent source package for 2016-03-10 Citation 432","167653","C2EAEDEDE443068E6A0ADF05354E28393BFF6424989E5BD00698DB301E59D0FC","Includes March 9 Rule 2210(y) emergency discharge request and John Ozoga's November 2, 2015 approval letter."
"originals/2016_Rule_2210y/completed public notice certification form.pdf","completed public notice certification form.pdf","2016-07-26","","","","-7084006178792149061","7701297007408187192","470336","https://mienviro.michigan.gov/ncore/DownloadPdf/-7084006178792149061","GW1010342 Rule 2210(y) Authorization","Follow-up to 2016 leachate discharge request / Citation 432","153213","54C7E9D67D4444970E012A81F61195786E73BC9A04B0FF298FD67239BF1A833B","Original MiEnviro file."
"originals/2016_Rule_2210y/e-mail cov let-Wexford Landfill.pdf","e-mail cov let-Wexford Landfill.pdf","2016-07-12","","","","881861131799560019","7701297007408187192","470336","https://mienviro.michigan.gov/ncore/DownloadPdf/881861131799560019","GW1010342 Rule 2210(y) Authorization","Follow-up to 2016 leachate discharge request / Citation 432","8190","E45EBD99572BB182C93668EFA939D9AFF245AA0916071A5D63B683E88023A45B","Original MiEnviro file."
"originals/2016_Rule_2210y/email-final authorization-Wexford Landfill.pdf","email-final authorization-Wexford Landfill.pdf","2016-09-16","","","","7188222859241126593","7701297007408187192","470336","https://mienviro.michigan.gov/ncore/DownloadPdf/7188222859241126593","GW1010342 Rule 2210(y) Authorization","Follow-up to 2016 leachate discharge request / Citation 432","81801","8BA13C7DCDF6E6E0E3F2328F3CF7AD5EA6BCE988B4E3131F34FD9FD6B45C05F5","Original MiEnviro file."
"originals/2016_Rule_2210y/Fig 1 - Site Location.pdf v1","Fig 1 - Site Location.pdf v1","2016-03-16","","","","6073389934025205219","7701297007408187192","470336","https://mienviro.michigan.gov/ncore/DownloadPdf/6073389934025205219","Application 2E2-C5H5-QVVF","Rule 2210(y) application attachment; Citation 432 follow-up","342082","AAA74DB2F56D4369BF069082693A16E31D42B7944F1EAF1317C2EB4BEFB902B5","Applicant attachment."
"originals/2016_Rule_2210y/Fig 2 - Site Plan.pdf v1","Fig 2 - Site Plan.pdf v1","2016-03-16","","","","5532481158088134301","7701297007408187192","470336","https://mienviro.michigan.gov/ncore/DownloadPdf/5532481158088134301","Application 2E2-C5H5-QVVF","Rule 2210(y) application attachment; Citation 432 follow-up","46743","07D4A892D34245E418DE0EB57514162C659D0F65EDE9DCAF8D6889E4642A2C1E","Applicant attachment."
"originals/2016_Rule_2210y/Fig 3 - Reg Water Well Location.pdf v1","Fig 3 - Reg Water Well Location.pdf v1","2016-03-16","","","","17083605190781609","7701297007408187192","470336","https://mienviro.michigan.gov/ncore/DownloadPdf/17083605190781609","Application 2E2-C5H5-QVVF","Rule 2210(y) application attachment; Citation 432 follow-up","297431","44CDE488AAF41C3A0BD877FB60E4838EC4CD8C9A78240AE6695508B7FE013A66","Applicant attachment."
"originals/2016_Rule_2210y/Fig 4 - Wetland Location.pdf v1","Fig 4 - Wetland Location.pdf v1","2016-03-16","","","","4187907776021566409","7701297007408187192","470336","https://mienviro.michigan.gov/ncore/DownloadPdf/4187907776021566409","Application 2E2-C5H5-QVVF","Rule 2210(y) application attachment; Citation 432 follow-up","350218","CC1225120BD0ADEFC738409FAE3FF3620B43BC391F6C5AF1CA14E7F0742E9A7A","Applicant attachment."
"originals/2016_Rule_2210y/Fig 5 - North Topo.pdf v1","Fig 5 - North Topo.pdf v1","2016-03-16","","","","-2296258207315679752","7701297007408187192","470336","https://mienviro.michigan.gov/ncore/DownloadPdf/-2296258207315679752","Application 2E2-C5H5-QVVF","Rule 2210(y) application attachment; Citation 432 follow-up","63888","29D8248EFBF8D2A2CFF9307C244A5EACC9B49BCA8098F23D7F24A1FCC200A65C","Applicant attachment."
